Strategy_Type,Strategy_Name,Aggressiveness,Expected_Return_%,Volatility_%,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,NASDAQ_Total_Return_%,US_Large_Cap_SP500_%,Gold_Futures_%,Israel_TA125_%,India_NIFTY_%,Germany_DAX_%,US_REIT_Select_%,Emerging_Markets_MSCI_%,Europe_MSCI_%,France_CAC40_%,Israel_Gov_Indexed_0_2Y_%,Israel_Gov_Indexed_5_10Y_%,Israel_Gov_Shekel_0_2Y_%,Israel_Gov_Shekel_5_10Y_%,Israel_SME60_%,Israel_TelBond_60_%,Israel_TelBond_Shekel_%,Japan_MSCI_%,Oil_Brent_Futures_%,UK_FTSE100_%,US_Gov_Bonds_3_7Y_%,US_Gov_Bonds_Short_%,US_Small_Cap_Russell2000_%
Sortino Optimized,Ultra Aggressive (New),1.0,16.72,15.73,0.97,1.71,24.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single Asset,NASDAQ Total Return,N/A,16.72,15.73,0.97,1.71,24.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Sortino Optimized,Very Aggressive (New),0.95,16.59,15.54,0.98,1.66,23.29,95.50,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sortino Optimized,Moderate (New),0.5,15.12,11.30,1.21,2.11,13.95,55.00,20.24,22.50,0.00,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sortino Optimized,Aggressive (New),0.75,14.84,10.63,1.26,2.32,12.54,58.12,1.62,28.75,0.00,11.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single Asset,US Large Cap SP500,N/A,13.82,12.73,0.97,1.43,17.46,0.00,100.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Single Asset,Gold Futures,N/A,12.83,14.63,0.78,1.62,16.54,0.00,0.00,100.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Single Asset,Israel TA125,N/A,12.37,15.59,0.70,0.84,21.92,0.00,0.00,0.00,100.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Single Asset,India NIFTY,N/A,10.54,18.24,0.50,0.69,34.08,0.00,0.00,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,
Single Asset,Germany DAX,N/A,8.54,16.96,0.42,0.64,30.91,0.00,0.00,0.00,0.00,0.00,100.00,0.00,,,,,,,,,,,,,,,,
Single Asset,US REIT Select,N/A,5.15,16.17,0.23,0.28,29.69,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
Sortino Optimized,Conservative (New),0.25,4.88,3.12,1.11,2.55,3.21,9.51,0.00,16.25,0.00,0.00,0.00,0.00,2.42,0.00,0.00,35.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00
Sortino Optimized,Ultra Conservative (New),0.0,4.76,3.12,1.07,2.06,3.01,10.00,4.89,10.00,0.00,2.64,0.00,0.00,0.00,0.00,0.00,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.47,0.00
