Date,Price
2010-01-01,5.3955
2010-01-04,5.4027
2010-01-05,5.3708
2010-01-06,5.3494
2010-01-07,5.3109
2010-01-08,5.3281
2010-01-11,5.3433
2010-01-12,5.3457
2010-01-13,5.3324
2010-01-14,5.3404
2010-01-15,5.2937
2010-01-18,5.293
2010-01-19,5.2735
2010-01-20,5.2442
2010-01-21,5.2457
2010-01-22,5.2472
2010-01-25,5.2592
2010-01-26,5.2325
2010-01-27,5.2329
2010-01-28,5.2102
2010-01-29,5.1703
2010-02-01,5.161
2010-02-02,5.1789
2010-02-03,5.1505
2010-02-04,5.1292
2010-02-05,5.1136
2010-02-08,5.0936
2010-02-09,5.1373
2010-02-10,5.1418
2010-02-11,5.1067
2010-02-12,5.1195
2010-02-15,5.1002
2010-02-16,5.1378
2010-02-17,5.0784
2010-02-18,5.0934
2010-02-19,5.1243
2010-02-22,5.1166
2010-02-23,5.0894
2010-02-24,5.1061
2010-02-25,5.1298
2010-02-26,5.1471
2010-03-01,5.1318
2010-03-02,5.1314
2010-03-03,5.1498
2010-03-04,5.1261
2010-03-05,5.1331
2010-03-08,5.1272
2010-03-09,5.119
2010-03-10,5.1416
2010-03-11,5.0878
2010-03-12,5.1114
2010-03-15,5.083
2010-03-16,5.1332
2010-03-17,5.1029
2010-03-18,5.0696
2010-03-19,5.0619
2010-03-22,5.0638
2010-03-23,5.0339
2010-03-24,4.9933
2010-03-25,4.9658
2010-03-26,5.0021
2010-03-29,4.9929
2010-03-30,4.965
2010-03-31,4.9837
2010-04-01,5.0116
2010-04-02,4.9822
2010-04-05,4.9804
2010-04-06,4.9425
2010-04-07,4.9259
2010-04-08,4.9268
2010-04-09,4.9729
2010-04-12,4.9966
2010-04-13,5.0286
2010-04-14,5.0509
2010-04-15,5.013
2010-04-16,5.0057
2010-04-19,5.0269
2010-04-20,5.0022
2010-04-21,4.9926
2010-04-22,4.9606
2010-04-23,4.9691
2010-04-26,4.9862
2010-04-27,4.9288
2010-04-28,4.9452
2010-04-29,4.9282
2010-04-30,4.9517
2010-05-03,4.9167
2010-05-04,4.8671
2010-05-05,4.8299
2010-05-06,4.8078
2010-05-07,4.8229
2010-05-10,4.7943
2010-05-11,4.7516
2010-05-12,4.7354
2010-05-13,4.7168
2010-05-14,4.661
2010-05-17,4.6651
2010-05-18,4.6149
2010-05-19,4.7159
2010-05-20,4.7542
2010-05-21,4.8168
2010-05-24,4.7128
2010-05-25,4.7445
2010-05-26,4.7111
2010-05-27,4.7366
2010-05-28,4.7093
2010-05-31,4.774
2010-06-01,4.7249
2010-06-02,4.7175
2010-06-03,4.6788
2010-06-04,4.6144
2010-06-07,4.6199
2010-06-08,4.6503
2010-06-09,4.6482
2010-06-10,4.6592
2010-06-11,4.6636
2010-06-14,4.662
2010-06-15,4.7082
2010-06-16,4.6935
2010-06-17,4.7346
2010-06-18,4.7369
2010-06-21,4.7075
2010-06-22,4.7143
2010-06-23,4.7483
2010-06-24,4.7618
2010-06-25,4.7751
2010-06-28,4.7614
2010-06-29,4.7271
2010-06-30,4.7509
2010-07-01,4.8704
2010-07-02,4.9009
2010-07-05,4.8727
2010-07-06,4.9086
2010-07-07,4.8948
2010-07-08,4.9075
2010-07-09,4.8881
2010-07-12,4.8656
2010-07-13,4.9046
2010-07-14,4.9202
2010-07-15,4.9992
2010-07-16,4.9832
2010-07-19,4.975
2010-07-20,4.9522
2010-07-21,4.9251
2010-07-22,4.9704
2010-07-23,4.9667
2010-07-26,4.9624
2010-07-27,4.949
2010-07-28,4.9396
2010-07-29,4.9435
2010-07-30,4.9154
2010-08-02,4.9491
2010-08-03,4.9703
2010-08-04,4.9514
2010-08-05,4.977
2010-08-06,4.9993
2010-08-09,4.9767
2010-08-10,4.9559
2010-08-11,4.8628
2010-08-12,4.8689
2010-08-13,4.8487
2010-08-16,4.8638
2010-08-17,4.8644
2010-08-18,4.8506
2010-08-19,4.8601
2010-08-20,4.8368
2010-08-23,4.8207
2010-08-24,4.8227
2010-08-25,4.8211
2010-08-26,4.8523
2010-08-27,4.8738
2010-08-30,4.83
2010-08-31,4.8266
2010-09-01,4.8451
2010-09-02,4.8478
2010-09-03,4.8609
2010-09-06,4.8522
2010-09-07,4.7989
2010-09-08,4.7929
2010-09-09,4.7869
2010-09-10,4.7744
2010-09-13,4.8447
2010-09-14,4.877
2010-09-15,4.8713
2010-09-16,4.8749
2010-09-17,4.8449
2010-09-20,4.8585
2010-09-21,4.9095
2010-09-22,4.9442
2010-09-23,4.919
2010-09-24,4.973
2010-09-27,4.9355
2010-09-28,4.9794
2010-09-29,4.9875
2010-09-30,4.9889
2010-10-01,5.0109
2010-10-04,4.9525
2010-10-05,4.983
2010-10-06,4.9943
2010-10-07,5.0158
2010-10-08,5.0184
2010-10-11,4.9998
2010-10-12,5.0248
2010-10-13,5.0138
2010-10-14,5.0315
2010-10-15,4.9999
2010-10-18,4.9818
2010-10-19,4.9549
2010-10-20,5.0392
2010-10-21,5.0401
2010-10-22,5.0649
2010-10-25,5.0396
2010-10-26,5.0405
2010-10-27,5.025
2010-10-28,5.0552
2010-10-29,5.06
2010-11-01,5.0379
2010-11-02,5.0688
2010-11-03,5.0844
2010-11-04,5.0655
2010-11-05,5.0273
2010-11-08,5.0522
2010-11-09,5.0097
2010-11-10,5.0125
2010-11-11,4.9998
2010-11-12,5.0322
2010-11-15,4.9911
2010-11-16,4.9569
2010-11-17,4.9638
2010-11-18,4.9811
2010-11-19,4.9728
2010-11-22,4.9441
2010-11-23,4.9125
2010-11-24,4.8708
2010-11-25,4.8731
2010-11-26,4.8657
2010-11-29,4.8257
2010-11-30,4.7711
2010-12-01,4.8038
2010-12-02,4.801
2010-12-03,4.8559
2010-12-06,4.8183
2010-12-07,4.7919
2010-12-08,4.808
2010-12-09,4.7963
2010-12-10,4.7804
2010-12-13,4.824
2010-12-14,4.8082
2010-12-15,4.7466
2010-12-16,4.7517
2010-12-17,4.7344
2010-12-20,4.735
2010-12-21,4.6985
2010-12-22,4.7015
2010-12-23,4.7103
2010-12-24,4.7024
2010-12-27,4.7041
2010-12-28,4.6805
2010-12-29,4.7179
2010-12-30,4.6995
2010-12-31,4.7106
2011-01-03,4.7173
2011-01-04,4.6814
2011-01-05,4.6604
2011-01-06,4.6448
2011-01-07,4.6183
2011-01-10,4.6149
2011-01-11,4.5865
2011-01-12,4.6499
2011-01-13,4.7497
2011-01-14,4.7545
2011-01-17,4.7059
2011-01-18,4.7243
2011-01-19,4.7714
2011-01-20,4.8684
2011-01-21,4.9362
2011-01-24,4.9169
2011-01-25,4.9291
2011-01-26,4.9388
2011-01-27,5.0051
2011-01-28,4.9987
2011-01-31,5.0782
2011-02-01,5.078
2011-02-02,5.0785
2011-02-03,5.051
2011-02-04,5.0536
2011-02-07,4.9962
2011-02-08,4.9775
2011-02-09,5.0391
2011-02-10,5.0004
2011-02-11,4.9836
2011-02-14,4.9222
2011-02-15,4.9006
2011-02-16,4.8837
2011-02-17,4.9168
2011-02-18,4.9446
2011-02-21,4.9305
2011-02-22,4.9769
2011-02-23,5.0193
2011-02-24,5.0415
2011-02-25,5.0146
2011-02-28,4.998
2011-03-01,5.004
2011-03-02,5.0142
2011-03-03,5.0414
2011-03-04,5.0475
2011-03-07,5.0128
2011-03-08,4.97
2011-03-09,4.947
2011-03-10,4.9306
2011-03-11,4.9546
2011-03-14,4.9595
2011-03-15,4.9707
2011-03-16,4.9515
2011-03-17,4.975
2011-03-18,5.0033
2011-03-21,5.0175
2011-03-22,5.0091
2011-03-23,4.9907
2011-03-24,5.0389
2011-03-25,5.0044
2011-03-28,4.9607
2011-03-29,4.972
2011-03-30,4.9427
2011-03-31,4.9195
2011-04-01,4.94
2011-04-04,4.9219
2011-04-05,4.924
2011-04-06,4.9295
2011-04-07,4.9235
2011-04-08,4.9717
2011-04-11,4.9685
2011-04-12,4.9747
2011-04-13,4.9292
2011-04-14,4.9466
2011-04-15,4.9145
2011-04-18,4.8791
2011-04-19,4.9158
2011-04-20,4.9554
2011-04-21,4.9546
2011-04-22,4.956
2011-04-25,4.963
2011-04-26,5.0017
2011-04-27,5.0626
2011-04-28,5.0276
2011-04-29,5.0109
2011-05-02,5.0124
2011-05-03,5.0005
2011-05-04,5.022
2011-05-05,5.0102
2011-05-06,4.9434
2011-05-09,4.9592
2011-05-10,4.9643
2011-05-11,4.9505
