Date,Price
2014-03-10,1869.17
2014-03-11,1870.95
2014-03-12,1848.99
2014-03-13,1846.23
2014-03-14,1835.54
2014-03-17,1846.47
2014-03-18,1864.65
2014-03-19,1860.99
2014-03-20,1841.78
2014-03-21,1850.14
2014-03-24,1868.66
2014-03-25,1877.66
2014-03-26,1896.82
2014-03-27,1910.79
2014-03-28,1929.73
2014-03-31,1949.08
2014-04-01,1961.25
2014-04-02,1969.56
2014-04-03,1961.61
2014-04-04,1965.32
2014-04-07,1970.13
2014-04-08,1984.59
2014-04-09,1991.18
2014-04-10,2004.77
2014-04-11,1992.65
2014-04-14,1985.38
2014-04-15,1962.83
2014-04-16,1968.05
2014-04-17,1981.33
2014-04-18,1986.62
2014-04-21,1984.58
2014-04-22,1981.05
2014-04-23,1971.5
2014-04-24,1972.93
2014-04-25,1951.2
2014-04-28,1950.82
2014-04-29,1965.11
2014-04-30,1956.34
2014-05-01,1957.76
2014-05-02,1972.75
2014-05-05,1968.22
2014-05-06,1974.06
2014-05-07,1975.2
2014-05-08,1983.86
2014-05-09,1980.24
2014-05-12,1997.83
2014-05-13,2011.06
2014-05-14,2030.4
2014-05-15,2024.34
2014-05-16,2030.23
2014-05-19,2037.21
2014-05-20,2026.47
2014-05-21,2029.96
2014-05-22,2049.2
2014-05-23,2053.01
2014-05-26,2051.12
2014-05-27,2034.4
2014-05-28,2045.46
2014-05-29,2046.55
2014-05-30,2025.07
2014-06-02,2028.77
2014-06-03,2041.87
2014-06-04,2032.7
2014-06-05,2040.79
2014-06-06,2060.5
2014-06-09,2068.58
2014-06-10,2085.78
2014-06-11,2082.92
2014-06-12,2082.16
2014-06-13,2071.28
2014-06-16,2067.04
2014-06-17,2061.67
2014-06-18,2063.98
2014-06-19,2075.9
2014-06-20,2063.99
2014-06-23,2061.31
2014-06-24,2073.18
2014-06-25,2061.14
2014-06-26,2071.29
2014-06-27,2070.29
2014-06-30,2079.79
2014-07-01,2081.33
2014-07-02,2101.7
2014-07-03,2106.01
2014-07-04,2107.51
2014-07-07,2111.7
2014-07-08,2112.59
2014-07-09,2105.49
2014-07-10,2108.67
2014-07-11,2101.4
2014-07-14,2113.22
2014-07-15,2119.37
2014-07-16,2121.93
2014-07-17,2114.12
2014-07-18,2115.54
2014-07-21,2115.59
2014-07-22,2137.94
2014-07-23,2144.36
2014-07-24,2150.76
2014-07-25,2146.58
2014-07-28,2147.94
2014-07-29,2150.79
2014-07-30,2147.29
2014-07-31,2121.71
2014-08-01,2110.73
2014-08-04,2129.05
2014-08-05,2116.87
2014-08-06,2104.42
2014-08-07,2093.72
2014-08-08,2082.52
2014-08-11,2114.51
2014-08-12,2120.73
2014-08-13,2134.1
2014-08-14,2137.71
2014-08-15,2141.99
2014-08-18,2147.08
2014-08-19,2162.08
2014-08-20,2163.37
2014-08-21,2157.22
2014-08-22,2159.6
2014-08-25,2164.39
2014-08-26,2169.41
2014-08-27,2181.52
2014-08-28,2168.54
2014-08-29,2170.37
2014-09-01,2175.82
2014-09-02,2168.2
2014-09-03,2196.81
2014-09-04,2195.95
2014-09-05,2189.33
2014-09-08,2186.15
2014-09-09,2171.34
2014-09-10,2146.83
2014-09-11,2135.94
2014-09-12,2120.28
2014-09-15,2109.65
2014-09-16,2106.35
2014-09-17,2123.02
2014-09-18,2111.07
2014-09-19,2106.28
2014-09-22,2079.09
2014-09-23,2064.14
2014-09-24,2069.22
2014-09-25,2050.1
2014-09-26,2046.79
2014-09-29,2018.14
2014-09-30,2009.95
2014-10-01,1993.05
2014-10-02,1984.43
2014-10-03,1993.92
2014-10-06,2020.58
2014-10-07,2021.7
2014-10-08,1997.5
2014-10-09,2016.78
2014-10-10,1979.91
2014-10-13,1983.18
2014-10-14,1984.35
2014-10-15,1965.48
2014-10-16,1941.69
2014-10-17,1954.59
2014-10-20,1964.08
2014-10-21,1964.67
2014-10-22,1975.3
2014-10-23,1964.62
2014-10-24,1969.96
2014-10-27,1956.79
2014-10-28,1986.53
2014-10-29,2011.36
2014-10-30,2016.75
2014-10-31,2033.88
2014-11-03,2022.58
2014-11-04,2016.12
2014-11-05,1998.8
2014-11-06,1984.57
2014-11-07,1977.23
2014-11-10,1997.47
2014-11-11,1989.72
2014-11-12,1994.48
2014-11-13,1987.79
2014-11-14,1983.96
2014-11-17,1974.11
2014-11-18,1979.75
2014-11-19,1982.27
2014-11-20,1982.72
2014-11-21,2011.26
2014-11-24,2025.3
2014-11-25,2021.05
2014-11-26,2027.01
2014-11-27,2028.32
2014-11-28,2012.49
2014-12-01,1973.32
2014-12-02,1972.19
2014-12-03,1975.03
2014-12-04,1977.11
2014-12-05,1974.71
2014-12-08,1957.18
2014-12-09,1934.31
2014-12-10,1920.82
2014-12-11,1895.52
2014-12-12,1880.31
2014-12-15,1851.55
2014-12-16,1823.41
2014-12-17,1839.89
2014-12-18,1873.89
2014-12-19,1893.26
2014-12-22,1919.27
2014-12-23,1908.41
2014-12-24,1906.95
2014-12-25,1906.05
2014-12-26,1909.91
2014-12-29,1925.47
2014-12-30,1917.23
2014-12-31,1920.69
2015-01-01,1920.64
2015-01-02,1915.82
2015-01-05,1889.75
2015-01-06,1877.73
2015-01-07,1890.67
2015-01-08,1926.24
2015-01-09,1931.34
2015-01-12,1919.68
2015-01-13,1928.45
2015-01-14,1920.09
2015-01-15,1928.62
2015-01-16,1923.57
2015-01-19,1913.66
2015-01-20,1923.23
2015-01-21,1960.97
2015-01-22,1976.02
2015-01-23,1990.82
2015-01-26,1986.6
2015-01-27,1988.94
2015-01-28,1978.52
2015-01-29,1955.5
2015-01-30,1932.36
2015-02-02,1937.36
2015-02-03,1962.89
2015-02-04,1971.6
2015-02-05,1974.41
2015-02-06,1967.17
2015-02-09,1955.69
2015-02-10,1943.77
2015-02-11,1933.2
2015-02-12,1953.28
2015-02-13,1984.52
2015-02-16,1979.4
2015-02-17,1977.48
2015-02-18,1981.46
2015-02-19,1981.68
2015-02-20,1980.38
2015-02-23,1978.58
2015-02-24,1987.51
2015-02-25,1997.46
2015-02-26,1999.52
2015-02-27,1992.43
2015-03-02,1988.72
2015-03-03,1984.96
2015-03-04,1964.98
2015-03-05,1961.81
2015-03-06,1955.09
2015-03-09,1931.1
2015-03-10,1900.08
2015-03-11,1898.64
2015-03-12,1909.86
2015-03-13,1891.83
2015-03-16,1893.99
2015-03-17,1911.1
2015-03-18,1926.63
2015-03-19,1943.35
2015-03-20,1952.52
2015-03-23,1965.29
2015-03-24,1971.17
2015-03-25,1967.02
2015-03-26,1939.59
2015-03-27,1931.04
2015-03-30,1953.0
2015-03-31,1964.49
2015-04-01,1981.44
2015-04-02,2001.64
2015-04-03,2004.6
2015-04-06,2028.19
2015-04-07,2029.07
2015-04-08,2058.92
2015-04-09,2074.38
2015-04-10,2086.55
2015-04-13,2100.72
2015-04-14,2091.35
2015-04-15,2091.99
2015-04-16,2123.04
2015-04-17,2103.93
2015-04-20,2086.18
2015-04-21,2103.37
2015-04-22,2114.36
2015-04-23,2127.53
2015-04-24,2141.01
2015-04-27,2151.67
2015-04-28,2154.56
2015-04-29,2139.6
2015-04-30,2116.09
2015-05-01,2112.52
2015-05-04,2117.24
2015-05-05,2116.76
2015-05-06,2101.73
2015-05-07,2070.52
2015-05-08,2090.98
2015-05-11,2093.28
2015-05-12,2079.25
2015-05-13,2089.2
2015-05-14,2093.22
2015-05-15,2108.74
2015-05-18,2103.85
2015-05-19,2103.97
2015-05-20,2094.61
2015-05-21,2087.81
2015-05-22,2098.38
2015-05-25,2093.83
2015-05-26,2076.29
2015-05-27,2061.62
2015-05-28,2042.45
2015-05-29,2031.75
2015-06-01,2029.42
2015-06-02,2023.46
2015-06-03,2015.7
2015-06-04,2001.26
2015-06-05,1989.49
2015-06-08,1979.4
2015-06-09,1967.38
2015-06-10,1981.33
2015-06-11,1979.39
2015-06-12,1985.03
2015-06-15,1967.22
2015-06-16,1957.18
2015-06-17,1965.58
2015-06-18,1982.38
2015-06-19,1976.44
2015-06-22,2002.53
2015-06-23,2011.62
2015-06-24,2017.33
2015-06-25,2008.29
2015-06-26,1993.25
2015-06-29,1953.65
2015-06-30,1980.54
2015-07-01,1980.2
2015-07-02,1980.27
2015-07-03,1965.86
2015-07-06,1923.58
2015-07-07,1896.78
2015-07-08,1844.43
2015-07-09,1875.8
2015-07-10,1902.48
2015-07-13,1923.76
2015-07-14,1919.91
2015-07-15,1916.28
2015-07-16,1924.4
2015-07-17,1924.4
2015-07-20,1911.72
2015-07-21,1920.74
2015-07-22,1903.09
2015-07-23,1887.99
2015-07-24,1861.27
2015-07-27,1825.09
2015-07-28,1822.48
2015-07-29,1840.85
2015-07-30,1828.68
2015-07-31,1844.46
2015-08-03,1822.42
2015-08-04,1827.27
2015-08-05,1824.95
2015-08-06,1811.07
2015-08-07,1811.4
2015-08-10,1817.27
2015-08-11,1798.2
2015-08-12,1764.39
2015-08-13,1771.5
2015-08-14,1769.5
2015-08-17,1750.95
2015-08-18,1737.5
2015-08-19,1721.96
2015-08-20,1701.16
2015-08-21,1664.53
2015-08-24,1581.75
2015-08-25,1616.16
2015-08-26,1613.68
2015-08-27,1666.63
2015-08-28,1681.35
2015-08-31,1678.28
2015-09-01,1642.31
2015-09-02,1633.3
2015-09-03,1643.93
2015-09-04,1617.56
2015-09-07,1597.2
2015-09-08,1622.7
2015-09-09,1661.74
2015-09-10,1651.29
2015-09-11,1647.92
2015-09-14,1658.97
2015-09-15,1657.22
2015-09-16,1689.99
2015-09-17,1699.83
2015-09-18,1704.92
2015-09-21,1675.74
2015-09-22,1660.86
2015-09-23,1627.22
2015-09-24,1614.82
2015-09-25,1621.99
2015-09-28,1606.57
2015-09-29,1596.08
2015-09-30,1628.39
2015-10-01,1639.84
2015-10-02,1653.22
2015-10-05,1689.14
2015-10-06,1704.39
2015-10-07,1749.85
2015-10-08,1745.06
2015-10-09,1767.64
2015-10-12,1779.82
2015-10-13,1757.32
2015-10-14,1747.26
2015-10-15,1778.81
2015-10-16,1780.24
2015-10-19,1784.34
2015-10-20,1778.64
2015-10-21,1767.63
2015-10-22,1765.71
2015-10-23,1787.13
2015-10-26,1785.27
2015-10-27,1775.11
2015-10-28,1770.18
2015-10-29,1741.07
2015-10-30,1744.66
2015-11-02,1749.6
2015-11-03,1771.35
2015-11-04,1786.6
2015-11-05,1778.36
2015-11-06,1754.43
2015-11-09,1736.3
2015-11-10,1715.5
2015-11-11,1715.49
2015-11-12,1716.22
2015-11-13,1690.3
2015-11-16,1674.39
2015-11-17,1696.45
2015-11-18,1693.88
2015-11-19,1723.39
2015-11-20,1736.46
2015-11-23,1731.65
2015-11-24,1728.01
2015-11-25,1721.57
2015-11-26,1725.58
2015-11-27,1701.43
2015-11-30,1676.72
2015-12-01,1699.88
2015-12-02,1692.3
2015-12-03,1687.09
2015-12-04,1672.74
2015-12-07,1663.58
2015-12-08,1638.18
2015-12-09,1637.77
2015-12-10,1625.13
2015-12-11,1593.3
2015-12-14,1588.65
2015-12-15,1605.59
2015-12-16,1628.11
2015-12-17,1645.45
2015-12-18,1627.21
2015-12-21,1630.81
