Date,Price
2014-03-10,179.94
2014-03-11,179.95
2014-03-12,178.18
2014-03-13,176.28
2014-03-14,175.06
2014-03-17,176.93
2014-03-18,178.08
2014-03-19,177.94
2014-03-20,178.04
2014-03-21,178.33
2014-03-24,176.52
2014-03-25,178.8
2014-03-26,180.07
2014-03-27,180.4
2014-03-28,181.75
2014-03-31,182.0
2014-04-01,183.06
2014-04-02,183.38
2014-04-03,183.64
2014-04-04,184.75
2014-04-07,182.52
2014-04-08,182.14
2014-04-09,182.82
2014-04-10,181.92
2014-04-11,179.5
2014-04-14,180.54
2014-04-15,178.87
2014-04-16,181.11
2014-04-17,181.96
2014-04-18,181.96
2014-04-21,182.04
2014-04-22,184.44
2014-04-23,183.5
2014-04-24,184.17
2014-04-25,182.84
2014-04-28,183.28
2014-04-29,185.52
2014-04-30,185.65
2014-05-01,185.94
2014-05-02,185.64
2014-05-05,185.34
2014-05-06,184.84
2014-05-07,185.07
2014-05-08,187.12
2014-05-09,186.64
2014-05-12,188.09
2014-05-13,188.69
2014-05-14,188.8
2014-05-15,187.35
2014-05-16,187.9
2014-05-19,187.72
2014-05-20,187.56
2014-05-21,188.66
2014-05-22,188.95
2014-05-23,189.36
2014-05-26,190.43
2014-05-27,190.81
2014-05-28,190.69
2014-05-29,190.87
2014-05-30,190.68
2014-06-02,191.2
2014-06-03,190.39
2014-06-04,190.43
2014-06-05,191.16
2014-06-06,192.37
2014-06-09,193.09
2014-06-10,193.74
2014-06-11,192.81
2014-06-12,192.88
2014-06-13,192.59
2014-06-16,191.77
2014-06-17,192.34
2014-06-18,192.22
2014-06-19,193.31
2014-06-20,193.3
2014-06-23,192.39
2014-06-24,192.05
2014-06-25,190.04
2014-06-26,189.9
2014-06-27,189.98
2014-06-30,189.91
2014-07-01,191.59
2014-07-02,192.01
2014-07-03,193.8
2014-07-04,193.27
2014-07-07,191.57
2014-07-08,188.97
2014-07-09,189.01
2014-07-10,187.06
2014-07-11,187.36
2014-07-14,188.95
2014-07-15,188.29
2014-07-16,190.83
2014-07-17,189.0
2014-07-18,188.99
2014-07-21,188.03
2014-07-22,190.5
2014-07-23,190.74
2014-07-24,191.52
2014-07-25,190.2
2014-07-28,189.86
2014-07-29,190.39
2014-07-30,189.36
2014-07-31,186.99
2014-08-01,184.72
2014-08-04,184.3
2014-08-05,184.9
2014-08-06,183.49
2014-08-07,182.23
2014-08-08,181.1
2014-08-11,183.49
2014-08-12,183.11
2014-08-13,184.0
2014-08-14,184.53
2014-08-15,183.78
2014-08-18,185.97
2014-08-19,187.0
2014-08-20,187.02
2014-08-21,188.2
2014-08-22,187.74
2014-08-25,189.81
2014-08-26,191.19
2014-08-27,191.4
2014-08-28,190.19
2014-08-29,190.76
2014-09-01,191.2
2014-09-02,191.15
2014-09-03,192.43
2014-09-04,194.62
2014-09-05,193.87
2014-09-08,193.09
2014-09-09,192.38
2014-09-10,192.36
2014-09-11,192.11
2014-09-12,192.05
2014-09-15,191.9
2014-09-16,191.37
2014-09-17,192.19
2014-09-18,194.1
2014-09-19,194.48
2014-09-22,193.5
2014-09-23,190.87
2014-09-24,192.27
2014-09-25,190.59
2014-09-26,191.09
2014-09-29,190.37
2014-09-30,191.47
2014-10-01,189.88
2014-10-02,185.3
2014-10-03,187.02
2014-10-06,187.46
2014-10-07,184.67
2014-10-08,183.15
2014-10-09,182.44
2014-10-10,179.56
2014-10-13,179.61
2014-10-14,179.56
2014-10-15,173.87
2014-10-16,173.09
2014-10-17,177.89
2014-10-20,176.92
2014-10-21,180.61
2014-10-22,181.89
2014-10-23,183.2
2014-10-24,182.59
2014-10-27,181.47
2014-10-28,183.17
2014-10-29,183.55
2014-10-30,184.61
2014-10-31,187.97
2014-11-03,186.46
2014-11-04,184.49
2014-11-05,187.58
2014-11-06,188.14
2014-11-07,187.23
2014-11-10,188.56
2014-11-11,189.25
2014-11-12,187.14
2014-11-13,187.61
2014-11-14,187.48
2014-11-17,188.39
2014-11-18,189.52
2014-11-19,189.49
2014-11-20,189.07
2014-11-21,193.0
2014-11-24,193.23
2014-11-25,193.54
2014-11-26,193.56
2014-11-27,194.12
2014-11-28,193.96
2014-12-01,193.06
2014-12-02,194.1
2014-12-03,195.13
2014-12-04,192.56
2014-12-05,195.96
2014-12-08,194.55
2014-12-09,190.1
2014-12-10,189.36
2014-12-11,189.43
2014-12-12,184.44
2014-12-15,180.36
2014-12-16,183.59
2014-12-17,183.89
2014-12-18,189.29
2014-12-19,190.04
2014-12-22,191.0
2014-12-23,192.19
2014-12-24,192.12
2014-12-25,192.12
2014-12-26,192.23
2014-12-29,192.38
2014-12-30,190.47
2014-12-31,191.29
2015-01-01,191.29
2015-01-02,190.57
2015-01-05,186.32
2015-01-06,185.06
2015-01-07,185.97
2015-01-08,191.18
2015-01-09,188.59
2015-01-12,189.67
2015-01-13,192.36
2015-01-14,189.44
2015-01-15,194.56
2015-01-16,196.85
2015-01-19,197.22
2015-01-20,198.79
2015-01-21,200.09
2015-01-22,203.45
2015-01-23,207.06
2015-01-26,208.21
2015-01-27,206.15
2015-01-28,206.42
2015-01-29,206.15
2015-01-30,205.14
2015-02-02,205.38
2015-02-03,207.08
2015-02-04,208.06
2015-02-05,208.31
2015-02-06,208.76
2015-02-09,207.3
2015-02-10,208.51
2015-02-11,207.99
2015-02-12,209.53
2015-02-13,210.84
2015-02-16,210.56
2015-02-17,210.88
2015-02-18,212.69
2015-02-19,213.3
2015-02-20,213.78
2015-02-23,215.31
2015-02-24,216.52
2015-02-25,216.26
2015-02-26,218.47
2015-02-27,219.36
2015-03-02,218.83
2015-03-03,216.96
2015-03-04,218.65
2015-03-05,220.62
2015-03-06,220.81
2015-03-09,220.28
2015-03-10,218.2
2015-03-11,221.49
2015-03-12,221.48
2015-03-13,222.12
2015-03-16,224.2
2015-03-17,222.7
2015-03-18,223.48
2015-03-19,224.82
2015-03-20,226.79
2015-03-23,225.31
2015-03-24,225.94
2015-03-25,223.42
2015-03-26,221.67
2015-03-27,222.28
2015-03-30,224.73
2015-03-31,223.23
2015-04-01,223.97
2015-04-02,223.63
2015-04-03,223.63
2015-04-06,223.18
2015-04-07,227.45
2015-04-08,227.4
2015-04-09,229.94
2015-04-10,232.11
2015-04-13,232.49
2015-04-14,231.5
2015-04-15,232.96
2015-04-16,231.31
2015-04-17,227.3
2015-04-20,229.32
2015-04-21,230.55
2015-04-22,230.5
2015-04-23,229.66
2015-04-24,230.4
2015-04-27,232.72
2015-04-28,229.24
2015-04-29,224.2
2015-04-30,223.51
2015-05-01,222.86
2015-05-04,224.24
2015-05-05,221.14
2015-05-06,219.9
2015-05-07,220.07
2015-05-08,226.4
2015-05-11,227.31
2015-05-12,224.43
2015-05-13,224.02
2015-05-14,225.6
2015-05-15,224.59
2015-05-18,225.73
2015-05-19,229.45
2015-05-20,230.49
2015-05-21,231.47
2015-05-22,231.47
2015-05-25,230.83
2015-05-26,229.07
2015-05-27,232.12
2015-05-28,231.05
2015-05-29,227.07
2015-06-01,227.39
2015-06-02,225.08
2015-06-03,224.8
2015-06-04,222.97
2015-06-05,220.97
2015-06-08,218.98
2015-06-09,218.07
2015-06-10,222.07
2015-06-11,223.36
2015-06-12,221.3
2015-06-15,217.73
2015-06-16,219.12
2015-06-17,218.14
2015-06-18,218.48
2015-06-19,219.22
2015-06-22,224.26
2015-06-23,226.81
2015-06-24,226.02
2015-06-25,225.41
2015-06-26,225.67
2015-06-29,219.57
2015-06-30,216.64
2015-07-01,219.88
2015-07-02,219.06
2015-07-03,217.9
2015-07-06,215.19
2015-07-07,211.79
2015-07-08,212.05
2015-07-09,216.71
2015-07-10,221.13
2015-07-13,225.42
2015-07-14,226.55
2015-07-15,227.44
2015-07-16,230.55
2015-07-17,230.62
2015-07-20,231.25
2015-07-21,228.92
2015-07-22,227.47
2015-07-23,226.28
2015-07-24,224.25
2015-07-27,219.34
2015-07-28,221.64
2015-07-29,223.9
2015-07-30,225.3
2015-07-31,225.31
2015-08-03,227.09
