Date,Price
2010-01-04,7632.54
2010-01-05,7630.54
2010-01-06,7639.58
2010-01-07,7653.15
2010-01-08,7691.81
2010-01-11,7687.93
2010-01-12,7606.08
2010-01-13,7607.63
2010-01-14,7635.97
2010-01-15,7519.24
2010-01-18,7563.12
2010-01-19,7624.38
2010-01-20,7470.88
2010-01-21,7343.88
2010-01-22,7265.2
2010-01-25,7191.17
2010-01-26,7239.08
2010-01-27,7149.24
2010-01-28,7014.21
2010-01-29,7110.56
2010-02-01,7153.45
2010-02-02,7248.76
2010-02-03,7213.26
2010-02-04,7015.09
2010-02-05,6776.47
2010-02-08,6859.2
2010-02-09,6869.65
2010-02-10,6913.1
2010-02-11,6877.24
2010-02-12,6843.62
2010-02-15,6862.92
2010-02-16,6976.67
2010-02-17,7083.47
2010-02-18,7126.48
2010-02-19,7169.0
2010-02-22,7144.73
2010-02-23,7050.32
2010-02-24,7066.72
2010-02-25,6924.25
2010-02-26,7053.64
2010-03-01,7169.15
2010-03-02,7249.76
2010-03-03,7307.95
2010-03-04,7281.11
2010-03-05,7437.08
2010-03-08,7424.01
2010-03-09,7436.31
2010-03-10,7500.09
2010-03-11,7472.33
2010-03-12,7469.38
2010-03-15,7399.98
2010-03-16,7491.36
2010-03-17,7527.37
2010-03-18,7489.89
2010-03-19,7465.66
2010-03-22,7470.53
2010-03-23,7517.22
2010-03-24,7512.01
2010-03-25,7608.38
2010-03-26,7586.41
2010-03-29,7608.71
2010-03-30,7583.51
2010-03-31,7558.03
2010-04-01,7672.56
2010-04-06,7710.04
2010-04-07,7658.75
2010-04-08,7566.5
2010-04-09,7703.59
2010-04-12,7703.51
2010-04-13,7668.3
2010-04-14,7717.2
2010-04-15,7732.32
2010-04-16,7582.04
2010-04-19,7551.31
2010-04-20,7658.16
2010-04-21,7565.0
2010-04-22,7464.16
2010-04-23,7514.84
2010-04-26,7602.5
2010-04-27,7311.91
2010-04-28,7202.37
2010-04-29,7304.35
2010-04-30,7263.16
2010-05-03,7294.85
2010-05-04,7047.64
2010-05-05,6962.29
2010-05-06,6827.83
2010-05-07,6520.68
2010-05-10,7150.52
2010-05-11,7098.46
2010-05-12,7182.91
2010-05-13,7178.43
2010-05-14,6860.9
2010-05-17,6828.51
2010-05-18,6970.67
2010-05-19,6783.06
2010-05-20,6660.38
2010-05-21,6660.99
2010-05-24,6663.22
2010-05-25,6471.23
2010-05-26,6621.4
2010-05-27,6878.27
2010-05-28,6858.27
2010-05-31,6848.55
2010-06-01,6841.48
2010-06-02,6838.41
2010-06-03,6947.45
2010-06-04,6748.78
2010-06-07,6669.01
2010-06-08,6603.84
2010-06-09,6737.97
2010-06-10,6874.55
2010-06-11,6950.57
2010-06-14,7104.34
2010-06-15,7173.84
2010-06-16,7202.08
2010-06-17,7216.09
2010-06-18,7224.18
2010-06-21,7320.06
2010-06-22,7259.67
2010-06-23,7135.2
2010-06-24,6968.6
2010-06-25,6898.76
2010-06-28,7009.93
2010-06-29,6728.75
2010-06-30,6748.15
2010-07-01,6550.59
2010-07-02,6570.11
2010-07-05,6538.89
2010-07-06,6717.25
2010-07-07,6835.15
2010-07-08,6942.7
2010-07-09,6974.53
2010-07-12,7000.4
2010-07-13,7137.95
2010-07-14,7128.57
2010-07-15,7028.18
2010-07-16,6867.96
2010-07-19,6840.81
2010-07-20,6804.88
2010-07-21,6855.7
2010-07-22,7064.96
2010-07-23,7077.69
2010-07-26,7134.85
2010-07-27,7194.15
2010-07-28,7201.91
2010-07-29,7165.71
2010-07-30,7148.5
2010-08-02,7362.16
2010-08-03,7353.29
2010-08-04,7379.21
2010-08-05,7386.02
2010-08-06,7291.56
2010-08-09,7411.89
2010-08-10,7320.07
2010-08-11,7119.36
2010-08-12,7105.21
2010-08-13,7085.25
2010-08-16,7059.14
2010-08-17,7187.73
2010-08-18,7157.89
2010-08-19,7009.71
2010-08-20,6920.23
2010-08-23,6973.83
2010-08-24,6851.89
2010-08-25,6771.58
2010-08-26,6820.35
2010-08-27,6883.94
2010-08-30,6855.84
2010-08-31,6863.27
2010-09-01,7124.86
2010-09-02,7139.79
2010-09-03,7219.94
2010-09-06,7244.58
2010-09-07,7164.13
2010-09-08,7229.78
2010-09-09,7318.15
2010-09-10,7325.36
2010-09-13,7406.63
2010-09-14,7420.88
2010-09-15,7384.0
2010-09-16,7345.97
2010-09-17,7317.89
2010-09-20,7447.65
2010-09-21,7440.54
2010-09-22,7343.52
2010-09-23,7295.45
2010-09-24,7436.77
2010-09-27,7404.68
2010-09-28,7397.19
2010-09-29,7347.59
2010-09-30,7304.45
2010-10-01,7259.05
2010-10-04,7175.92
2010-10-05,7337.37
2010-10-06,7402.22
2010-10-07,7413.15
2010-10-08,7398.81
2010-10-11,7409.25
2010-10-12,7370.67
2010-10-13,7526.92
2010-10-14,7508.91
2010-10-15,7525.03
2010-10-18,7539.04
2010-10-19,7485.31
2010-10-20,7526.56
2010-10-21,7625.1
2010-10-22,7605.97
2010-10-25,7608.84
2010-10-26,7574.74
2010-10-27,7502.22
2010-10-28,7539.72
2010-10-29,7537.07
2010-11-01,7552.03
2010-11-02,7600.42
2010-11-03,7555.64
2010-11-04,7700.81
2010-11-05,7700.71
2010-11-08,7694.76
2010-11-09,7757.7
2010-11-10,7656.16
