Date,Price
2010-01-04,6048.3
2010-01-05,6031.86
2010-01-06,6034.33
2010-01-07,6019.36
2010-01-08,6037.61
2010-01-11,6040.5
2010-01-12,5943.0
2010-01-13,5963.14
2010-01-14,5988.88
2010-01-15,5875.97
2010-01-18,5918.55
2010-01-19,5976.48
2010-01-20,5851.53
2010-01-21,5746.97
2010-01-22,5695.32
2010-01-25,5631.37
2010-01-26,5668.93
2010-01-27,5643.2
2010-01-28,5540.33
2010-01-29,5608.79
2010-02-01,5654.48
2010-02-02,5709.66
2010-02-03,5672.09
2010-02-04,5533.24
2010-02-05,5434.34
2010-02-08,5484.85
2010-02-09,5498.26
2010-02-10,5536.37
2010-02-11,5503.93
2010-02-12,5500.39
2010-02-15,5511.1
2010-02-16,5592.12
2010-02-17,5648.34
2010-02-18,5680.41
2010-02-19,5722.05
2010-02-22,5688.44
2010-02-23,5604.07
2010-02-24,5615.51
2010-02-25,5532.33
2010-02-26,5598.46
2010-03-01,5713.51
2010-03-02,5776.56
2010-03-03,5817.88
2010-03-04,5795.32
2010-03-05,5877.36
2010-03-08,5875.91
2010-03-09,5885.89
2010-03-10,5936.72
2010-03-11,5928.63
2010-03-12,5945.11
2010-03-15,5903.56
2010-03-16,5970.99
2010-03-17,6024.28
2010-03-18,6012.31
2010-03-19,5982.43
2010-03-22,5987.5
2010-03-23,6017.27
2010-03-24,6039.0
2010-03-25,6132.95
2010-03-26,6120.05
2010-03-29,6156.85
2010-03-30,6142.45
2010-03-31,6153.55
2010-04-01,6235.56
2010-04-05,6235.56
2010-04-06,6252.21
2010-04-07,6222.41
2010-04-08,6171.83
2010-04-09,6249.7
2010-04-12,6250.69
2010-04-13,6230.83
2010-04-14,6278.4
2010-04-15,6291.45
2010-04-16,6180.9
2010-04-19,6162.44
2010-04-20,6264.23
2010-04-21,6230.38
2010-04-22,6168.72
2010-04-23,6259.53
2010-04-26,6332.1
2010-04-27,6159.51
2010-04-28,6084.34
2010-04-29,6144.91
2010-04-30,6135.7
2010-05-03,6166.92
2010-05-04,6006.86
2010-05-05,5958.45
2010-05-06,5908.26
2010-05-07,5715.09
2010-05-10,6017.91
2010-05-11,6037.71
2010-05-12,6183.49
2010-05-13,6251.97
2010-05-14,6056.71
2010-05-17,6066.92
2010-05-18,6155.93
2010-05-19,5988.67
2010-05-20,5867.88
2010-05-21,5829.25
2010-05-24,5805.68
2010-05-25,5670.04
2010-05-26,5758.02
2010-05-27,5937.14
2010-05-28,5946.18
2010-05-31,5964.33
2010-06-01,5981.27
2010-06-02,5981.2
2010-06-03,6054.63
2010-06-04,5938.88
2010-06-07,5904.95
2010-06-08,5868.55
2010-06-09,5984.75
2010-06-10,6056.59
2010-06-11,6047.83
2010-06-14,6125.0
2010-06-15,6175.05
2010-06-16,6190.91
2010-06-17,6223.54
2010-06-18,6216.98
2010-06-21,6292.97
2010-06-22,6269.04
2010-06-23,6204.52
2010-06-24,6115.48
2010-06-25,6070.6
2010-06-28,6157.22
2010-06-29,5952.03
2010-06-30,5965.52
2010-07-01,5857.43
2010-07-02,5834.15
2010-07-05,5816.2
2010-07-06,5940.98
2010-07-07,5992.86
2010-07-08,6035.66
2010-07-09,6065.24
2010-07-12,6077.19
2010-07-13,6191.13
2010-07-14,6209.76
2010-07-15,6149.36
2010-07-16,6040.27
2010-07-19,6009.11
2010-07-20,5967.49
2010-07-21,5990.38
2010-07-22,6142.15
2010-07-23,6166.34
2010-07-26,6194.21
2010-07-27,6207.31
2010-07-28,6178.94
2010-07-29,6134.7
2010-07-30,6147.97
2010-08-02,6292.13
2010-08-03,6307.91
2010-08-04,6331.33
2010-08-05,6333.58
2010-08-06,6259.63
2010-08-09,6351.6
2010-08-10,6286.25
2010-08-11,6154.07
2010-08-12,6135.17
2010-08-13,6110.41
2010-08-16,6110.57
2010-08-17,6206.4
2010-08-18,6186.31
2010-08-19,6075.13
2010-08-20,6005.16
2010-08-23,6010.91
2010-08-24,5935.44
2010-08-25,5899.5
2010-08-26,5912.58
2010-08-27,5951.17
2010-08-30,5912.41
2010-08-31,5925.22
2010-09-01,6083.9
2010-09-02,6083.85
2010-09-03,6134.62
2010-09-06,6155.04
2010-09-07,6117.89
2010-09-08,6164.44
2010-09-09,6221.52
2010-09-10,6214.77
2010-09-13,6261.68
2010-09-14,6275.41
2010-09-15,6261.87
2010-09-16,6249.65
2010-09-17,6209.76
2010-09-20,6294.58
2010-09-21,6275.98
2010-09-22,6208.33
2010-09-23,6184.71
2010-09-24,6298.3
2010-09-27,6278.89
2010-09-28,6276.09
2010-09-29,6246.92
2010-09-30,6229.02
2010-10-01,6211.34
2010-10-04,6134.21
2010-10-05,6215.83
2010-10-06,6270.73
2010-10-07,6276.25
2010-10-08,6291.67
2010-10-11,6309.51
2010-10-12,6304.57
2010-10-13,6434.52
2010-10-14,6455.27
2010-10-15,6492.3
2010-10-18,6516.63
2010-10-19,6490.69
2010-10-20,6524.55
2010-10-21,6611.01
2010-10-22,6605.84
2010-10-25,6639.21
2010-10-26,6613.8
2010-10-27,6568.0
2010-10-28,6595.28
2010-10-29,6601.37
2010-11-01,6604.86
2010-11-02,6654.31
2010-11-03,6617.8
2010-11-04,6734.69
2010-11-05,6754.2
2010-11-08,6750.5
2010-11-09,6787.81
2010-11-10,6719.84
2010-11-11,6723.41
2010-11-12,6734.61
2010-11-15,6790.17
2010-11-16,6663.24
2010-11-17,6700.07
2010-11-18,6832.11
2010-11-19,6843.55
2010-11-22,6822.05
2010-11-23,6705.0
2010-11-24,6823.8
2010-11-25,6879.66
2010-11-26,6848.98
2010-11-29,6697.97
2010-11-30,6688.49
2010-12-01,6866.63
2010-12-02,6957.61
2010-12-03,6947.72
2010-12-06,6954.38
2010-12-07,7001.91
2010-12-08,6975.87
2010-12-09,6964.16
2010-12-10,7006.17
2010-12-13,7029.39
2010-12-14,7027.4
2010-12-15,7016.37
2010-12-16,7024.4
2010-12-17,6982.45
2010-12-20,7018.6
2010-12-21,7077.99
2010-12-22,7067.92
2010-12-23,7057.69
2010-12-27,6970.73
2010-12-28,6972.1
2010-12-29,6995.47
2010-12-30,6914.19
2011-01-03,6989.74
2011-01-04,6975.35
2011-01-05,6939.82
2011-01-06,6981.39
2011-01-07,6947.84
2011-01-10,6857.06
2011-01-11,6941.57
2011-01-12,7068.78
2011-01-13,7075.11
2011-01-14,7075.7
2011-01-17,7078.06
2011-01-18,7143.45
2011-01-19,7082.76
2011-01-20,7024.27
2011-01-21,7062.42
2011-01-24,7067.77
2011-01-25,7059.01
2011-01-26,7127.35
2011-01-27,7155.58
2011-01-28,7102.8
2011-01-31,7077.48
2011-02-01,7184.27
2011-02-02,7183.67
2011-02-03,7193.68
2011-02-04,7216.21
2011-02-07,7283.62
2011-02-08,7323.24
2011-02-09,7320.9
2011-02-10,7340.28
2011-02-11,7371.2
2011-02-14,7396.63
2011-02-15,7400.04
2011-02-16,7414.3
2011-02-17,7405.51
2011-02-18,7426.81
2011-02-21,7321.81
2011-02-22,7318.35
2011-02-23,7194.6
2011-02-24,7130.5
2011-02-25,7185.17
2011-02-28,7272.32
2011-03-01,7223.3
2011-03-02,7181.12
2011-03-03,7225.96
2011-03-04,7178.9
2011-03-07,7161.93
2011-03-08,7164.75
2011-03-09,7131.8
2011-03-10,7063.09
2011-03-11,6981.49
