Date,Price
2010-01-04,1118.3
2010-01-05,1118.7
2010-01-06,1136.5
2010-01-07,1133.7
2010-01-08,1138.9
2010-01-11,1151.4
2010-01-12,1129.4
2010-01-13,1136.8
2010-01-14,1143.0
2010-01-15,1130.5
2010-01-18,1140.0
2010-01-20,1112.6
2010-01-21,1103.2
2010-01-22,1089.7
2010-01-25,1095.7
2010-01-26,1098.3
2010-01-27,1084.5
2010-01-28,1084.8
2010-01-29,1083.8
2010-02-01,1105.0
2010-02-02,1118.0
2010-02-03,1112.0
2010-02-04,1063.0
2010-02-05,1052.8
2010-02-08,1066.2
2010-02-09,1077.2
2010-02-10,1076.3
2010-02-11,1094.7
2010-02-12,1090.0
2010-02-15,1119.8
2010-02-17,1120.1
2010-02-18,1118.7
2010-02-19,1122.1
2010-02-22,1113.1
2010-02-23,1103.2
2010-02-24,1097.2
2010-02-25,1108.5
2010-02-26,1118.9
2010-03-01,1118.3
2010-03-02,1137.4
2010-03-03,1143.3
2010-03-04,1133.1
2010-03-05,1135.2
2010-03-08,1124.0
2010-03-09,1122.3
2010-03-10,1108.1
2010-03-11,1108.2
2010-03-12,1101.7
2010-03-15,1105.4
2010-03-16,1122.5
2010-03-17,1124.2
2010-03-18,1127.5
2010-03-19,1107.6
2010-03-22,1099.5
2010-03-23,1103.7
2010-03-24,1088.8
2010-03-25,1092.9
2010-03-26,1104.3
2010-03-29,1110.3
2010-03-30,1105.7
2010-03-31,1114.5
2010-04-01,1126.1
2010-04-05,1133.8
2010-04-06,1136.0
2010-04-07,1153.0
2010-04-08,1152.9
2010-04-09,1161.9
2010-04-12,1162.2
2010-04-13,1153.4
2010-04-14,1159.6
2010-04-15,1160.3
2010-04-16,1136.9
2010-04-19,1135.8
2010-04-20,1139.2
2010-04-21,1148.8
2010-04-22,1142.9
2010-04-23,1153.7
2010-04-26,1154.0
2010-04-27,1162.2
2010-04-28,1171.8
2010-04-29,1168.8
2010-04-30,1180.7
2010-05-03,1183.3
2010-05-04,1169.2
2010-05-05,1175.0
2010-05-06,1197.3
2010-05-07,1210.4
2010-05-10,1200.8
2010-05-11,1220.3
2010-05-12,1243.1
2010-05-13,1229.2
2010-05-14,1227.8
2010-05-17,1228.1
2010-05-18,1214.6
2010-05-19,1193.1
2010-05-20,1188.6
2010-05-21,1176.1
2010-05-24,1194.0
2010-05-25,1198.0
2010-05-26,1213.4
2010-05-27,1214.4
2010-05-28,1215.0
2010-05-31,1226.9
2010-06-02,1222.6
2010-06-03,1210.0
2010-06-04,1217.7
2010-06-07,1240.8
2010-06-08,1245.6
2010-06-09,1229.9
2010-06-10,1222.2
2010-06-11,1230.2
2010-06-14,1224.5
2010-06-15,1234.4
2010-06-16,1230.5
2010-06-17,1248.7
2010-06-18,1258.3
2010-06-21,1240.7
2010-06-22,1240.8
2010-06-23,1234.8
2010-06-24,1245.9
2010-06-25,1256.2
2010-06-28,1238.6
2010-06-29,1242.4
2010-06-30,1245.9
2010-07-01,1206.7
2010-07-02,1207.7
2010-07-05,1195.1
2010-07-07,1198.9
2010-07-08,1196.1
2010-07-09,1209.8
2010-07-12,1198.7
2010-07-13,1213.5
2010-07-14,1207.0
2010-07-15,1208.3
2010-07-16,1188.2
2010-07-19,1181.9
2010-07-20,1191.7
2010-07-21,1191.8
2010-07-22,1195.6
2010-07-23,1187.8
2010-07-26,1183.1
2010-07-27,1158.0
2010-07-28,1160.4
2010-07-29,1171.2
2010-07-30,1183.9
2010-08-02,1185.4
2010-08-03,1187.5
2010-08-04,1195.9
2010-08-05,1199.3
2010-08-06,1205.3
2010-08-09,1202.6
2010-08-10,1198.0
2010-08-11,1199.2
2010-08-12,1216.7
2010-08-13,1216.6
2010-08-16,1226.2
2010-08-17,1228.3
2010-08-18,1231.4
2010-08-19,1235.4
2010-08-20,1228.8
2010-08-23,1228.5
2010-08-24,1233.4
2010-08-25,1241.3
2010-08-26,1237.7
2010-08-27,1237.9
2010-08-30,1239.2
2010-08-31,1250.3
2010-09-01,1248.1
2010-09-02,1253.4
2010-09-03,1251.1
2010-09-06,1259.3
2010-09-08,1257.5
2010-09-09,1250.9
2010-09-10,1246.5
2010-09-13,1247.1
2010-09-14,1271.7
2010-09-15,1268.7
2010-09-16,1273.8
2010-09-17,1277.5
2010-09-20,1280.8
2010-09-21,1274.3
2010-09-22,1292.1
2010-09-23,1296.3
2010-09-24,1298.1
2010-09-27,1298.6
2010-09-28,1308.3
2010-09-29,1310.3
2010-09-30,1309.6
2010-10-01,1317.8
2010-10-04,1316.8
2010-10-05,1340.3
2010-10-06,1347.7
2010-10-07,1335.0
2010-10-08,1345.3
2010-10-11,1354.4
2010-10-12,1346.7
2010-10-13,1370.5
2010-10-14,1377.6
2010-10-15,1372.0
2010-10-18,1372.1
2010-10-19,1336.0
2010-10-20,1344.2
2010-10-21,1325.6
2010-10-22,1325.1
2010-10-25,1338.9
2010-10-26,1338.6
2010-10-27,1322.6
2010-10-28,1342.5
2010-10-29,1357.6
2010-11-01,1350.6
2010-11-02,1356.9
2010-11-03,1337.6
2010-11-04,1383.1
2010-11-05,1397.7
2010-11-08,1403.2
2010-11-09,1410.1
2010-11-10,1399.3
2010-11-11,1403.3
2010-11-12,1365.5
2010-11-15,1368.5
2010-11-16,1338.4
2010-11-17,1336.9
2010-11-18,1353.0
2010-11-19,1352.3
2010-11-22,1357.8
2010-11-23,1377.6
2010-11-24,1373.0
2010-11-25,1362.4
2010-11-29,1367.5
2010-11-30,1386.1
2010-12-01,1388.3
2010-12-02,1389.3
2010-12-03,1406.2
2010-12-06,1416.1
2010-12-07,1409.0
2010-12-08,1383.2
2010-12-09,1392.8
2010-12-10,1384.9
2010-12-13,1398.0
2010-12-14,1404.3
2010-12-15,1386.2
2010-12-16,1371.0
2010-12-17,1379.2
2010-12-20,1386.1
2010-12-21,1388.8
2010-12-22,1387.4
2010-12-23,1380.5
2010-12-27,1382.9
2010-12-28,1405.6
2010-12-29,1413.5
2010-12-30,1405.9
2010-12-31,1421.4
2011-01-03,1422.9
2011-01-04,1378.8
2011-01-05,1373.7
2011-01-06,1371.7
2011-01-07,1368.9
2011-01-10,1374.1
2011-01-11,1384.3
2011-01-12,1385.8
2011-01-13,1387.0
2011-01-14,1360.5
2011-01-17,1368.2
2011-01-19,1370.2
2011-01-20,1346.5
2011-01-21,1341.0
2011-01-24,1344.5
2011-01-25,1332.3
2011-01-26,1333.0
2011-01-27,1318.4
2011-01-28,1341.7
2011-01-31,1334.5
2011-02-01,1340.3
2011-02-02,1332.1
2011-02-03,1353.0
2011-02-04,1349.0
2011-02-07,1348.2
2011-02-08,1364.1
2011-02-09,1365.5
2011-02-10,1362.5
2011-02-11,1360.4
2011-02-14,1365.1
2011-02-15,1374.1
2011-02-16,1375.1
2011-02-17,1385.1
2011-02-18,1388.6
2011-02-21,1401.1
2011-02-23,1414.0
2011-02-24,1415.8
2011-02-25,1409.3
2011-02-28,1409.9
2011-03-01,1431.2
2011-03-02,1437.7
2011-03-03,1416.4
2011-03-04,1428.6
2011-03-07,1434.5
2011-03-08,1427.2
2011-03-09,1429.6
2011-03-10,1412.5
2011-03-11,1421.8
