Date,Price
2010-01-04,6495.62
2010-01-05,6495.62
2010-01-06,6557.2
2010-01-07,6533.98
2010-01-08,6511.19
2010-01-11,6517.09
2010-01-12,6468.64
2010-01-13,6497.91
2010-01-14,6530.12
2010-01-15,6520.55
2010-01-18,6548.67
2010-01-19,6487.84
2010-01-20,6482.96
2010-01-21,6324.57
2010-01-22,6252.42
2010-01-25,6217.5
2010-01-27,6025.64
2010-01-28,6043.21
2010-01-29,6061.68
2010-02-01,6083.89
2010-02-02,5997.46
2010-02-03,6123.81
2010-02-04,6016.87
2010-02-05,5860.4
2010-02-06,5908.36
2010-02-08,5912.26
2010-02-09,5952.92
2010-02-10,5908.85
2010-02-11,5995.36
2010-02-15,5964.46
2010-02-16,6031.31
2010-02-17,6103.65
2010-02-18,6071.38
2010-02-19,6018.14
2010-02-22,6032.45
2010-02-23,6049.39
2010-02-24,6035.17
2010-02-25,6036.57
2010-02-26,6036.57
2010-03-02,6231.89
2010-03-03,6320.23
2010-03-04,6310.46
2010-03-05,6320.95
2010-03-08,6364.81
2010-03-09,6336.9
2010-03-10,6355.21
2010-03-11,6376.49
2010-03-12,6381.0
2010-03-15,6370.91
2010-03-16,6456.89
2010-03-17,6498.88
2010-03-18,6517.13
2010-03-19,6538.14
2010-03-22,6466.59
2010-03-23,6491.98
2010-03-25,6535.6
2010-03-26,6562.47
2010-03-29,6588.34
2010-03-30,6538.16
2010-03-31,6521.55
2010-04-01,6572.99
2010-04-05,6669.82
2010-04-06,6666.78
2010-04-07,6666.78
2010-04-08,6590.34
2010-04-09,6661.54
2010-04-12,6634.12
2010-04-13,6634.12
2010-04-15,6554.45
2010-04-16,6554.45
2010-04-19,6467.49
2010-04-20,6500.38
2010-04-21,6518.8
2010-04-22,6549.19
2010-04-23,6592.4
2010-04-26,6615.25
2010-04-27,6597.71
2010-04-28,6482.27
2010-04-29,6530.38
2010-04-30,6559.98
2010-05-03,6491.43
2010-05-04,6399.12
2010-05-05,6369.8
2010-05-06,6327.5
2010-05-07,6237.0
2010-05-10,6459.39
2010-05-11,6387.96
2010-05-12,6413.47
2010-05-13,6441.15
2010-05-14,6334.91
2010-05-17,6293.1
2010-05-18,6300.98
2010-05-19,6119.53
2010-05-20,6155.32
2010-05-21,6134.86
2010-05-24,6150.77
2010-05-25,5980.08
2010-05-26,6120.27
2010-05-27,6227.0
2010-05-28,6305.91
2010-05-31,6330.54
2010-06-01,6186.03
2010-06-02,6247.84
2010-06-03,6360.67
2010-06-04,6391.73
2010-06-07,6265.44
2010-06-08,6207.06
2010-06-09,6234.29
2010-06-10,6338.1
2010-06-11,6388.96
2010-06-14,6486.71
2010-06-15,6520.6
2010-06-16,6534.36
2010-06-17,6586.69
2010-06-18,6571.38
2010-06-21,6684.61
2010-06-22,6638.74
2010-06-23,6646.99
2010-06-24,6643.81
2010-06-25,6579.46
2010-06-28,6659.94
2010-06-29,6566.44
2010-06-30,6636.89
2010-07-01,6560.61
2010-07-02,6542.72
2010-07-05,6541.23
2010-07-06,6607.6
2010-07-07,6547.69
2010-07-08,6620.64
2010-07-09,6690.13
2010-07-12,6729.96
2010-07-13,6752.08
2010-07-14,6733.92
2010-07-15,6724.67
2010-07-16,6743.58
2010-07-19,6734.28
2010-07-20,6711.23
2010-07-21,6750.4
2010-07-22,6803.67
2010-07-23,6812.99
2010-07-26,6774.85
2010-07-27,6789.82
2010-07-28,6748.86
2010-07-29,6763.76
2010-07-30,6712.14
2010-08-02,6792.23
2010-08-03,6802.06
2010-08-04,6837.5
2010-08-05,6811.88
2010-08-06,6802.05
2010-08-09,6870.7
2010-08-10,6830.53
2010-08-11,6780.37
