Date,Price
2010-01-03,243.69
2010-01-04,243.2
2010-01-05,243.43
2010-01-06,243.63
2010-01-07,243.6
2010-01-10,244.01
2010-01-11,244.82
2010-01-12,245.87
2010-01-13,245.9
2010-01-14,246.13
2010-01-17,246.43
2010-01-18,246.63
2010-01-19,246.99
2010-01-20,246.61
2010-01-21,246.94
2010-01-24,246.94
2010-01-25,246.46
2010-01-26,245.82
2010-01-27,245.69
2010-01-28,245.95
2010-01-31,246.46
2010-02-01,246.65
2010-02-02,246.76
2010-02-03,247.04
2010-02-04,246.89
2010-02-07,246.86
2010-02-08,247.09
2010-02-09,246.73
2010-02-10,246.38
2010-02-11,245.89
2010-02-14,245.97
2010-02-15,246.22
2010-02-16,245.39
2010-02-17,245.48
2010-02-18,245.26
2010-02-21,245.0
2010-02-22,244.65
2010-02-23,244.49
2010-02-24,244.47
2010-02-25,244.9
2010-03-01,245.92
2010-03-02,245.82
2010-03-03,246.46
2010-03-04,246.67
2010-03-07,246.49
2010-03-08,246.48
2010-03-09,247.24
2010-03-10,247.78
2010-03-11,247.93
2010-03-14,248.25
2010-03-15,248.2
2010-03-16,248.79
2010-03-17,249.14
2010-03-18,249.21
2010-03-21,248.94
2010-03-22,248.83
2010-03-23,249.35
2010-03-24,249.07
2010-03-25,248.79
2010-03-28,248.24
2010-03-31,247.79
2010-04-01,247.54
2010-04-06,246.93
2010-04-07,247.03
2010-04-08,247.5
2010-04-11,248.4
2010-04-12,248.06
2010-04-13,248.52
2010-04-14,248.91
2010-04-15,248.89
2010-04-18,249.36
2010-04-21,249.85
2010-04-22,249.8
2010-04-25,249.59
2010-04-26,249.73
2010-04-27,250.47
2010-04-28,250.21
2010-04-29,250.53
2010-05-02,250.76
2010-05-03,250.81
2010-05-04,250.79
2010-05-05,250.38
2010-05-06,250.2
2010-05-09,249.78
2010-05-10,250.27
2010-05-11,250.54
2010-05-12,250.7
2010-05-13,251.08
2010-05-16,252.17
2010-05-17,252.31
2010-05-20,253.22
2010-05-23,253.46
2010-05-24,254.03
2010-05-25,253.7
2010-05-26,253.29
2010-05-27,254.01
2010-05-30,254.72
2010-05-31,254.68
2010-06-01,255.11
2010-06-02,255.38
2010-06-03,255.32
2010-06-06,255.88
2010-06-07,256.14
2010-06-08,256.54
2010-06-09,256.49
2010-06-10,256.87
2010-06-13,257.09
2010-06-14,257.22
2010-06-15,257.26
2010-06-16,258.02
2010-06-17,257.96
2010-06-20,258.15
2010-06-21,258.04
2010-06-22,258.77
2010-06-23,259.35
2010-06-24,259.77
2010-06-27,260.02
2010-06-28,259.73
2010-06-29,260.82
2010-06-30,261.65
2010-07-01,262.18
2010-07-04,262.28
2010-07-05,263.06
2010-07-06,263.3
2010-07-07,263.36
2010-07-08,262.67
2010-07-11,261.38
2010-07-12,260.2
2010-07-13,260.03
2010-07-14,260.42
2010-07-15,260.29
2010-07-18,260.95
2010-07-19,261.29
2010-07-21,261.47
2010-07-22,262.57
2010-07-25,262.68
2010-07-26,262.87
2010-07-27,261.76
2010-07-28,261.7
2010-07-29,262.89
2010-08-01,263.72
2010-08-02,264.09
2010-08-03,264.04
2010-08-04,264.76
2010-08-05,264.97
2010-08-08,266.2
2010-08-09,266.3
2010-08-10,266.27
2010-08-11,267.02
2010-08-12,267.24
2010-08-15,267.76
2010-08-16,267.64
2010-08-17,267.75
2010-08-18,267.61
2010-08-19,267.01
2010-08-22,267.6
2010-08-23,267.73
2010-08-24,268.23
2010-08-25,269.25
2010-08-26,269.49
2010-08-29,269.71
2010-08-30,269.83
2010-08-31,270.89
2010-09-01,271.1
2010-09-02,270.64
2010-09-05,269.44
2010-09-06,269.1
2010-09-07,269.17
2010-09-12,268.2
2010-09-13,267.5
2010-09-14,266.78
2010-09-15,267.05
2010-09-16,266.23
2010-09-19,265.88
2010-09-20,265.95
2010-09-21,265.59
2010-09-26,266.44
2010-09-27,267.67
2010-09-28,267.21
2010-10-03,267.74
2010-10-04,267.89
2010-10-05,268.75
2010-10-06,269.32
2010-10-07,270.12
2010-10-10,271.29
2010-10-11,272.44
2010-10-12,272.85
2010-10-13,271.75
2010-10-14,272.05
2010-10-17,271.79
2010-10-18,272.51
2010-10-19,273.34
2010-10-20,272.9
2010-10-21,272.43
2010-10-24,272.26
2010-10-25,272.37
2010-10-26,272.39
2010-10-27,272.1
2010-10-28,272.97
2010-10-31,274.17
2010-11-01,274.23
2010-11-02,274.64
2010-11-03,273.99
2010-11-04,274.02
2010-11-07,273.67
2010-11-08,272.11
2010-11-09,271.58
2010-11-10,270.5
2010-11-11,270.38
2010-11-14,268.59
2010-11-15,268.6
2010-11-16,269.54
2010-11-17,270.21
2010-11-18,269.93
2010-11-21,270.45
2010-11-22,270.83
2010-11-23,272.06
2010-11-24,271.66
2010-11-25,271.07
2010-11-28,269.8
2010-11-29,269.98
2010-11-30,269.99
2010-12-01,268.6
2010-12-02,268.22
2010-12-05,268.17
2010-12-06,268.37
2010-12-07,268.14
2010-12-08,267.54
2010-12-09,267.81
2010-12-12,267.26
2010-12-13,266.95
2010-12-14,266.78
2010-12-15,266.32
2010-12-16,265.94
2010-12-19,266.77
2010-12-20,266.99
2010-12-21,266.54
2010-12-22,266.4
2010-12-23,265.91
2010-12-26,264.48
2010-12-27,264.37
2010-12-28,265.2
2010-12-29,265.01
2010-12-30,266.21
2011-01-02,267.15
2011-01-03,266.83
2011-01-04,267.17
2011-01-05,266.43
2011-01-06,265.94
2011-01-09,266.38
2011-01-10,267.08
2011-01-11,267.69
2011-01-12,267.35
2011-01-13,267.75
2011-01-16,267.98
2011-01-17,268.35
2011-01-18,268.96
2011-01-19,268.86
2011-01-20,268.19
2011-01-23,267.36
2011-01-24,267.35
2011-01-25,267.84
2011-01-26,267.58
2011-01-27,266.7
2011-01-30,265.68
2011-01-31,265.6
2011-02-01,265.35
2011-02-02,265.34
2011-02-03,264.58
2011-02-06,264.29
2011-02-07,264.23
2011-02-08,264.76
2011-02-09,265.16
2011-02-10,265.28
2011-02-13,265.64
2011-02-14,265.7
2011-02-15,265.97
2011-02-16,265.99
2011-02-17,265.76
2011-02-20,265.35
2011-02-21,265.16
2011-02-22,265.18
2011-02-23,265.24
2011-02-24,266.05
2011-02-27,267.07
2011-02-28,267.1
2011-03-01,266.38
2011-03-02,265.73
2011-03-03,265.3
2011-03-06,265.15
2011-03-07,264.66
2011-03-08,264.47
2011-03-09,264.47
2011-03-10,264.61
2011-03-13,264.73
2011-03-14,264.32
2011-03-15,264.49
2011-03-16,264.74
2011-03-17,264.66
2011-03-21,264.4
2011-03-22,264.37
2011-03-23,264.44
2011-03-24,263.77
2011-03-27,262.91
2011-03-28,262.78
2011-03-29,261.2
2011-03-30,259.8
2011-03-31,259.94
2011-04-03,260.44
2011-04-04,260.6
2011-04-05,260.96
2011-04-06,260.99
2011-04-07,260.6
2011-04-10,259.96
2011-04-11,259.1
2011-04-12,259.36
2011-04-13,259.32
2011-04-14,259.78
2011-04-17,260.13
2011-04-20,260.67
2011-04-21,260.67
2011-04-26,261.46
2011-04-27,261.64
2011-04-28,261.63
2011-05-01,261.58
2011-05-02,261.05
2011-05-03,261.05
2011-05-04,260.8
2011-05-05,261.09
2011-05-08,261.15
2011-05-11,260.96
2011-05-12,261.38
2011-05-15,261.86
2011-05-16,262.79
2011-05-17,263.2
2011-05-18,263.74
2011-05-19,263.1
2011-05-22,263.36
2011-05-23,263.07
2011-05-24,262.57
2011-05-25,262.9
2011-05-26,263.35
2011-05-29,264.41
2011-05-30,265.16
2011-05-31,265.34
2011-06-01,266.0
2011-06-02,266.26
2011-06-05,266.43
2011-06-06,266.26
2011-06-09,266.23
2011-06-12,266.44
2011-06-13,265.53
2011-06-14,265.41
2011-06-15,264.57
2011-06-16,264.17
2011-06-19,263.54
2011-06-20,263.09
2011-06-21,263.94
2011-06-22,264.51
2011-06-23,264.75
2011-06-26,265.31
2011-06-27,265.39
2011-06-28,265.52
2011-06-29,264.87
2011-06-30,265.16
2011-07-03,264.6
