Date,Price
2017-09-17,474.41
2017-09-18,473.73
2017-09-19,473.61
2017-09-24,473.06
2017-09-25,473.29
2017-09-26,473.23
2017-09-27,472.34
2017-09-28,472.25
2017-10-01,472.28
2017-10-02,472.41
2017-10-03,472.18
2017-10-08,472.27
2017-10-09,472.51
2017-10-10,472.47
2017-10-15,473.29
2017-10-16,473.35
2017-10-17,473.11
2017-10-18,472.72
2017-10-19,473.05
2017-10-22,472.06
2017-10-23,472.17
2017-10-24,471.72
2017-10-25,470.95
2017-10-26,470.77
2017-10-29,471.33
2017-10-30,472.18
2017-10-31,472.95
2017-11-01,472.87
2017-11-02,473.19
2017-11-05,474.01
2017-11-06,474.64
2017-11-07,475.11
2017-11-08,475.5
2017-11-09,475.11
2017-11-12,474.28
2017-11-13,474.48
2017-11-14,474.1
2017-11-15,474.53
2017-11-16,473.6
2017-11-19,473.8
2017-11-20,473.71
2017-11-21,473.81
2017-11-22,473.15
2017-11-23,473.67
2017-11-26,473.36
2017-11-27,473.01
2017-11-28,473.57
2017-11-29,473.07
2017-11-30,473.48
2017-12-03,472.47
2017-12-04,472.84
2017-12-05,473.26
2017-12-06,473.27
2017-12-07,473.15
2017-12-10,473.26
2017-12-11,473.55
2017-12-12,473.28
2017-12-13,473.54
2017-12-14,474.5
2017-12-17,476.46
2017-12-18,476.78
2017-12-19,476.05
2017-12-20,475.24
2017-12-21,475.26
2017-12-24,475.67
2017-12-25,476.23
2017-12-26,476.55
2017-12-27,476.84
2017-12-28,477.14
2017-12-31,477.77
2018-01-01,477.74
2018-01-02,476.85
2018-01-03,477.09
2018-01-04,476.67
2018-01-07,477.26
2018-01-08,478.28
2018-01-09,477.34
2018-01-10,476.56
2018-01-11,476.86
2018-01-14,477.73
2018-01-15,478.13
2018-01-16,478.29
2018-01-17,478.18
2018-01-18,477.96
2018-01-21,476.8
2018-01-22,477.23
2018-01-23,477.16
2018-01-24,476.73
2018-01-25,476.79
2018-01-28,476.51
2018-01-29,475.55
2018-01-30,475.59
2018-01-31,475.35
2018-02-01,474.56
2018-02-04,473.1
2018-02-05,472.96
2018-02-06,472.94
2018-02-07,472.22
2018-02-08,471.27
2018-02-11,470.0
2018-02-12,469.65
2018-02-13,469.32
2018-02-14,468.56
2018-02-15,469.08
2018-02-18,471.6
2018-02-19,470.75
2018-02-20,470.58
2018-02-21,471.08
2018-02-22,470.96
2018-02-25,471.79
2018-02-26,472.62
2018-02-27,472.93
2018-02-28,473.64
2018-03-04,474.14
2018-03-05,474.78
2018-03-06,474.75
2018-03-07,474.59
2018-03-08,474.41
2018-03-11,474.22
2018-03-12,474.27
2018-03-13,474.62
2018-03-14,475.14
2018-03-15,474.96
2018-03-18,475.04
2018-03-19,475.44
2018-03-20,475.57
2018-03-21,475.47
2018-03-22,477.4
2018-03-25,477.28
2018-03-26,477.6
2018-03-27,477.36
2018-03-28,477.67
2018-03-29,478.05
2018-04-01,478.33
2018-04-02,477.91
2018-04-03,477.45
2018-04-04,477.04
2018-04-08,477.24
2018-04-09,476.04
2018-04-10,475.21
2018-04-11,475.19
2018-04-12,475.0
2018-04-15,474.95
2018-04-16,475.21
2018-04-17,474.86
2018-04-22,472.52
2018-04-23,471.58
2018-04-24,471.25
2018-04-25,471.28
2018-04-26,472.64
2018-04-29,472.54
2018-04-30,472.14
2018-05-01,471.86
2018-05-02,472.26
2018-05-03,472.68
2018-05-06,472.45
2018-05-07,472.53
2018-05-08,471.98
2018-05-09,470.89
2018-05-10,471.71
2018-05-13,471.63
2018-05-14,470.68
2018-05-15,469.74
2018-05-16,469.76
2018-05-17,469.88
2018-05-21,469.8
2018-05-22,469.97
2018-05-23,470.87
2018-05-24,471.68
2018-05-27,473.9
2018-05-28,474.06
2018-05-29,474.52
2018-05-30,474.49
2018-05-31,474.47
2018-06-03,473.85
