Date,Price
2010-01-03,412.83
2010-01-04,422.28
2010-01-05,422.71
2010-01-06,421.24
2010-01-07,411.04
2010-01-10,420.8
2010-01-11,416.63
2010-01-12,408.25
2010-01-13,413.93
2010-01-14,416.67
2010-01-17,418.25
2010-01-18,420.58
2010-01-19,421.89
2010-01-20,425.07
2010-01-21,428.52
2010-01-24,420.48
2010-01-25,421.2
2010-01-26,416.47
2010-01-27,414.27
2010-01-28,418.9
2010-01-31,414.88
2010-02-01,415.27
2010-02-02,418.37
2010-02-03,421.04
2010-02-04,419.65
2010-02-07,416.17
2010-02-08,411.24
2010-02-09,410.05
2010-02-10,411.58
2010-02-11,412.71
2010-02-14,418.52
2010-02-15,426.4
2010-02-16,433.35
2010-02-17,439.16
2010-02-18,433.2
2010-02-21,438.39
2010-02-22,445.16
2010-02-23,442.86
2010-02-24,443.8
2010-02-25,439.79
2010-03-01,451.14
2010-03-02,460.77
2010-03-03,462.91
2010-03-04,466.16
2010-03-07,464.86
2010-03-08,462.37
2010-03-09,455.13
2010-03-10,463.19
2010-03-11,463.16
2010-03-14,466.0
2010-03-15,462.34
2010-03-16,458.77
2010-03-17,462.21
2010-03-18,455.78
2010-03-21,457.63
2010-03-22,447.88
2010-03-23,452.96
2010-03-24,458.21
2010-03-25,457.4
2010-03-28,456.07
2010-03-31,451.94
2010-04-01,453.81
2010-04-06,458.49
2010-04-07,450.36
2010-04-08,441.38
2010-04-11,450.82
2010-04-12,449.11
2010-04-13,454.66
2010-04-14,458.09
2010-04-15,451.23
2010-04-18,445.9
2010-04-21,447.8
2010-04-22,443.44
2010-04-25,447.22
2010-04-26,449.98
2010-04-27,451.87
2010-04-28,447.57
2010-04-29,434.82
2010-05-02,429.77
2010-05-03,435.63
2010-05-04,422.76
2010-05-05,402.22
2010-05-06,397.72
2010-05-09,393.89
2010-05-10,418.08
2010-05-11,411.59
2010-05-12,419.29
2010-05-13,417.57
2010-05-16,401.85
2010-05-17,401.63
2010-05-20,381.44
2010-05-23,384.84
2010-05-24,371.47
2010-05-25,357.48
2010-05-26,369.53
2010-05-27,375.16
2010-05-30,382.93
2010-05-31,377.24
2010-06-01,375.96
2010-06-02,370.16
2010-06-03,391.13
2010-06-06,390.23
2010-06-07,390.3
2010-06-08,389.29
2010-06-09,390.48
2010-06-10,387.44
2010-06-13,395.64
2010-06-14,401.58
2010-06-15,401.2
2010-06-16,401.38
2010-06-17,407.81
2010-06-20,416.44
2010-06-21,417.4
2010-06-22,409.37
2010-06-23,404.64
2010-06-24,397.01
2010-06-27,394.05
2010-06-28,397.53
2010-06-29,387.76
2010-06-30,379.6
2010-07-01,375.3
2010-07-04,369.31
2010-07-05,371.03
2010-07-06,375.44
2010-07-07,368.22
2010-07-08,370.1
2010-07-11,373.55
2010-07-12,372.43
2010-07-13,380.07
2010-07-14,380.35
2010-07-15,380.45
2010-07-18,371.43
2010-07-19,373.0
2010-07-21,379.89
