Date,Price
2010-01-03,1080.2
2010-01-04,1089.34
2010-01-05,1098.2
2010-01-06,1098.31
2010-01-07,1094.04
2010-01-10,1109.52
2010-01-11,1100.22
2010-01-12,1074.74
2010-01-13,1082.57
2010-01-14,1080.09
2010-01-17,1088.38
2010-01-18,1092.47
2010-01-19,1090.99
2010-01-20,1088.54
2010-01-21,1091.38
2010-01-24,1065.99
2010-01-25,1074.34
2010-01-26,1066.57
2010-01-27,1063.0
2010-01-28,1073.26
2010-01-31,1057.32
2010-02-01,1059.57
2010-02-02,1068.93
2010-02-03,1076.81
2010-02-04,1071.4
2010-02-07,1063.49
2010-02-08,1052.89
2010-02-09,1058.9
2010-02-10,1065.87
2010-02-11,1067.97
2010-02-14,1082.6
2010-02-15,1090.53
2010-02-16,1097.79
2010-02-17,1100.6
2010-02-18,1097.7
2010-02-21,1104.92
2010-02-22,1109.99
2010-02-23,1102.78
2010-02-24,1104.79
2010-02-25,1092.31
2010-03-01,1116.1
2010-03-02,1124.31
2010-03-03,1125.01
2010-03-04,1138.3
2010-03-07,1147.63
2010-03-08,1139.42
2010-03-09,1132.32
2010-03-10,1143.48
2010-03-11,1145.25
2010-03-14,1148.28
2010-03-15,1144.54
2010-03-16,1145.1
2010-03-17,1156.78
2010-03-18,1151.5
2010-03-21,1144.27
2010-03-22,1137.03
2010-03-23,1150.55
2010-03-24,1160.22
2010-03-25,1160.86
2010-03-28,1160.94
2010-03-31,1155.42
2010-04-01,1158.7
2010-04-06,1160.95
2010-04-07,1151.36
2010-04-08,1134.1
2010-04-11,1150.38
2010-04-12,1146.79
2010-04-13,1147.95
2010-04-14,1157.78
2010-04-15,1141.8
2010-04-18,1130.75
2010-04-21,1135.59
2010-04-22,1129.71
2010-04-25,1138.66
2010-04-26,1136.27
2010-04-27,1132.06
2010-04-28,1118.58
2010-04-29,1097.68
2010-05-02,1096.87
2010-05-03,1106.24
2010-05-04,1085.41
2010-05-05,1062.29
2010-05-06,1068.28
2010-05-09,1058.68
2010-05-10,1093.86
2010-05-11,1074.18
2010-05-12,1089.82
2010-05-13,1080.32
2010-05-16,1050.25
2010-05-17,1053.43
2010-05-20,1022.57
2010-05-23,1045.7
2010-05-24,1029.61
2010-05-25,1007.22
2010-05-26,1029.18
2010-05-27,1023.83
2010-05-30,1024.99
2010-05-31,1009.4
2010-06-01,1000.46
2010-06-02,1001.85
2010-06-03,1025.8
2010-06-06,1006.73
2010-06-07,1007.98
2010-06-08,1002.97
2010-06-09,1012.31
2010-06-10,1010.3
2010-06-13,1023.44
2010-06-14,1033.05
2010-06-15,1032.06
2010-06-16,1023.72
2010-06-17,1032.84
2010-06-20,1048.92
2010-06-21,1058.24
2010-06-22,1050.22
2010-06-23,1039.47
2010-06-24,1019.9
2010-06-27,1014.36
2010-06-28,1021.49
2010-06-29,998.95
2010-06-30,990.34
2010-07-01,986.63
2010-07-04,992.23
2010-07-05,1000.92
2010-07-06,1016.05
2010-07-07,1000.17
2010-07-08,1013.21
2010-07-11,1026.71
2010-07-12,1031.58
2010-07-13,1036.01
2010-07-14,1027.92
2010-07-15,1033.78
2010-07-18,1012.76
2010-07-19,1016.12
2010-07-21,1030.37
2010-07-22,1032.89
2010-07-25,1032.77
2010-07-26,1031.49
2010-07-27,1037.47
2010-07-28,1032.28
2010-07-29,1029.17
2010-08-01,1029.56
2010-08-02,1050.66
2010-08-03,1045.54
2010-08-04,1057.98
2010-08-05,1062.22
2010-08-08,1070.16
2010-08-09,1074.35
2010-08-10,1068.99
2010-08-11,1057.49
2010-08-12,1048.06
2010-08-15,1055.51
2010-08-16,1059.09
2010-08-17,1074.41
2010-08-18,1071.06
2010-08-19,1066.69
2010-08-22,1071.05
2010-08-23,1069.05
2010-08-24,1049.59
2010-08-25,1036.03
2010-08-26,1048.62
2010-08-29,1054.87
2010-08-30,1053.04
2010-08-31,1046.42
2010-09-01,1063.93
2010-09-02,1068.5
2010-09-05,1086.46
2010-09-06,1087.27
2010-09-07,1085.61
2010-09-12,1091.39
2010-09-13,1097.12
2010-09-14,1093.85
2010-09-15,1090.84
2010-09-16,1087.75
2010-09-19,1101.96
2010-09-20,1114.69
2010-09-21,1132.96
2010-09-26,1135.39
2010-09-27,1130.28
2010-09-28,1128.87
2010-10-03,1133.85
2010-10-04,1127.02
2010-10-05,1139.03
2010-10-06,1131.06
2010-10-07,1118.23
2010-10-10,1138.17
2010-10-11,1145.52
2010-10-12,1142.01
2010-10-13,1157.64
2010-10-14,1158.63
2010-10-17,1156.48
2010-10-18,1161.69
2010-10-19,1155.62
2010-10-20,1160.76
2010-10-21,1172.9
2010-10-24,1171.55
2010-10-25,1176.0
2010-10-26,1163.3
2010-10-27,1161.72
2010-10-28,1171.16
2010-10-31,1175.3
2010-11-01,1177.12
2010-11-02,1173.09
2010-11-03,1164.37
2010-11-04,1168.15
2010-11-07,1170.76
2010-11-08,1163.67
2010-11-09,1171.23
2010-11-10,1165.59
2010-11-11,1145.55
2010-11-14,1132.44
2010-11-15,1157.46
2010-11-16,1149.63
2010-11-17,1151.71
2010-11-18,1167.34
2010-11-21,1175.85
2010-11-22,1167.94
2010-11-23,1156.47
2010-11-24,1160.86
2010-11-25,1163.5
2010-11-28,1163.79
2010-11-29,1164.64
2010-11-30,1149.67
2010-12-01,1156.57
2010-12-02,1164.66
2010-12-05,1183.04
2010-12-06,1185.91
2010-12-07,1195.44
2010-12-08,1192.03
2010-12-09,1198.37
2010-12-12,1194.16
2010-12-13,1203.18
2010-12-14,1205.25
2010-12-15,1198.7
2010-12-16,1207.46
2010-12-19,1208.59
2010-12-20,1215.26
2010-12-21,1214.42
2010-12-22,1214.11
2010-12-23,1206.11
2010-12-26,1208.0
2010-12-27,1204.02
2010-12-28,1206.82
2010-12-29,1228.52
2010-12-30,1224.0
2011-01-02,1226.58
2011-01-03,1235.44
2011-01-04,1235.55
2011-01-05,1235.01
2011-01-06,1238.87
2011-01-09,1238.0
2011-01-10,1226.27
2011-01-11,1241.05
2011-01-12,1244.33
2011-01-13,1244.84
2011-01-16,1247.92
2011-01-17,1244.32
2011-01-18,1246.68
