Date,Price
2010-01-03,242.66
2010-01-04,242.99
2010-01-05,243.49
2010-01-06,243.11
2010-01-07,242.96
2010-01-10,243.86
2010-01-11,244.6
2010-01-12,244.01
2010-01-13,244.43
2010-01-14,244.9
2010-01-17,245.57
2010-01-18,246.13
2010-01-19,246.37
2010-01-20,246.93
2010-01-21,247.0
2010-01-24,246.39
2010-01-25,246.87
2010-01-26,246.57
2010-01-27,246.82
2010-01-28,247.29
2010-01-31,246.75
2010-02-01,247.22
2010-02-02,248.1
2010-02-03,249.0
2010-02-04,249.06
2010-02-07,248.82
2010-02-08,248.91
2010-02-09,248.75
2010-02-10,248.81
2010-02-11,248.84
2010-02-14,249.5
2010-02-15,249.98
2010-02-16,249.96
2010-02-17,250.13
2010-02-18,249.96
2010-02-21,250.04
2010-02-22,249.37
2010-02-23,248.97
2010-02-24,248.79
2010-02-25,248.64
2010-03-01,249.36
2010-03-02,250.31
2010-03-03,250.66
2010-03-04,251.18
2010-03-07,251.46
2010-03-08,251.75
2010-03-09,251.65
2010-03-10,251.93
2010-03-11,251.92
2010-03-14,252.22
2010-03-15,251.97
2010-03-16,252.62
2010-03-17,253.39
2010-03-18,254.02
2010-03-21,253.04
2010-03-22,252.35
2010-03-23,252.59
2010-03-24,252.63
2010-03-25,252.34
2010-03-28,252.26
2010-03-31,252.19
2010-04-01,252.25
2010-04-06,250.85
2010-04-07,250.3
2010-04-08,249.73
2010-04-11,250.6
2010-04-12,250.96
2010-04-13,250.91
2010-04-14,250.5
2010-04-15,250.19
2010-04-18,250.6
2010-04-21,251.28
2010-04-22,252.05
2010-04-25,252.25
2010-04-26,252.01
2010-04-27,252.33
2010-04-28,251.83
2010-04-29,251.29
2010-05-02,252.06
2010-05-03,253.01
2010-05-04,253.04
2010-05-05,251.59
2010-05-06,250.35
2010-05-09,248.92
2010-05-10,250.93
2010-05-11,251.2
2010-05-12,252.43
2010-05-13,252.85
2010-05-16,252.44
2010-05-17,253.34
2010-05-20,252.22
2010-05-23,252.04
2010-05-24,251.06
2010-05-25,249.64
2010-05-26,250.05
2010-05-27,251.69
2010-05-30,252.44
2010-05-31,252.74
2010-06-01,253.07
2010-06-02,253.48
2010-06-03,254.05
2010-06-06,254.63
2010-06-07,254.08
2010-06-08,253.95
2010-06-09,254.34
2010-06-10,254.49
2010-06-13,254.15
2010-06-14,253.42
2010-06-15,253.86
2010-06-16,254.55
2010-06-17,255.77
2010-06-20,256.44
2010-06-21,256.54
2010-06-22,256.99
2010-06-23,257.28
2010-06-24,256.92
2010-06-27,257.2
2010-06-28,257.37
2010-06-29,257.26
2010-06-30,256.95
2010-07-01,256.73
2010-07-04,256.79
2010-07-05,257.65
2010-07-06,258.95
2010-07-07,258.92
2010-07-08,259.39
2010-07-11,258.89
2010-07-12,258.11
2010-07-13,258.2
2010-07-14,258.08
2010-07-15,258.8
2010-07-18,259.3
2010-07-19,259.47
2010-07-21,259.65
2010-07-22,260.3
2010-07-25,260.84
2010-07-26,261.25
2010-07-27,261.0
2010-07-28,260.52
2010-07-29,260.38
2010-08-01,261.13
2010-08-02,261.42
2010-08-03,261.63
2010-08-04,262.21
2010-08-05,262.63
2010-08-08,263.52
2010-08-09,262.9
2010-08-10,262.57
2010-08-11,262.78
2010-08-12,262.96
2010-08-15,263.62
2010-08-16,263.4
2010-08-17,263.55
2010-08-18,263.56
2010-08-19,263.43
2010-08-22,263.59
2010-08-23,263.97
2010-08-24,264.0
2010-08-25,264.04
2010-08-26,264.44
2010-08-29,264.42
2010-08-30,264.41
2010-08-31,264.78
2010-09-01,265.43
2010-09-02,265.9
2010-09-05,265.58
2010-09-06,265.58
2010-09-07,264.92
2010-09-12,263.92
2010-09-13,263.29
2010-09-14,262.03
2010-09-15,262.66
2010-09-16,262.87
2010-09-19,262.89
2010-09-20,262.72
2010-09-21,262.58
2010-09-26,263.14
2010-09-27,264.28
2010-09-28,264.93
2010-10-03,265.0
2010-10-04,265.35
2010-10-05,265.99
2010-10-06,266.2
2010-10-07,266.38
2010-10-10,267.92
2010-10-11,268.64
2010-10-12,269.28
2010-10-13,268.57
2010-10-14,268.78
2010-10-17,268.95
2010-10-18,269.86
2010-10-19,270.45
2010-10-20,270.74
2010-10-21,271.15
2010-10-24,270.67
2010-10-25,270.82
2010-10-26,270.5
2010-10-27,270.22
2010-10-28,270.88
2010-10-31,272.05
2010-11-01,272.47
2010-11-02,272.84
2010-11-03,272.49
2010-11-04,272.48
2010-11-07,272.12
2010-11-08,270.78
2010-11-09,270.72
2010-11-10,269.38
2010-11-11,269.01
2010-11-14,267.46
2010-11-15,267.74
2010-11-16,268.64
2010-11-17,269.49
2010-11-18,269.77
2010-11-21,270.18
2010-11-22,269.85
2010-11-23,270.73
2010-11-24,270.85
2010-11-25,270.66
2010-11-28,270.08
2010-11-29,270.06
2010-11-30,269.31
2010-12-01,268.32
2010-12-02,268.15
2010-12-05,268.79
2010-12-06,269.22
2010-12-07,268.93
2010-12-08,268.28
2010-12-09,268.98
2010-12-12,268.31
2010-12-13,268.21
2010-12-14,268.33
2010-12-15,267.75
2010-12-16,267.47
2010-12-19,267.78
2010-12-20,267.75
2010-12-21,267.52
2010-12-22,266.78
2010-12-23,266.21
2010-12-26,264.92
2010-12-27,265.39
2010-12-28,265.57
2010-12-29,266.11
2010-12-30,267.1
2011-01-02,268.13
2011-01-03,268.26
2011-01-04,268.26
2011-01-05,268.06
2011-01-06,268.56
2011-01-09,269.01
2011-01-10,269.41
2011-01-11,269.9
2011-01-12,270.09
2011-01-13,270.14
2011-01-16,270.99
2011-01-17,271.07
2011-01-18,271.43
2011-01-19,271.26
2011-01-20,271.09
2011-01-23,270.54
2011-01-24,270.32
2011-01-25,271.15
2011-01-26,271.26
2011-01-27,270.94
2011-01-30,268.7
2011-01-31,269.32
2011-02-01,269.27
2011-02-02,270.12
2011-02-03,269.28
2011-02-06,269.48
2011-02-07,270.1
2011-02-08,270.19
2011-02-09,270.7
2011-02-10,270.39
2011-02-13,270.66
2011-02-14,270.49
2011-02-15,270.78
2011-02-16,271.39
2011-02-17,271.39
2011-02-20,271.29
2011-02-21,270.8
2011-02-22,270.58
2011-02-23,270.71
2011-02-24,270.24
2011-02-27,271.44
2011-02-28,271.74
2011-03-01,271.62
2011-03-02,270.7
2011-03-03,271.0
2011-03-06,271.07
2011-03-07,271.02
2011-03-08,270.39
2011-03-09,270.17
2011-03-10,270.31
2011-03-13,270.37
2011-03-14,269.99
2011-03-15,269.23
2011-03-16,269.71
2011-03-17,270.51
2011-03-21,270.8
2011-03-22,270.96
2011-03-23,270.96
2011-03-24,270.97
2011-03-27,270.73
2011-03-28,270.61
2011-03-29,269.29
2011-03-30,267.97
2011-03-31,269.19
2011-04-03,268.7
2011-04-04,268.19
2011-04-05,268.18
2011-04-06,268.27
2011-04-07,267.63
2011-04-10,267.64
2011-04-11,267.24
2011-04-12,267.56
2011-04-13,267.49
2011-04-14,266.9
2011-04-17,266.91
2011-04-20,266.88
2011-04-21,266.52
2011-04-26,267.67
2011-04-27,268.63
2011-04-28,268.69
2011-05-01,268.14
2011-05-02,268.44
2011-05-03,268.77
2011-05-04,269.02
2011-05-05,269.24
2011-05-08,269.26
2011-05-11,269.38
2011-05-12,269.12
2011-05-15,269.07
2011-05-16,269.3
2011-05-17,269.69
2011-05-18,269.98
2011-05-19,269.85
2011-05-22,269.48
2011-05-23,268.37
2011-05-24,267.72
2011-05-25,267.31
2011-05-26,268.35
2011-05-29,269.54
2011-05-30,269.73
2011-05-31,270.62
2011-06-01,270.65
2011-06-02,270.94
2011-06-05,270.72
2011-06-06,270.65
2011-06-09,270.01
2011-06-12,269.8
2011-06-13,269.27
2011-06-14,269.9
2011-06-15,269.29
2011-06-16,268.87
2011-06-19,268.24
2011-06-20,267.54
2011-06-21,268.27
2011-06-22,269.17
2011-06-23,268.84
2011-06-26,268.77
2011-06-27,268.8
2011-06-28,269.25
2011-06-29,269.18
2011-06-30,269.5
2011-07-03,270.66
2011-07-04,271.07
2011-07-05,271.43
2011-07-06,271.55
2011-07-07,271.45
2011-07-10,272.22
2011-07-11,271.73
2011-07-12,271.59
2011-07-13,271.84
2011-07-14,272.23
2011-07-17,272.19
2011-07-18,271.43
2011-07-19,271.77
2011-07-20,272.14
2011-07-21,271.77
2011-07-24,272.3
2011-07-25,272.35
2011-07-26,272.32
2011-07-27,271.92
2011-07-28,271.82
2011-07-31,270.45
2011-08-01,270.17
2011-08-02,270.47
2011-08-03,269.83
2011-08-04,269.61
2011-08-07,262.49
2011-08-08,263.02
2011-08-10,260.49
2011-08-11,257.96
2011-08-14,262.69
2011-08-15,265.14
2011-08-16,263.91
2011-08-17,265.62
2011-08-18,264.01
2011-08-21,261.73
2011-08-22,264.05
2011-08-23,263.9
2011-08-24,264.13
2011-08-25,262.87
2011-08-28,263.42
2011-08-29,264.26
2011-08-30,265.92
2011-08-31,266.77
2011-09-01,266.59
2011-09-04,265.29
2011-09-05,264.12
2011-09-06,262.2
2011-09-07,261.81
2011-09-08,260.25
2011-09-11,258.82
2011-09-12,254.74
2011-09-13,256.77
2011-09-14,258.58
2011-09-15,261.07
2011-09-18,263.02
2011-09-19,261.12
2011-09-20,262.68
2011-09-21,263.63
2011-09-22,261.72
2011-09-25,263.24
2011-09-26,264.33
2011-09-27,266.46
2011-10-02,265.23
2011-10-03,264.46
2011-10-04,262.79
2011-10-05,263.71
2011-10-06,263.4
2011-10-09,262.7
2011-10-10,263.63
2011-10-11,264.55
2011-10-16,266.55
2011-10-17,267.4
2011-10-18,267.91
2011-10-23,268.57
2011-10-24,268.73
2011-10-25,269.11
2011-10-26,269.72
2011-10-27,270.91
2011-10-30,269.5
2011-10-31,268.66
2011-11-01,267.66
2011-11-02,268.4
2011-11-03,268.7
2011-11-06,268.4
2011-11-07,267.73
2011-11-08,268.53
2011-11-09,267.94
2011-11-10,267.39
2011-11-13,268.0
2011-11-14,267.31
2011-11-15,267.58
2011-11-16,267.35
2011-11-17,267.76
2011-11-20,266.99
2011-11-21,266.16
2011-11-22,265.83
2011-11-23,265.56
2011-11-24,264.05
2011-11-27,262.63
2011-11-28,264.0
2011-11-29,262.95
2011-11-30,263.72
2011-12-01,263.43
2011-12-04,263.41
2011-12-05,263.9
2011-12-06,264.83
2011-12-07,265.64
2011-12-08,266.48
2011-12-11,266.98
2011-12-12,266.18
2011-12-13,265.85
2011-12-14,265.1
2011-12-15,264.97
2011-12-18,264.71
2011-12-19,264.38
2011-12-20,263.55
2011-12-21,263.45
2011-12-22,263.33
2011-12-25,265.65
2011-12-26,265.81
2011-12-27,266.24
2011-12-28,266.29
2011-12-29,266.29
2012-01-01,267.74
2012-01-02,269.01
2012-01-03,269.6
2012-01-04,269.55
2012-01-05,269.83
2012-01-08,270.08
2012-01-09,270.4
2012-01-10,271.26
2012-01-11,271.31
2012-01-12,271.49
2012-01-15,271.23
2012-01-16,272.04
2012-01-17,272.06
2012-01-18,271.45
2012-01-19,270.81
2012-01-22,270.17
2012-01-23,270.19
2012-01-24,269.76
2012-01-25,269.65
2012-01-26,270.63
2012-01-29,270.2
2012-01-30,269.71
2012-01-31,270.9
2012-02-01,271.93
2012-02-02,272.02
2012-02-05,272.39
2012-02-06,272.49
2012-02-07,271.5
2012-02-12,271.08
2012-02-13,270.89
2012-02-14,271.08
2012-02-15,271.1
2012-02-16,271.57
2012-02-19,271.9
2012-02-20,271.87
2012-02-21,272.36
2012-02-22,272.13
2012-02-23,272.07
2012-02-26,271.29
2012-02-27,270.81
2012-02-28,271.33
2012-02-29,271.7
2012-03-01,271.58
2012-03-04,272.17
2012-03-05,272.22
2012-03-06,270.79
2012-03-07,270.84
2012-03-11,270.75
2012-03-12,271.06
2012-03-13,271.43
2012-03-14,272.32
2012-03-15,273.15
2012-03-18,273.94
2012-03-19,273.58
2012-03-20,273.5
2012-03-21,273.01
2012-03-22,273.01
2012-03-25,273.52
2012-03-26,274.07
2012-03-27,274.29
2012-03-28,274.29
2012-03-29,271.43
2012-04-01,272.48
2012-04-02,273.15
2012-04-03,274.0
2012-04-04,273.97
2012-04-05,274.57
2012-04-08,275.06
2012-04-09,274.94
2012-04-10,275.13
2012-04-11,275.09
2012-04-15,275.42
2012-04-16,275.76
2012-04-17,276.34
2012-04-18,276.55
2012-04-19,276.86
2012-04-22,277.2
2012-04-23,276.47
2012-04-24,276.88
2012-04-29,277.12
2012-04-30,276.64
2012-05-01,276.68
2012-05-02,276.13
2012-05-03,276.53
2012-05-06,275.34
2012-05-07,275.0
2012-05-08,275.16
2012-05-09,274.4
2012-05-10,274.92
2012-05-13,274.96
2012-05-14,274.3
2012-05-15,272.58
2012-05-16,271.5
2012-05-17,270.19
2012-05-20,271.23
2012-05-21,273.4
2012-05-22,274.02
2012-05-23,273.01
2012-05-24,273.31
2012-05-28,274.44
2012-05-29,274.02
2012-05-30,273.0
2012-05-31,273.0
2012-06-03,272.66
2012-06-04,272.92
2012-06-05,272.82
2012-06-06,273.71
2012-06-07,274.59
2012-06-10,274.9
2012-06-11,274.65
2012-06-12,274.08
2012-06-13,273.38
2012-06-14,272.18
2012-06-17,272.94
2012-06-18,273.43
2012-06-19,272.4
2012-06-20,271.04
2012-06-21,270.19
2012-06-24,269.09
2012-06-25,269.25
2012-06-26,269.55
2012-06-27,268.78
2012-06-28,268.76
2012-07-01,270.24
2012-07-02,271.25
2012-07-03,271.73
2012-07-04,271.61
2012-07-05,271.41
2012-07-08,271.86
2012-07-09,271.77
2012-07-10,272.23
2012-07-11,272.72
2012-07-12,273.3
2012-07-15,273.77
2012-07-16,273.49
2012-07-17,273.66
2012-07-18,274.04
2012-07-19,275.41
2012-07-22,274.84
2012-07-23,273.7
2012-07-24,272.82
2012-07-25,273.22
2012-07-26,273.71
2012-07-30,275.03
2012-07-31,275.79
2012-08-01,276.1
2012-08-02,276.37
2012-08-05,276.68
2012-08-06,277.23
2012-08-07,277.78
2012-08-08,277.78
2012-08-09,277.24
2012-08-12,275.06
2012-08-13,272.98
2012-08-14,273.51
2012-08-15,273.54
2012-08-16,275.15
