Date,Price
2010-01-03,244.71
2010-01-04,245.29
2010-01-05,245.72
2010-01-06,245.41
2010-01-07,245.03
2010-01-10,246.21
2010-01-11,246.54
2010-01-12,246.75
2010-01-13,247.39
2010-01-14,248.68
2010-01-17,250.54
2010-01-18,251.32
2010-01-19,250.56
2010-01-20,250.83
2010-01-21,251.36
2010-01-24,251.04
2010-01-25,251.5
2010-01-26,251.76
2010-01-27,252.45
2010-01-28,252.7
2010-01-31,252.43
2010-02-01,253.15
2010-02-02,253.9
2010-02-03,255.03
2010-02-04,255.09
2010-02-07,255.75
2010-02-08,255.88
2010-02-09,255.32
2010-02-10,255.12
2010-02-11,255.14
2010-02-14,256.12
2010-02-15,256.9
2010-02-16,257.76
2010-02-17,258.23
2010-02-18,257.84
2010-02-21,257.89
2010-02-22,257.44
2010-02-23,257.0
2010-02-24,257.03
2010-02-25,257.34
2010-03-01,258.19
2010-03-02,258.53
2010-03-03,259.05
2010-03-04,259.08
2010-03-07,259.27
2010-03-08,259.62
2010-03-09,259.41
2010-03-10,259.18
2010-03-11,258.74
2010-03-14,258.52
2010-03-15,258.52
2010-03-16,258.34
2010-03-17,258.42
2010-03-18,258.46
2010-03-21,257.67
2010-03-22,256.31
2010-03-23,256.51
2010-03-24,256.56
2010-03-25,255.93
2010-03-28,254.57
2010-03-31,252.84
2010-04-01,253.88
2010-04-06,253.48
2010-04-07,252.58
2010-04-08,251.89
2010-04-11,252.62
2010-04-12,252.91
2010-04-13,253.41
2010-04-14,254.22
2010-04-15,254.03
2010-04-18,254.2
2010-04-21,256.6
2010-04-22,255.93
2010-04-25,255.97
2010-04-26,255.51
2010-04-27,255.49
2010-04-28,254.81
2010-04-29,253.88
2010-05-02,254.29
2010-05-03,255.38
2010-05-04,254.99
2010-05-05,253.57
2010-05-06,252.65
2010-05-09,252.69
2010-05-10,254.42
2010-05-11,254.57
2010-05-12,255.97
2010-05-13,255.14
2010-05-16,254.55
2010-05-17,254.96
2010-05-20,254.14
2010-05-23,254.45
2010-05-24,254.09
2010-05-25,252.55
2010-05-26,253.29
2010-05-27,255.86
2010-05-30,256.79
2010-05-31,257.6
2010-06-01,258.01
2010-06-02,258.06
2010-06-03,258.47
