Date,Price
2010-01-01,4.05
2010-01-04,4.05
2010-01-05,4.08
2010-01-06,4.02
2010-01-07,3.97
2010-01-08,3.99
2010-01-11,4.0
2010-01-12,4.05
2010-01-13,4.02
2010-01-14,4.04
2010-01-15,4.05
2010-01-18,4.05
2010-01-19,4.04
2010-01-20,4.07
2010-01-21,4.12
2010-01-22,4.13
2010-01-25,4.12
2010-01-26,4.14
2010-01-27,4.15
2010-01-28,4.15
2010-01-29,4.13
2010-02-01,4.09
2010-02-02,4.1
2010-02-03,4.07
2010-02-04,4.2
2010-02-05,4.19
2010-02-08,4.18
2010-02-09,4.16
2010-02-10,4.16
2010-02-11,4.17
2010-02-12,4.17
2010-02-15,4.17
2010-02-16,4.14
2010-02-17,4.09
2010-02-18,4.1
2010-02-19,4.1
2010-02-22,4.13
2010-02-23,4.18
2010-02-24,4.18
2010-02-25,4.25
2010-02-26,4.25
2010-03-01,4.25
2010-03-02,4.25
2010-03-03,4.25
2010-03-04,4.24
2010-03-05,4.17
2010-03-08,4.16
2010-03-09,4.18
2010-03-10,4.16
2010-03-11,4.11
2010-03-12,4.1
2010-03-15,4.1
2010-03-16,4.13
2010-03-17,4.11
2010-03-18,4.12
2010-03-19,4.13
2010-03-22,4.14
2010-03-23,4.12
2010-03-24,4.06
2010-03-25,4.03
2010-03-26,4.03
2010-03-29,4.01
2010-03-30,3.99
2010-03-31,3.95
2010-04-01,3.93
2010-04-02,3.9
2010-04-05,3.91
2010-04-06,3.93
2010-04-07,3.95
2010-04-08,3.95
2010-04-09,3.95
2010-04-12,3.94
2010-04-13,3.96
2010-04-14,3.97
2010-04-15,3.97
2010-04-16,4.02
2010-04-19,4.03
2010-04-20,3.99
2010-04-21,4.0
2010-04-22,3.99
2010-04-23,3.95
2010-04-26,3.96
2010-04-27,4.02
2010-04-28,3.98
2010-04-29,3.96
2010-04-30,3.97
2010-05-03,3.94
2010-05-04,3.96
2010-05-05,4.01
2010-05-06,4.19
2010-05-07,4.13
2010-05-10,4.02
2010-05-11,4.05
2010-05-12,4.02
2010-05-13,4.06
2010-05-14,4.08
2010-05-17,4.06
