Date,Price
2014-03-10,5253.09
2014-03-11,5278.79
2014-03-12,5187.08
2014-03-13,5200.69
2014-03-14,5064.34
2014-03-17,5020.7
2014-03-18,5072.63
2014-03-19,5058.5
2014-03-20,4938.47
2014-03-21,4939.19
2014-03-24,5010.43
2014-03-25,5009.07
2014-03-26,5047.67
2014-03-27,5123.26
2014-03-28,5120.78
2014-03-31,5190.16
2014-04-01,5164.66
2014-04-02,5192.6
2014-04-03,5209.75
2014-04-04,5221.78
2014-04-07,5162.87
2014-04-08,5116.97
2014-04-09,5025.39
2014-04-10,5036.27
2014-04-11,4961.32
2014-04-14,4947.07
2014-04-15,4969.66
2014-04-16,5072.73
2014-04-17,5071.94
2014-04-18,5101.99
2014-04-21,5078.58
2014-04-22,5042.21
2014-04-23,5101.51
2014-04-24,5063.11
2014-04-25,5092.88
2014-04-28,5023.89
2014-04-29,5025.85
2014-04-30,5056.25
2014-05-01,5134.42
2014-05-02,5138.24
2014-05-05,5144.78
2014-05-06,5173.15
2014-05-07,5034.77
2014-05-08,5077.3
2014-05-09,5096.36
2014-05-12,5048.6
2014-05-13,5137.55
2014-05-14,5177.52
2014-05-15,5167.0
2014-05-16,5091.2
2014-05-19,5066.66
2014-05-20,5072.21
2014-05-21,5048.06
2014-05-22,5124.71
2014-05-23,5166.37
2014-05-26,5222.62
2014-05-27,5216.49
2014-05-28,5244.89
2014-05-29,5266.78
2014-05-30,5261.52
2014-06-02,5320.36
2014-06-03,5343.4
2014-06-04,5357.32
2014-06-05,5359.23
2014-06-06,5360.75
2014-06-09,5361.51
2014-06-10,5342.72
2014-06-11,5412.19
2014-06-12,5411.54
2014-06-13,5422.78
2014-06-16,5391.37
2014-06-17,5388.27
2014-06-18,5438.02
2014-06-19,5546.94
2014-06-20,5530.99
2014-06-23,5533.77
2014-06-24,5520.45
2014-06-25,5506.05
2014-06-26,5535.57
2014-06-27,5500.51
2014-06-30,5537.4
2014-07-01,5587.38
2014-07-02,5596.37
2014-07-03,5561.71
2014-07-04,5595.72
2014-07-07,5584.68
2014-07-08,5577.42
2014-07-09,5551.81
2014-07-10,5524.2
2014-07-11,5503.53
2014-07-14,5533.57
2014-07-15,5565.01
2014-07-16,5567.62
2014-07-17,5572.15
2014-07-18,5536.91
2014-07-21,5540.74
2014-07-22,5569.37
2014-07-23,5563.44
2014-07-24,5537.44
2014-07-25,5585.23
2014-07-28,5608.25
2014-07-29,5605.58
2014-07-30,5581.5
2014-07-31,5569.51
2014-08-01,5556.56
2014-08-04,5532.64
2014-08-05,5458.72
2014-08-06,5430.97
2014-08-07,5465.86
2014-08-08,5350.0
2014-08-11,5439.27
2014-08-12,5459.24
2014-08-13,5468.41
2014-08-14,5501.55
2014-08-15,5504.63
2014-08-18,5494.6
2014-08-19,5520.19
2014-08-20,5489.12
2014-08-21,5515.01
2014-08-22,5478.27
2014-08-25,5505.36
2014-08-26,5473.15
2014-08-27,5482.66
2014-08-28,5466.44
2014-08-29,5448.81
2014-09-01,5448.1
2014-09-02,5466.15
2014-09-03,5496.17
2014-09-04,5468.86
2014-09-05,5467.96
2014-09-08,5462.59
2014-09-09,5426.07
2014-09-10,5433.92
2014-09-11,5449.6
2014-09-12,5436.86
2014-09-15,5443.45
