Date,Price
2014-03-10,4765.4
2014-03-11,4735.6
2014-03-12,4753.9
2014-03-13,4684.8
2014-03-14,4668.3
2014-03-17,4706.5
2014-03-18,4765.2
2014-03-19,4737.0
2014-03-20,4749.9
2014-03-21,4703.1
2014-03-24,4647.7
2014-03-25,4656.4
2014-03-26,4589.8
2014-03-27,4565.9
2014-03-28,4571.0
2014-03-31,4619.0
2014-04-01,4695.7
2014-04-02,4705.0
2014-04-03,4662.4
2014-04-04,4541.4
2014-04-07,4488.7
2014-04-08,4525.3
2014-04-09,4603.7
2014-04-10,4460.9
2014-04-11,4401.1
2014-04-14,4426.4
2014-04-15,4439.1
2014-04-16,4496.4
2014-04-17,4506.6
2014-04-21,4535.3
2014-04-22,4579.2
2014-04-23,4541.3
2014-04-24,4564.8
2014-04-25,4484.8
2014-04-28,4483.8
2014-04-29,4516.0
2014-04-30,4528.2
2014-05-01,4542.6
2014-05-02,4538.7
2014-05-05,4555.2
2014-05-06,4492.4
2014-05-07,4478.1
2014-05-08,4462.6
2014-05-09,4485.1
2014-05-12,4564.6
2014-05-13,4551.8
2014-05-14,4519.5
2014-05-15,4485.2
2014-05-16,4508.7
2014-05-19,4547.7
2014-05-20,4516.0
2014-05-21,4554.4
2014-05-22,4579.6
2014-05-23,4614.3
2014-05-27,4670.9
2014-05-28,4658.0
2014-05-29,4683.4
2014-05-30,4677.5
2014-06-02,4672.1
2014-06-03,4668.7
2014-06-04,4688.4
2014-06-05,4737.7
2014-06-06,4765.8
2014-06-09,4782.2
2014-06-10,4784.2
2014-06-11,4778.5
2014-06-12,4740.7
2014-06-13,4755.2
2014-06-16,4766.8
2014-06-17,4784.6
2014-06-18,4812.9
2014-06-19,4809.0
2014-06-20,4818.6
2014-06-23,4819.4
2014-06-24,4799.2
2014-06-25,4831.7
2014-06-26,4831.7
2014-06-27,4852.6
2014-06-30,4864.4
2014-07-01,4920.1
2014-07-02,4919.9
2014-07-03,4951.1
2014-07-07,4913.1
2014-07-08,4846.9
2014-07-09,4877.8
2014-07-10,4852.6
2014-07-11,4873.9
2014-07-14,4901.4
2014-07-15,4874.9
2014-07-16,4885.5
2014-07-17,4816.5
2014-07-18,4892.4
2014-07-21,4884.2
2014-07-22,4918.7
2014-07-23,4938.3
2014-07-24,4936.6
2014-07-25,4911.7
2014-07-28,4906.5
2014-07-29,4904.4
2014-07-30,4927.0
2014-07-31,4824.4
2014-08-01,4805.6
2014-08-04,4840.2
2014-08-05,4806.9
2014-08-06,4809.6
2014-08-07,4789.7
2014-08-08,4829.5
2014-08-11,4863.2
2014-08-12,4850.2
2014-08-13,4900.1
2014-08-14,4921.2
2014-08-15,4934.4
2014-08-18,4982.4
2014-08-19,5005.7
2014-08-20,5004.6
2014-08-21,5010.9
2014-08-22,5018.0
2014-08-25,5039.0
2014-08-26,5053.7
2014-08-27,5052.8
2014-08-28,5039.7
2014-08-29,5065.2
2014-09-02,5085.1
2014-09-03,5057.1
2014-09-04,5045.9
2014-09-05,5068.7
2014-09-08,5079.5
2014-09-09,5035.3
2014-09-10,5073.5
2014-09-11,5079.7
2014-09-12,5053.0
2014-09-15,4999.2
2014-09-16,5036.7
2014-09-17,5047.2
2014-09-18,5081.8
2014-09-19,5066.7
2014-09-22,5009.1
2014-09-23,4988.1
2014-09-24,5039.7
2014-09-25,4941.8
2014-09-26,4992.8
2014-09-29,4986.3
2014-09-30,4973.3
2014-10-01,4894.5
2014-10-02,4903.5
2014-10-03,4953.8
2014-10-06,4930.8
2014-10-07,4853.8
2014-10-08,4946.3
2014-10-09,4846.4
2014-10-10,4733.4
2014-10-13,4664.1
2014-10-14,4679.1
2014-10-15,4666.2
2014-10-16,4668.5
2014-10-17,4714.0
2014-10-20,4777.8
2014-10-21,4892.3
2014-10-22,4851.8
2014-10-23,4929.2
2014-10-24,4963.5
2014-10-27,4965.9
2014-10-28,5052.7
2014-10-29,5036.5
2014-10-30,5055.5
2014-10-31,5127.1
2014-11-03,5136.3
2014-11-04,5119.4
2014-11-05,5117.3
2014-11-06,5139.4
2014-11-07,5133.0
2014-11-10,5154.7
2014-11-11,5164.6
2014-11-12,5181.1
2014-11-13,5187.0
2014-11-14,5196.3
2014-11-17,5176.9
2014-11-18,5214.0
2014-11-19,5184.5
2014-11-20,5213.9
2014-11-21,5226.2
2014-11-24,5272.8
2014-11-25,5276.7
2014-11-26,5309.8
2014-11-28,5314.7
2014-12-01,5243.4
2014-12-02,5275.0
2014-12-03,5296.0
2014-12-04,5290.5
2014-12-05,5303.1
2014-12-08,5258.9
2014-12-09,5287.5
2014-12-10,5196.4
2014-12-11,5223.5
2014-12-12,5163.0
2014-12-15,5109.4
2014-12-16,5045.8
2014-12-17,5153.0
2014-12-18,5268.6
2014-12-19,5287.4
2014-12-22,5305.2
2014-12-23,5287.8
2014-12-24,5297.3
