Date,Price
2012-12-28,4165.77
2012-12-31,4146.4
2013-01-02,4237.67
2013-01-03,4251.71
2013-01-04,4281.59
2013-01-07,4263.83
2013-01-08,4256.13
2013-01-09,4287.95
2013-01-10,4289.96
2013-01-11,4304.07
2013-01-14,4294.42
2013-01-15,4301.07
2013-01-16,4293.72
2013-01-17,4313.68
2013-01-18,4329.19
2013-01-21,4347.88
2013-01-22,4346.6
2013-01-23,4360.99
2013-01-24,4408.33
2013-01-25,4422.07
2013-01-28,4429.08
2013-01-29,4460.6
2013-01-30,4449.28
2013-01-31,4416.75
2013-02-01,4466.26
2013-02-04,4395.61
2013-02-05,4420.89
2013-02-06,4430.43
2013-02-07,4383.33
2013-02-08,4408.32
2013-02-11,4417.56
2013-02-12,4460.71
2013-02-13,4487.26
2013-02-14,4464.85
2013-02-15,4465.48
2013-02-18,4458.38
2013-02-19,4501.34
2013-02-20,4518.55
2013-02-21,4445.19
2013-02-22,4476.39
2013-02-25,4490.29
2013-02-26,4430.28
2013-02-27,4470.74
2013-02-28,4495.42
2013-03-01,4507.99
2013-03-04,4484.7
2013-03-05,4545.7
2013-03-06,4548.0
2013-03-07,4556.15
2013-03-08,4587.58
2013-03-11,4601.77
2013-03-12,4606.71
2013-03-13,4593.71
2013-03-14,4627.66
2013-03-15,4599.48
2013-03-18,4577.0
2013-03-19,4565.23
2013-03-20,4567.47
2013-03-21,4536.12
2013-03-22,4539.11
2013-03-25,4528.9
2013-03-26,4543.8
2013-03-27,4537.6
2013-03-28,4554.78
2013-04-02,4610.84
2013-04-03,4562.91
2013-04-04,4508.78
2013-04-05,4441.73
2013-04-08,4461.04
2013-04-09,4486.81
2013-04-10,4539.93
2013-04-11,4560.38
2013-04-12,4537.81
2013-04-15,4508.82
2013-04-16,4481.08
2013-04-17,4442.04
2013-04-18,4441.66
2013-04-19,4472.19
2013-04-22,4467.94
2013-04-23,4557.22
2013-04-24,4581.46
2013-04-25,4589.18
2013-04-26,4577.66
2013-04-29,4600.17
2013-04-30,4580.29
2013-05-01,4596.91
2013-05-02,4603.62
2013-05-03,4646.91
2013-05-07,4672.45
2013-05-08,4698.42
2013-05-09,4705.03
2013-05-10,4728.04
2013-05-13,4732.88
2013-05-14,4771.63
2013-05-15,4783.4
2013-05-16,4779.29
2013-05-17,4804.48
2013-05-20,4827.76
2013-05-21,4862.24
2013-05-22,4893.61
2013-05-23,4790.96
2013-05-24,4760.59
2013-05-28,4837.62
2013-05-29,4741.84
2013-05-30,4763.18
2013-05-31,4710.3
2013-06-03,4668.82
2013-06-04,4692.76
2013-06-05,4596.52
2013-06-06,4536.95
2013-06-07,4591.28
2013-06-10,4583.02
2013-06-11,4539.79
2013-06-12,4520.49
2013-06-13,4524.21
2013-06-14,4526.81
2013-06-17,4542.77
2013-06-18,4574.14
2013-06-19,4557.26
2013-06-20,4421.37
2013-06-21,4390.26
2013-06-24,4327.76
2013-06-25,4380.03
2013-06-26,4426.65
2013-06-27,4482.59
2013-06-28,4462.54
2013-07-01,4528.81
2013-07-02,4526.06
2013-07-03,4473.51
2013-07-04,4611.24
2013-07-05,4578.1
2013-07-08,4631.63
2013-07-09,4676.88
2013-07-10,4671.12
2013-07-11,4698.72
2013-07-12,4699.83
2013-07-15,4729.39
2013-07-16,4708.02
2013-07-17,4720.17
2013-07-18,4765.01
2013-07-19,4762.36
2013-07-22,4756.98
2013-07-23,4738.49
2013-07-24,4755.1
2013-07-25,4731.78
2013-07-26,4707.96
2013-07-29,4711.88
2013-07-30,4719.57
2013-07-31,4757.16
2013-08-01,4800.93
2013-08-02,4776.42
2013-08-05,4756.1
2013-08-06,4745.05
2013-08-07,4688.45
2013-08-08,4701.74
2013-08-09,4740.42
2013-08-12,4733.91
2013-08-13,4760.98
2013-08-14,4758.04
2013-08-15,4682.86
2013-08-16,4694.89
2013-08-19,4670.14
2013-08-20,4661.28
2013-08-21,4623.02
2013-08-22,4663.55
2013-08-23,4696.27
2013-08-27,4659.28
2013-08-28,4653.12
2013-08-29,4691.46
2013-08-30,4640.72
2013-09-02,4708.21
2013-09-03,4680.87
2013-09-04,4688.5
2013-09-05,4730.28
2013-09-06,4741.07
2013-09-09,4729.05
2013-09-10,4767.61
2013-09-11,4771.7
2013-09-12,4772.1
2013-09-13,4768.35
2013-09-16,4796.64
2013-09-17,4758.48
2013-09-18,4750.51
2013-09-19,4798.73
2013-09-20,4777.76
2013-09-23,4749.47
2013-09-24,4759.68
2013-09-25,4746.47
2013-09-26,4756.66
2013-09-27,4718.31
2013-09-30,4681.76
2013-10-01,4680.17
2013-10-02,4664.39
2013-10-03,4672.76
2013-10-04,4676.27
2013-10-07,4664.24
