Date,Price
2010-01-01,3.767
2010-01-04,3.75
2010-01-05,3.738
2010-01-06,3.712
2010-01-07,3.71
2010-01-08,3.6965
2010-01-11,3.681
2010-01-12,3.689
2010-01-13,3.674
2010-01-14,3.683
2010-01-15,3.68
2010-01-18,3.6793
2010-01-19,3.6883
2010-01-20,3.718
2010-01-21,3.723
2010-01-22,3.713
2010-01-25,3.717
2010-01-26,3.7173
2010-01-27,3.733
2010-01-28,3.731
2010-01-29,3.7293
2010-02-01,3.706
2010-02-02,3.709
2010-02-03,3.707
2010-02-04,3.736
2010-02-05,3.7432
2010-02-08,3.73
2010-02-09,3.728
2010-02-10,3.747
2010-02-11,3.733
2010-02-12,3.7602
2010-02-15,3.75
2010-02-16,3.732
2010-02-17,3.733
2010-02-18,3.742
2010-02-19,3.7637
2010-02-22,3.763
2010-02-23,3.769
2010-02-24,3.7742
2010-02-25,3.784
2010-02-26,3.7785
2010-03-01,3.784
2010-03-02,3.773
2010-03-03,3.759
2010-03-04,3.775
2010-03-05,3.7691
2010-03-08,3.762
2010-03-09,3.763
2010-03-10,3.764
2010-03-11,3.721
2010-03-12,3.7144
2010-03-15,3.717
2010-03-16,3.728
2010-03-17,3.715
2010-03-18,3.726
2010-03-19,3.7407
2010-03-22,3.735
2010-03-23,3.728
2010-03-24,3.751
2010-03-25,3.7417
2010-03-26,3.7301
2010-03-29,3.7045
2010-03-30,3.7022
2010-03-31,3.6897
2010-04-01,3.691
2010-04-02,3.69
2010-04-05,3.693
2010-04-06,3.691
2010-04-07,3.693
2010-04-08,3.688
2010-04-09,3.6847
2010-04-12,3.6782
2010-04-13,3.695
2010-04-14,3.699
2010-04-15,3.692
2010-04-16,3.709
2010-04-19,3.7275
2010-04-20,3.723
2010-04-21,3.731
2010-04-22,3.732
2010-04-23,3.713
2010-04-26,3.722
2010-04-27,3.744
2010-04-28,3.7427
2010-04-29,3.727
2010-04-30,3.7245
2010-05-03,3.727
2010-05-04,3.75
2010-05-05,3.771
2010-05-06,3.8
2010-05-07,3.78
2010-05-10,3.75
2010-05-11,3.755
2010-05-12,3.751
2010-05-13,3.764
2010-05-14,3.771
2010-05-17,3.765
2010-05-18,3.788
2010-05-19,3.7943
2010-05-20,3.815
2010-05-21,3.832
2010-05-24,3.816
2010-05-25,3.838
2010-05-26,3.871
2010-05-27,3.83
2010-05-28,3.839
2010-05-31,3.879
2010-06-01,3.863
2010-06-02,3.851
2010-06-03,3.848
2010-06-04,3.854
2010-06-07,3.878
2010-06-08,3.884
2010-06-09,3.878
2010-06-10,3.848
2010-06-11,3.851
2010-06-14,3.817
2010-06-15,3.822
2010-06-16,3.814
2010-06-17,3.826
2010-06-18,3.825
2010-06-21,3.825
2010-06-22,3.843
2010-06-23,3.857
2010-06-24,3.862
2010-06-25,3.859
2010-06-28,3.879
2010-06-29,3.881
2010-06-30,3.883
2010-07-01,3.891
2010-07-02,3.902
2010-07-05,3.886
2010-07-06,3.887
2010-07-07,3.874
2010-07-08,3.866
2010-07-09,3.869
2010-07-12,3.864
2010-07-13,3.855
2010-07-14,3.861
2010-07-15,3.863
2010-07-16,3.854
2010-07-19,3.846
2010-07-20,3.844
2010-07-21,3.861
2010-07-22,3.857
2010-07-23,3.849
2010-07-26,3.82
2010-07-27,3.81
2010-07-28,3.802
2010-07-29,3.779
2010-07-30,3.768
2010-08-02,3.755
2010-08-03,3.758
2010-08-04,3.762
2010-08-05,3.774
2010-08-06,3.764
2010-08-09,3.763
2010-08-10,3.762
2010-08-11,3.788
2010-08-12,3.797
2010-08-13,3.802
2010-08-16,3.793
2010-08-17,3.777
2010-08-18,3.773
2010-08-19,3.791
2010-08-20,3.807
2010-08-23,3.808
2010-08-24,3.82
2010-08-25,3.809
2010-08-26,3.815
2010-08-27,3.819
2010-08-30,3.814
2010-08-31,3.805
2010-09-01,3.782
2010-09-02,3.78
2010-09-03,3.7702
2010-09-06,3.768
2010-09-07,3.784
2010-09-08,3.768
2010-09-09,3.771
2010-09-10,3.7662
2010-09-13,3.762
2010-09-14,3.754
2010-09-15,3.746
2010-09-16,3.729
2010-09-17,3.714
2010-09-20,3.7208
2010-09-21,3.705
2010-09-22,3.69
2010-09-23,3.695
2010-09-24,3.687
2010-09-27,3.67
2010-09-28,3.667
2010-09-29,3.659
2010-09-30,3.66
2010-10-01,3.634
2010-10-04,3.62
2010-10-05,3.603
2010-10-06,3.584
2010-10-07,3.603
2010-10-08,3.6
2010-10-11,3.604
2010-10-12,3.608
2010-10-13,3.592
2010-10-14,3.575
2010-10-15,3.5775
2010-10-18,3.574
2010-10-19,3.609
2010-10-20,3.608
2010-10-21,3.62
2010-10-22,3.631
2010-10-25,3.609
2010-10-26,3.637
2010-10-27,3.65
2010-10-28,3.63
2010-10-29,3.628
2010-11-01,3.626
2010-11-02,3.61
2010-11-03,3.596
2010-11-04,3.568
2010-11-05,3.583
2010-11-08,3.636
2010-11-09,3.636
2010-11-10,3.635
2010-11-11,3.659
2010-11-12,3.675
2010-11-15,3.6746
2010-11-16,3.6721
2010-11-17,3.673
2010-11-18,3.652
2010-11-19,3.634
2010-11-22,3.63
2010-11-23,3.673
2010-11-24,3.654
2010-11-25,3.647
2010-11-26,3.675
2010-11-29,3.679
2010-11-30,3.677
2010-12-01,3.654
2010-12-02,3.631
2010-12-03,3.62
2010-12-06,3.621
2010-12-07,3.614
2010-12-08,3.628
2010-12-09,3.621
2010-12-10,3.613
2010-12-13,3.604
2010-12-14,3.593
2010-12-15,3.595
2010-12-16,3.59
2010-12-17,3.591
2010-12-20,3.609
2010-12-21,3.589
2010-12-22,3.589
2010-12-23,3.591
