Date,Price
2015-07-07,123.41
2015-07-08,123.62
2015-07-09,123.21
2015-07-10,122.79
2015-07-13,122.56
2015-07-14,122.79
2015-07-15,123.03
2015-07-16,122.92
2015-07-17,122.84
2015-07-20,122.65
2015-07-21,122.83
2015-07-22,122.82
2015-07-23,123.06
2015-07-24,123.13
2015-07-27,123.43
2015-07-28,123.32
2015-07-29,123.18
2015-07-30,123.18
2015-07-31,123.65
2015-08-03,123.6
2015-08-04,123.14
2015-08-05,122.91
2015-08-06,123.09
2015-08-07,123.3
2015-08-10,123.13
2015-08-11,123.58
2015-08-12,123.64
2015-08-13,123.34
2015-08-14,123.23
2015-08-17,123.42
2015-08-18,123.34
2015-08-19,123.79
2015-08-20,123.86
2015-08-21,124.15
2015-08-24,124.45
2015-08-25,124.08
2015-08-26,123.76
2015-08-27,123.73
2015-08-28,123.65
2015-08-31,123.45
2015-09-01,123.59
2015-09-02,123.53
2015-09-03,123.7
2015-09-04,123.8
2015-09-08,123.52
2015-09-09,123.58
2015-09-10,123.5
2015-09-11,123.69
2015-09-14,123.76
2015-09-15,123.22
2015-09-16,123.2
2015-09-17,123.89
2015-09-18,124.15
2015-09-21,123.83
2015-09-22,124.15
2015-09-23,124.06
2015-09-24,124.18
2015-09-25,124.04
2015-09-28,124.35
2015-09-29,124.56
2015-09-30,124.65
2015-10-01,124.53
2015-10-02,124.97
2015-10-05,124.66
2015-10-06,124.76
2015-10-07,124.55
2015-10-08,124.38
2015-10-09,124.33
2015-10-12,124.57
2015-10-13,124.65
2015-10-14,125.12
2015-10-15,124.82
2015-10-16,124.74
2015-10-19,124.75
2015-10-20,124.51
2015-10-21,124.62
2015-10-22,124.77
2015-10-23,124.37
2015-10-26,124.5
2015-10-27,124.67
2015-10-28,124.18
2015-10-29,123.85
2015-10-30,123.91
2015-11-02,123.51
2015-11-03,123.39
2015-11-04,123.15
2015-11-05,123.1
2015-11-06,122.63
2015-11-09,122.52
2015-11-10,122.75
2015-11-11,122.72
2015-11-12,122.76
2015-11-13,123.06
2015-11-16,123.14
2015-11-17,123.09
2015-11-18,122.97
2015-11-19,123.08
2015-11-20,123.01
2015-11-23,123.08
2015-11-24,123.16
2015-11-25,123.15
2015-11-27,123.25
2015-11-30,123.25
2015-12-01,123.43
2015-12-02,123.19
2015-12-03,122.64
2015-12-04,122.81
2015-12-07,122.98
2015-12-08,123.06
2015-12-09,123.22
2015-12-10,123.04
2015-12-11,123.59
2015-12-14,123.12
2015-12-15,122.9
2015-12-16,122.69
2015-12-17,122.86
2015-12-18,123.13
2015-12-21,123.17
2015-12-22,122.96
2015-12-23,122.81
2015-12-24,122.73
2015-12-28,122.78
2015-12-29,122.45
2015-12-30,122.48
2015-12-31,122.61
2016-01-04,122.86
2016-01-05,122.91
2016-01-06,123.27
2016-01-07,123.55
2016-01-08,123.8
2016-01-11,123.65
2016-01-12,123.88
2016-01-13,124.13
2016-01-14,124.1
2016-01-15,124.44
2016-01-19,124.32
2016-01-20,124.65
2016-01-21,124.53
2016-01-22,124.35
2016-01-25,124.48
2016-01-26,124.59
2016-01-27,124.67
2016-01-28,124.82
2016-01-29,125.24
2016-02-01,124.87
2016-02-02,125.38
2016-02-03,125.41
2016-02-04,125.53
2016-02-05,125.54
2016-02-08,126.03
2016-02-09,125.99
2016-02-10,126.14
2016-02-11,126.34
2016-02-12,125.9
2016-02-16,125.74
2016-02-17,125.56
2016-02-18,125.85
2016-02-19,125.74
2016-02-22,125.71
2016-02-23,125.81
2016-02-24,125.85
2016-02-25,126.07
2016-02-26,125.73
2016-02-29,125.78
2016-03-01,125.07
2016-03-02,124.96
2016-03-03,124.97
2016-03-04,124.79
2016-03-07,124.6
2016-03-08,125.0
2016-03-09,124.78
2016-03-10,124.45
2016-03-11,124.28
2016-03-14,124.26
2016-03-15,124.27
2016-03-16,124.79
2016-03-17,124.88
2016-03-18,125.14
2016-03-21,124.87
2016-03-22,124.73
2016-03-23,125.03
2016-03-24,124.96
2016-03-28,125.02
2016-03-29,125.56
2016-03-30,125.67
2016-03-31,125.95
2016-04-01,125.71
2016-04-04,125.81
2016-04-05,126.07
2016-04-06,125.96
2016-04-07,126.28
2016-04-08,126.19
2016-04-11,126.19
2016-04-12,125.92
2016-04-13,125.86
2016-04-14,125.71
2016-04-15,125.92
2016-04-18,125.86
2016-04-19,125.71
2016-04-20,125.43
2016-04-21,125.25
2016-04-22,125.22
2016-04-25,125.1
2016-04-26,124.99
2016-04-27,125.37
2016-04-28,125.61
2016-04-29,125.63
2016-05-02,125.32
2016-05-03,125.72
2016-05-04,125.86
2016-05-05,126.03
2016-05-06,125.88
2016-05-09,126.09
2016-05-10,126.07
2016-05-11,126.06
2016-05-12,125.91
2016-05-13,126.05
2016-05-16,125.8
2016-05-17,125.65
2016-05-18,125.08
2016-05-19,125.14
2016-05-20,125.25
2016-05-23,125.24
2016-05-24,125.07
2016-05-25,125.03
2016-05-26,125.36
2016-05-27,125.1
2016-05-31,125.22
2016-06-01,125.01
2016-06-02,125.2
2016-06-03,125.94
2016-06-06,125.79
2016-06-07,125.92
2016-06-08,125.94
2016-06-09,126.03
2016-06-10,126.28
2016-06-13,126.51
2016-06-14,126.49
2016-06-15,126.83
2016-06-16,126.79
2016-06-17,126.67
2016-06-20,126.32
2016-06-21,126.18
2016-06-22,126.33
2016-06-23,125.97
2016-06-24,126.92
2016-06-27,127.44
2016-06-28,127.45
2016-06-29,127.21
2016-06-30,127.35
2016-07-01,127.41
2016-07-05,127.67
2016-07-06,127.62
2016-07-07,127.59
2016-07-08,127.62
2016-07-11,127.18
2016-07-12,126.85
2016-07-13,126.97
2016-07-14,126.76
2016-07-15,126.52
2016-07-18,126.55
2016-07-19,126.73
2016-07-20,126.58
2016-07-21,126.8
2016-07-22,126.68
2016-07-25,126.55
2016-07-26,126.58
2016-07-27,126.89
2016-07-28,126.97
2016-07-29,127.29
2016-08-01,126.96
2016-08-02,126.83
2016-08-03,126.94
2016-08-04,127.12
2016-08-05,126.54
2016-08-08,126.48
2016-08-09,126.75
2016-08-10,126.93
2016-08-11,126.52
2016-08-12,126.83
2016-08-15,126.62
2016-08-16,126.44
2016-08-17,126.56
2016-08-18,126.73
2016-08-19,126.43
2016-08-22,126.61
2016-08-23,126.62
2016-08-24,126.62
2016-08-25,126.43
2016-08-26,126.07
2016-08-29,126.38
2016-08-30,126.37
2016-08-31,126.24
2016-09-01,126.26
2016-09-02,126.15
2016-09-06,126.57
2016-09-07,126.54
2016-09-08,126.21
2016-09-09,125.95
2016-09-12,126.05
2016-09-13,125.87
2016-09-14,126.05
2016-09-15,126.2
2016-09-16,126.19
2016-09-19,126.09
2016-09-20,126.15
2016-09-21,126.21
2016-09-22,126.31
2016-09-23,126.4
2016-09-26,126.61
2016-09-27,126.7
2016-09-28,126.61
2016-09-29,126.71
2016-09-30,126.54
2016-10-03,126.26
2016-10-04,125.98
2016-10-05,125.85
2016-10-06,125.62
2016-10-07,125.74
2016-10-10,125.55
2016-10-11,125.52
2016-10-12,125.54
2016-10-13,125.75
2016-10-14,125.62
2016-10-17,125.78
2016-10-18,125.93
2016-10-19,125.95
2016-10-20,125.85
2016-10-21,125.88
2016-10-24,125.77
2016-10-25,125.77
2016-10-26,125.65
2016-10-27,125.44
2016-10-28,125.56
2016-10-31,125.62
2016-11-01,125.59
2016-11-02,125.79
2016-11-03,125.81
2016-11-04,126.02
2016-11-07,125.7
2016-11-08,125.41
2016-11-09,124.56
2016-11-10,124.24
2016-11-11,124.03
2016-11-14,123.61
2016-11-15,123.55
2016-11-16,123.55
2016-11-17,123.3
2016-11-18,123.0
2016-11-21,123.02
2016-11-22,123.14
2016-11-23,122.77
2016-11-25,122.79
2016-11-28,123.04
2016-11-29,123.12
2016-11-30,122.74
2016-12-01,122.39
2016-12-02,122.76
2016-12-05,122.67
2016-12-06,122.77
2016-12-07,123.0
2016-12-08,122.81
2016-12-09,122.5
2016-12-12,122.52
2016-12-13,122.49
2016-12-14,121.78
2016-12-15,121.52
2016-12-16,121.66
2016-12-19,121.99
2016-12-20,121.89
2016-12-21,121.97
2016-12-22,121.83
2016-12-23,121.94
2016-12-27,121.78
2016-12-28,122.04
2016-12-29,122.33
2016-12-30,122.51
2017-01-03,122.48
2017-01-04,122.56
2017-01-05,122.93
2017-01-06,122.59
2017-01-09,122.83
2017-01-10,122.85
