Date,Price
2010-08-06,25.02
2010-08-09,25.0
2010-08-10,25.02
2010-08-11,25.02
2010-08-12,25.0
2010-08-13,25.01
2010-08-16,25.04
2010-08-17,25.02
2010-08-18,25.03
2010-08-19,25.03
2010-08-20,25.03
2010-08-23,25.04
2010-08-24,25.05
2010-08-25,25.04
2010-08-26,25.02
2010-08-27,25.01
2010-08-30,25.06
2010-08-31,25.06
2010-09-01,25.04
2010-09-02,25.04
2010-09-03,25.03
2010-09-07,25.05
2010-09-08,25.02
2010-09-09,25.0
2010-09-10,25.0
2010-09-13,25.01
2010-09-14,25.04
2010-09-15,25.05
2010-09-16,25.05
2010-09-17,25.05
2010-09-20,25.06
2010-09-21,25.08
2010-09-22,25.08
2010-09-23,25.08
2010-09-24,25.07
2010-09-27,25.08
2010-09-28,25.09
2010-09-29,25.09
2010-09-30,25.08
2010-10-01,25.08
2010-10-04,25.09
2010-10-05,25.08
2010-10-06,25.09
2010-10-07,25.11
2010-10-08,25.11
2010-10-11,25.11
2010-10-12,25.11
2010-10-13,25.11
2010-10-14,25.11
2010-10-15,25.11
2010-10-18,25.11
2010-10-19,25.12
2010-10-20,25.12
2010-10-21,25.12
2010-10-22,25.12
2010-10-25,25.12
2010-10-26,25.11
2010-10-27,25.09
2010-10-28,25.11
2010-10-29,25.12
2010-11-01,25.13
2010-11-02,25.12
2010-11-03,25.13
2010-11-04,25.13
2010-11-05,25.11
2010-11-08,25.1
2010-11-09,25.07
2010-11-10,25.08
2010-11-11,25.07
2010-11-12,25.04
2010-11-15,25.02
2010-11-16,25.03
2010-11-17,25.04
2010-11-18,25.05
2010-11-19,25.04
2010-11-22,25.07
2010-11-23,25.08
2010-11-24,25.03
2010-11-26,25.05
2010-11-29,25.05
2010-11-30,25.07
2010-12-01,25.02
2010-12-02,25.02
2010-12-03,25.05
2010-12-06,25.07
2010-12-07,25.02
2010-12-08,24.98
2010-12-09,24.97
2010-12-10,24.98
2010-12-13,24.98
2010-12-14,24.96
2010-12-15,24.96
2010-12-16,24.96
2010-12-17,24.98
2010-12-20,25.0
2010-12-21,24.98
2010-12-22,24.98
2010-12-23,24.98
2010-12-27,24.98
2010-12-28,24.94
2010-12-29,24.99
2010-12-30,24.99
2010-12-31,25.01
2011-01-03,25.02
2011-01-04,25.02
2011-01-05,24.97
2011-01-06,24.98
2011-01-07,25.01
2011-01-10,25.03
2011-01-11,25.03
2011-01-12,25.0
2011-01-13,25.02
2011-01-14,25.02
2011-01-18,25.02
2011-01-19,25.04
2011-01-20,25.0
2011-01-21,25.0
2011-01-24,25.01
2011-01-25,25.04
2011-01-26,25.02
2011-01-27,25.02
2011-01-28,25.05
2011-01-31,25.05
2011-02-01,25.02
2011-02-02,25.0
2011-02-03,24.98
2011-02-04,24.96
2011-02-07,24.95
2011-02-08,24.91
2011-02-09,24.93
2011-02-10,24.91
2011-02-11,24.93
2011-02-14,24.92
2011-02-15,24.93
2011-02-16,24.93
2011-02-17,24.96
2011-02-18,24.96
2011-02-22,25.0
2011-02-23,24.98
2011-02-24,24.98
2011-02-25,24.98
2011-02-28,25.02
2011-03-01,25.01
2011-03-02,25.0
2011-03-03,24.95
2011-03-04,25.0
2011-03-07,24.99
2011-03-08,24.99
2011-03-09,25.0
2011-03-10,25.03
2011-03-11,25.03
2011-03-14,25.05
2011-03-15,25.05
2011-03-16,25.07
2011-03-17,25.09
2011-03-18,25.05
2011-03-21,25.04
2011-03-22,25.04
2011-03-23,25.03
2011-03-24,25.02
2011-03-25,25.0
2011-03-28,24.98
2011-03-29,24.98
2011-03-30,24.99
2011-03-31,24.97
2011-04-01,24.96
2011-04-04,24.99
2011-04-05,24.97
2011-04-06,24.96
2011-04-07,24.98
2011-04-08,24.97
2011-04-11,24.98
2011-04-12,25.0
2011-04-13,25.02
2011-04-14,25.0
2011-04-15,25.04
2011-04-18,25.04
2011-04-19,25.05
2011-04-20,25.04
2011-04-21,25.06
2011-04-25,25.05
2011-04-26,25.05
2011-04-27,25.07
2011-04-28,25.09
2011-04-29,25.09
2011-05-02,25.08
2011-05-03,25.08
2011-05-04,25.09
2011-05-05,25.1
2011-05-06,25.11
2011-05-09,25.11
2011-05-10,25.09
2011-05-11,25.11
2011-05-12,25.11
2011-05-13,25.12
2011-05-16,25.12
2011-05-17,25.13
2011-05-18,25.12
2011-05-19,25.12
2011-05-20,25.13
2011-05-23,25.14
2011-05-24,25.14
2011-05-25,25.14
