Date,Price
2014-03-06,7027.85
2014-03-07,6953.86
2014-03-10,6912.41
2014-03-11,6960.03
2014-03-12,6978.83
2014-03-13,6942.54
2014-03-14,6961.05
2014-03-17,6980.94
2014-03-18,7008.11
2014-03-19,6868.23
2014-03-20,6888.38
2014-03-21,6952.25
2014-03-24,6907.44
2014-03-25,6975.15
2014-03-26,6889.2
2014-03-27,6940.53
2014-03-28,6990.52
2014-03-31,7043.03
2014-04-01,7075.05
2014-04-02,7079.47
2014-04-03,7066.65
2014-04-04,7096.32
2014-04-07,7126.67
2014-04-08,7167.96
2014-04-09,7150.79
2014-04-10,7084.17
2014-04-11,7036.61
2014-04-14,7082.17
2014-04-15,7168.21
2014-04-16,7222.32
2014-04-17,7189.7
2014-04-21,7217.81
2014-04-22,7229.14
2014-04-23,7199.75
2014-04-24,7236.24
2014-04-25,7203.79
2014-04-28,7273.68
2014-04-29,7272.13
2014-04-30,7302.31
2014-05-01,7333.88
2014-05-02,7330.76
2014-05-05,7349.04
2014-05-06,7319.34
2014-05-07,7412.69
2014-05-08,7431.28
2014-05-09,7429.15
2014-05-12,7457.09
2014-05-13,7403.09
2014-05-14,7414.22
2014-05-15,7401.8
2014-05-16,7473.03
2014-05-19,7445.5
2014-05-20,7423.85
2014-05-21,7381.88
2014-05-22,7363.72
2014-05-23,7427.63
2014-05-27,7479.19
2014-05-28,7423.93
2014-05-29,7440.48
2014-05-30,7482.19
2014-06-02,7504.39
2014-06-03,7493.82
2014-06-04,7508.96
2014-06-05,7650.62
2014-06-06,7616.71
2014-06-09,7521.53
2014-06-10,7465.81
2014-06-11,7448.81
2014-06-12,7427.9
2014-06-13,7448.63
2014-06-16,7409.1
2014-06-17,7425.86
2014-06-18,7482.41
2014-06-19,7537.69
2014-06-20,7554.08
2014-06-23,7531.14
2014-06-24,7527.97
2014-06-25,7520.68
2014-06-26,7506.21
2014-06-27,7563.77
2014-06-30,7546.7
2014-07-01,7581.94
2014-07-02,7562.75
2014-07-03,7527.69
2014-07-07,7546.68
2014-07-08,7569.48
2014-07-09,7578.89
2014-07-10,7609.33
2014-07-11,7610.78
2014-07-14,7648.93
2014-07-15,7658.27
2014-07-16,7685.18
2014-07-17,7642.01
2014-07-18,7716.33
2014-07-21,7685.4
2014-07-22,7718.72
2014-07-23,7730.13
2014-07-24,7737.94
2014-07-25,7675.28
2014-07-28,7729.59
2014-07-29,7686.7
2014-07-30,7680.16
2014-07-31,7562.37
2014-08-01,7544.93
2014-08-04,7589.38
2014-08-05,7510.62
2014-08-06,7502.65
2014-08-07,7504.08
2014-08-08,7549.48
2014-08-11,7596.28
2014-08-12,7583.34
2014-08-13,7694.11
2014-08-14,7687.95
2014-08-15,7673.6
2014-08-18,7756.97
2014-08-19,7777.53
2014-08-20,7808.62
2014-08-21,7796.63
2014-08-22,7732.74
2014-08-25,7713.43
2014-08-26,7725.11
2014-08-27,7737.62
2014-08-28,7729.12
2014-08-29,7773.07
2014-09-02,7775.99
2014-09-03,7795.9
2014-09-04,7769.13
2014-09-05,7854.44
2014-09-08,7844.6
2014-09-09,7800.8
2014-09-10,7674.66
2014-09-11,7683.34
2014-09-12,7437.61
2014-09-15,7409.62
2014-09-16,7482.3
2014-09-17,7482.05
2014-09-18,7417.19
2014-09-19,7423.31
2014-09-22,7369.63
2014-09-23,7311.47
2014-09-24,7294.71
2014-09-25,7262.56
2014-09-26,7358.89
