Date,Price
2010-01-04,63.98
2010-01-05,63.76
2010-01-06,63.7
2010-01-07,64.17
2010-01-08,64.52
2010-01-11,64.26
2010-01-12,63.56
2010-01-13,64.38
2010-01-14,64.62
2010-01-15,63.68
2010-01-19,64.85
2010-01-20,63.91
2010-01-21,62.86
2010-01-22,61.73
2010-01-25,61.8
2010-01-26,61.19
2010-01-27,61.84
2010-01-28,60.78
2010-01-29,60.11
2010-02-01,60.82
2010-02-02,61.49
2010-02-03,61.08
2010-02-04,59.04
2010-02-05,59.27
2010-02-08,58.68
2010-02-09,59.49
2010-02-10,59.63
2010-02-11,60.58
2010-02-12,61.02
2010-02-16,62.05
2010-02-17,62.47
2010-02-18,62.98
2010-02-19,63.06
2010-02-22,63.25
2010-02-23,62.51
2010-02-24,63.04
2010-02-25,63.06
2010-02-26,62.8
2010-03-01,64.26
2010-03-02,64.75
2010-03-03,65.12
2010-03-04,65.29
2010-03-05,66.62
2010-03-08,66.74
2010-03-09,66.98
2010-03-10,67.55
2010-03-11,67.75
2010-03-12,67.72
2010-03-15,67.49
2010-03-16,68.07
2010-03-17,68.47
2010-03-18,68.26
2010-03-19,67.41
2010-03-22,68.36
2010-03-23,69.23
2010-03-24,68.27
2010-03-25,67.84
2010-03-26,67.81
2010-03-29,68.18
2010-03-30,68.39
2010-03-31,67.8
2010-04-01,68.43
2010-04-05,69.71
2010-04-06,70.12
2010-04-07,69.9
2010-04-08,69.83
2010-04-09,70.25
2010-04-12,70.54
2010-04-13,70.7
2010-04-14,72.21
2010-04-15,72.43
2010-04-16,71.46
2010-04-19,71.11
2010-04-20,72.08
2010-04-21,72.58
2010-04-22,73.35
2010-04-23,74.13
2010-04-26,73.85
2010-04-27,72.16
2010-04-28,72.28
2010-04-29,73.81
2010-04-30,71.65
2010-05-03,73.26
2010-05-04,70.96
2010-05-05,69.92
2010-05-06,67.3
2010-05-07,65.36
2010-05-10,69.03
2010-05-11,69.49
2010-05-12,71.62
2010-05-13,70.93
2010-05-14,69.56
2010-05-17,69.69
2010-05-18,68.35
2010-05-19,67.54
2010-05-20,64.12
2010-05-21,65.07
2010-05-24,64.2
2010-05-25,64.19
2010-05-26,64.34
2010-05-27,67.11
2010-05-28,66.25
2010-06-01,64.24
2010-06-02,66.07
2010-06-03,66.92
2010-06-04,63.55
2010-06-07,61.92
2010-06-08,61.89
2010-06-09,61.93
2010-06-10,64.07
2010-06-11,64.94
2010-06-14,65.35
2010-06-15,66.99
2010-06-16,66.68
2010-06-17,66.76
2010-06-18,66.8
2010-06-21,66.11
2010-06-22,64.75
2010-06-23,64.57
2010-06-24,63.54
2010-06-25,64.63
2010-06-28,64.26
2010-06-29,61.83
2010-06-30,61.12
2010-07-01,60.68
2010-07-02,59.82
2010-07-06,59.04
2010-07-07,61.1
2010-07-08,61.98
2010-07-09,62.94
2010-07-12,62.23
2010-07-13,64.2
2010-07-14,63.97
2010-07-15,63.38
2010-07-16,61.07
2010-07-19,61.33
2010-07-20,62.36
2010-07-21,61.24
2010-07-22,63.42
2010-07-23,64.98
2010-07-26,66.46
2010-07-27,66.22
2010-07-28,65.15
2010-07-29,64.98
2010-07-30,65.02
2010-08-02,66.15
2010-08-03,65.62
2010-08-04,66.31
2010-08-05,65.53
2010-08-06,65.14
2010-08-09,65.86
2010-08-10,64.62
2010-08-11,62.08
2010-08-12,61.77
2010-08-13,61.07
2010-08-16,61.56
2010-08-17,62.62
2010-08-18,62.81
2010-08-19,61.09
2010-08-20,61.15
2010-08-23,60.32
2010-08-24,59.63
2010-08-25,60.53
2010-08-26,60.08
2010-08-27,61.65
2010-08-30,60.3
2010-08-31,60.18
2010-09-01,62.51
2010-09-02,63.2
2010-09-03,64.33
2010-09-07,63.11
2010-09-08,63.48
2010-09-09,63.52
2010-09-10,63.72
2010-09-13,65.27
2010-09-14,64.99
2010-09-15,65.36
2010-09-16,64.94
2010-09-17,65.21
2010-09-20,67.02
2010-09-21,66.63
2010-09-22,65.84
2010-09-23,64.88
2010-09-24,66.99
