תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %,,,,,,,,
25.08.2025,"13,802.24","13,883.29","13,908.87","13,774.54",,-0.58%,,,,,,,,
22.08.2025,"13,883.29","13,659.91","13,974.69","13,659.91",,1.64%,,,,,,,,
21.08.2025,"13,659.91","13,704.80","13,709.34","13,604.34",,-0.33%,,,,,,,,
20.08.2025,"13,704.51","13,679.09","13,833.23","13,669.00",,0.23%,,,,,,,,
19.08.2025,"13,672.97","13,404.14","13,675.54","13,404.14",,2.01%,,,,,,,,
18.08.2025,"13,404.14","13,514.79","13,546.42","13,403.05",,-0.81%,,,,,,,,
15.08.2025,"13,513.15","13,444.31","13,539.35","13,425.89",,0.52%,,,,,,,,
14.08.2025,"13,443.79","13,549.22","13,549.22","13,354.74",,-0.77%,,,,,,,,
13.08.2025,"13,548.11","13,429.78","13,567.04","13,400.89",,0.88%,,,,,,,,https://il.investing.com/indices/dj-us-select-reit-tr-historical-data
12.08.2025,"13,429.53","13,330.44","13,431.35","13,271.26",,0.79%,,,,,,,,
11.08.2025,"13,324.38","13,376.11","13,424.95","13,324.38",,-0.58%,,,,,,,,
08.08.2025,"13,402.01","13,504.91","13,538.98","13,389.02",,-0.77%,,,,,,,rwr,
07.08.2025,"13,505.40","13,466.33","13,531.83","13,421.73",,0.29%,,,,,,,,
06.08.2025,"13,466.16","13,566.66","13,601.57","13,458.35",,-0.74%,,,,,,,,
05.08.2025,"13,566.66","13,458.27","13,584.60","13,427.07",,0.81%,,,,,,,,
04.08.2025,"13,458.27","13,344.65","13,505.91","13,344.65",,0.87%,,,,,,,,
01.08.2025,"13,342.09","13,406.00","13,499.89","13,229.80",,-0.45%,,,,,,,,
31.07.2025,"13,402.79","13,638.83","13,638.83","13,388.08",,-1.71%,,,,,,,,
30.07.2025,"13,635.46","13,841.10","13,858.92","13,545.67",,-1.49%,,,,,,,,
29.07.2025,"13,841.10","13,551.83","13,857.98","13,551.83",,2.13%,,,,,,,,
28.07.2025,"13,551.83","13,758.18","13,760.61","13,546.98",,-1.65%,,,,,,,,
25.07.2025,"13,778.70","13,776.24","13,814.18","13,637.50",,0.02%,,,,,,,,
24.07.2025,"13,776.24","13,865.72","13,865.72","13,776.24",,-0.65%,,,,,,,,
23.07.2025,"13,865.72","13,852.47","13,881.03","13,807.46",,0.10%,,,,,,,,
22.07.2025,"13,852.47","13,628.04","13,865.30","13,628.04",,1.65%,,,,,,,,
21.07.2025,"13,628.04","13,594.45","13,726.48","13,594.45",,0.25%,,,,,,,,
18.07.2025,"13,594.33","13,560.87","13,636.34","13,536.24",,0.25%,,,,,,,,
17.07.2025,"13,559.94","13,605.39","13,633.06","13,501.72",,-0.33%,,,,,,,,
