תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %,,,,,,,
04.08.2025,"10,312.01","10,279.26","10,333.23","10,279.12",,0.32%,,,,,,,
01.08.2025,"10,279.26","10,352.06","10,352.06","10,233.19",,-0.70%,,,,,,,
31.07.2025,"10,352.06","10,356.74","10,417.72","10,332.76",,-0.01%,,,,,,,
30.07.2025,"10,353.33","10,352.63","10,364.49","10,301.88",,0.01%,,,,,,,
29.07.2025,"10,352.63","10,290.45","10,383.13","10,284.71",,0.60%,,,,,,,(TRIUKX) FTSE 100 Total Return
28.07.2025,"10,290.45","10,334.49","10,389.67","10,264.36",,-0.43%,,,,,,,
25.07.2025,"10,334.49","10,354.95","10,362.49","10,305.43",,-0.20%,,,,,,,https://il.investing.com/indices/ftse-100-total-return
24.07.2025,"10,354.95","10,267.83","10,377.44","10,266.96",,0.87%,,,,,,,
23.07.2025,"10,265.62","10,222.94","10,286.70","10,222.33",,0.42%,,,,,,,
22.07.2025,"10,222.94","10,210.68","10,236.04","10,190.42",,0.12%,,,,,,,
21.07.2025,"10,210.68","10,187.03","10,210.68","10,167.89",,0.23%,,,,,,,
18.07.2025,"10,187.03","10,164.97","10,214.50","10,160.95",,0.22%,,,,,,,
17.07.2025,"10,164.97","10,112.75","10,176.53","10,112.75",,0.52%,,,,,,,
16.07.2025,"10,112.75","10,126.08","10,164.57","10,112.75",,-0.13%,,,,,,,
15.07.2025,"10,126.08","10,193.77","10,215.20","10,126.08",,-0.66%,,,,,,,
14.07.2025,"10,193.77","10,129.26","10,195.09","10,117.90",,0.64%,,,,,,,
11.07.2025,"10,129.26","10,168.39","10,178.00","10,103.62",,-0.38%,,,,,,,
10.07.2025,"10,168.39","10,045.32","10,172.64","10,045.32",,1.23%,,,,,,,
09.07.2025,"10,044.95","10,030.40","10,068.36","10,030.40",,0.15%,,,,,,,
08.07.2025,"10,030.40","9,976.41","10,030.40","9,972.72",,0.54%,,,,,,,
07.07.2025,"9,976.41","9,994.97","10,010.80","9,967.50",,-0.19%,,,,,,,
04.07.2025,"9,994.97","9,995.30","10,004.06","9,948.70",,0.00%,,,,,,,
03.07.2025,"9,995.30","9,940.35","10,011.79","9,940.31",,0.56%,,,,,,,
02.07.2025,"9,939.42","9,951.47","9,999.99","9,898.97",,-0.12%,,,,,,,
01.07.2025,"9,951.47","9,923.86","9,957.71","9,885.31",,0.28%,,,,,,,
30.06.2025,"9,923.86","9,966.86","9,988.98","9,923.86",,-0.43%,,,,,,,
27.06.2025,"9,966.86","9,895.13","9,966.86","9,895.13",,0.72%,,,,,,,
26.06.2025,"9,895.13","9,876.06","9,919.49","9,863.48",,0.26%,,,,,,,
25.06.2025,"9,869.82","9,915.37","9,953.22","9,866.92",,-0.46%,,,,,,,
24.06.2025,"9,915.37","9,914.30","9,997.91","9,914.22",,0.01%,,,,,,,
23.06.2025,"9,914.30","9,933.10","9,947.14","9,895.46",,-0.19%,,,,,,,
20.06.2025,"9,933.10","9,952.51","10,015.32","9,930.46",,-0.20%,,,,,,,
19.06.2025,"9,952.51","10,011.01","10,011.73","9,949.08",,-0.52%,,,,,,,
18.06.2025,"10,004.72","9,994.04","10,021.79","9,978.64",,0.11%,,,,,,,
17.06.2025,"9,994.04","10,040.64","10,040.64","9,966.75",,-0.46%,,,,,,,
16.06.2025,"10,040.64","10,012.82","10,071.38","10,012.82",,0.28%,,,,,,,
