תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %,,,,,,,
12.08.2025,0.0391,0.03896,0.0391,0.03892,,0.37%,,,,,,,
11.08.2025,0.03896,0.03909,0.0392,0.03889,,-0.34%,,,,,,,
10.08.2025,0.03909,0.03923,0.03923,0.03909,,-0.33%,,,,,,,
08.08.2025,0.03922,0.03906,0.0394,0.03901,,0.44%,,,,,,,
07.08.2025,0.03905,0.03918,0.0393,0.03893,,-0.33%,,,,,,,
06.08.2025,0.03918,0.03931,0.03942,0.03903,,-0.31%,,,,,,,
05.08.2025,0.0393,0.03901,0.03941,0.03887,,0.74%,,,,,,,
04.08.2025,0.03901,0.03913,0.03918,0.03879,,-0.31%,,,,,,,
03.08.2025,0.03913,0.03913,0.03913,0.03913,,0.00%,,,,,,,
01.08.2025,0.03913,0.0388,0.03924,0.03868,,0.85%,,,,,,,
31.07.2025,0.0388,0.03859,0.03886,0.03851,,0.57%,,,,,,,https://il.investing.com/currencies/inr-ils-historical-data
30.07.2025,0.03858,0.03865,0.03878,0.03833,,-0.16%,,,,,,,
29.07.2025,0.03864,0.03866,0.03889,0.03857,,-0.21%,,,,,,,
28.07.2025,0.03872,0.03882,0.03889,0.03859,,-0.15%,,,,,,,
25.07.2025,0.03878,0.03876,0.03888,0.03864,,0.03%,,,,,,,
24.07.2025,0.03877,0.03855,0.03888,0.03848,,0.57%,,,,,,,
23.07.2025,0.03855,0.03869,0.03874,0.03846,,-0.36%,,,,,,,
22.07.2025,0.03869,0.03879,0.03893,0.03862,,-0.26%,,,,,,,
21.07.2025,0.03879,0.03898,0.03905,0.03872,,-0.64%,,,,,,,
18.07.2025,0.03904,0.03906,0.03915,0.03885,,-0.05%,,,,,,,
17.07.2025,0.03906,0.03908,0.03923,0.03892,,-0.05%,,,,,,,
16.07.2025,0.03908,0.03911,0.03932,0.03893,,0.00%,,,,,,,
15.07.2025,0.03908,0.03896,0.03919,0.03887,,0.33%,,,,,,,
14.07.2025,0.03895,0.03884,0.03924,0.03876,,0.28%,,,,,,,
11.07.2025,0.03884,0.03858,0.03893,0.03852,,0.67%,,,,,,,
10.07.2025,0.03858,0.03872,0.03879,0.03849,,-0.44%,,,,,,,
09.07.2025,0.03875,0.03913,0.03916,0.0386,,-0.95%,,,,,,,
08.07.2025,0.03912,0.03916,0.03926,0.03893,,-0.10%,,,,,,,
07.07.2025,0.03916,0.03897,0.03925,0.03877,,0.23%,,,,,,,
04.07.2025,0.03907,0.03885,0.03927,0.03883,,0.31%,,,,,,,
03.07.2025,0.03895,0.03937,0.03949,0.03891,,-1.07%,,,,,,,
02.07.2025,0.03937,0.03942,0.03953,0.03926,,-0.20%,,,,,,,
01.07.2025,0.03945,0.03934,0.03962,0.03927,,0.28%,,,,,,,
30.06.2025,0.03934,0.03962,0.03964,0.03917,,-0.78%,,,,,,,
27.06.2025,0.03965,0.0396,0.03973,0.03941,,0.08%,,,,,,,
26.06.2025,0.03962,0.03956,0.03971,0.03929,,0.18%,,,,,,,
25.06.2025,0.03955,0.03964,0.03976,0.03945,,-0.23%,,,,,,,
24.06.2025,0.03964,0.03979,0.03982,0.03928,,-0.38%,,,,,,,
23.06.2025,0.03979,0.03994,0.0402,0.03963,,-1.31%,,,,,,,
20.06.2025,0.04032,0.04018,0.04038,0.04007,,0.35%,,,,,,,
19.06.2025,0.04018,0.04031,0.04046,0.04003,,-0.42%,,,,,,,
18.06.2025,0.04035,0.0407,0.04075,0.04003,,-0.86%,,,,,,,
17.06.2025,0.0407,0.04075,0.04096,0.04044,,-0.15%,,,,,,,
16.06.2025,0.04076,0.04167,0.04184,0.04039,,-3.11%,,,,,,,
13.06.2025,0.04207,0.04155,0.04286,0.04148,,1.25%,,,,,,,
12.06.2025,0.04155,0.04138,0.04186,0.04123,,0.51%,,,,,,,
11.06.2025,0.04134,0.04082,0.04144,0.04072,,1.17%,,,,,,,
10.06.2025,0.04086,0.04076,0.04092,0.04062,,0.25%,,,,,,,
09.06.2025,0.04076,0.04078,0.04102,0.04064,,-0.17%,,,,,,,
06.06.2025,0.04083,0.04068,0.04094,0.04055,,0.42%,,,,,,,
05.06.2025,0.04066,0.0406,0.04076,0.0404,,0.15%,,,,,,,
04.06.2025,0.0406,0.04105,0.04116,0.04047,,-1.10%,,,,,,,
03.06.2025,0.04105,0.04124,0.04139,0.04104,,-0.46%,,,,,,,
02.06.2025,0.04124,0.04116,0.04153,0.04105,,0.39%,,,,,,,
30.05.2025,0.04108,0.04087,0.04126,0.04078,,0.51%,,,,,,,
29.05.2025,0.04087,0.04111,0.04124,0.04069,,-0.61%,,,,,,,
28.05.2025,0.04112,0.04147,0.04156,0.041,,-0.77%,,,,,,,
27.05.2025,0.04144,0.04176,0.04193,0.04129,,-0.84%,,,,,,,
26.05.2025,0.04179,0.04239,0.04242,0.04169,,-1.02%,,,,,,,
23.05.2025,0.04222,0.04177,0.04245,0.04168,,0.96%,,,,,,,
22.05.2025,0.04182,0.04158,0.04188,0.04134,,0.55%,,,,,,,
21.05.2025,0.04159,0.04131,0.0417,0.04124,,1.02%,,,,,,,
20.05.2025,0.04117,0.0413,0.04144,0.04108,,-0.29%,,,,,,,
19.05.2025,0.04129,0.04159,0.04167,0.04126,,-0.67%,,,,,,,
16.05.2025,0.04157,0.04158,0.0417,0.04135,,0.00%,,,,,,,
15.05.2025,0.04157,0.04157,0.04165,0.0413,,0.00%,,,,,,,
14.05.2025,0.04157,0.0417,0.04183,0.0414,,-0.31%,,,,,,,
13.05.2025,0.0417,0.04209,0.04226,0.04169,,-0.74%,,,,,,,
12.05.2025,0.04201,0.04159,0.04212,0.04139,,1.06%,,,,,,,
09.05.2025,0.04157,0.04177,0.0419,0.0414,,-0.48%,,,,,,,
08.05.2025,0.04177,0.0423,0.0424,0.04171,,-1.25%,,,,,,,
07.05.2025,0.0423,0.04263,0.04266,0.04225,,-1.05%,,,,,,,
06.05.2025,0.04275,0.04288,0.04299,0.04256,,-0.30%,,,,,,,
05.05.2025,0.04288,0.04245,0.04319,0.04245,,1.01%,,,,,,,
02.05.2025,0.04245,0.04276,0.04326,0.04237,,-0.72%,,,,,,,
01.05.2025,0.04276,0.04295,0.04308,0.04257,,-0.44%,,,,,,,
30.04.2025,0.04295,0.04252,0.04331,0.04245,,1.01%,,,,,,,
29.04.2025,0.04252,0.04248,0.04265,0.04229,,0.12%,,,,,,,
28.04.2025,0.04247,0.0424,0.04281,0.04234,,0.12%,,,,,,,
25.04.2025,0.04242,0.04243,0.04263,0.04217,,0.00%,,,,,,,
24.04.2025,0.04242,0.04276,0.04292,0.04236,,-0.80%,,,,,,,
23.04.2025,0.04276,0.04341,0.04349,0.04257,,-1.50%,,,,,,,
22.04.2025,0.04341,0.04362,0.04387,0.04331,,-0.26%,,,,,,,
21.04.2025,0.04352,0.04313,0.04388,0.04307,,1.02%,,,,,,,
18.04.2025,0.04308,0.04316,0.04327,0.04295,,0.03%,,,,,,,
17.04.2025,0.04307,0.04308,0.04335,0.043,,0.14%,,,,,,,
16.04.2025,0.04301,0.04301,0.04321,0.04287,,0.16%,,,,,,,
15.04.2025,0.04294,0.04279,0.04318,0.04274,,0.66%,,,,,,,
14.04.2025,0.04266,0.04314,0.04328,0.0427,,-0.98%,,,,,,,
11.04.2025,0.04308,0.04356,0.04373,0.04295,,-0.90%,,,,,,,
10.04.2025,0.04347,0.04315,0.04396,0.04314,,0.67%,,,,,,,
09.04.2025,0.04318,0.04381,0.04432,0.04319,,-1.35%,,,,,,,
08.04.2025,0.04377,0.04398,0.04407,0.04346,,-0.24%,,,,,,,
07.04.2025,0.04388,0.04377,0.04443,0.04339,,0.63%,,,,,,,
04.04.2025,0.04361,0.04341,0.04385,0.04331,,0.80%,,,,,,,
03.04.2025,0.04326,0.04344,0.04367,0.04315,,-0.32%,,,,,,,
02.04.2025,0.0434,0.04319,0.04349,0.043,,0.60%,,,,,,,
01.04.2025,0.04314,0.0436,0.04367,0.04307,,-0.89%,,,,,,,
31.03.2025,0.04353,0.04318,0.04377,0.04309,,0.95%,,,,,,,
28.03.2025,0.04312,0.04289,0.0433,0.04276,,0.57%,,,,,,,
27.03.2025,0.04287,0.04312,0.04331,0.04274,,-0.23%,,,,,,,
26.03.2025,0.04297,0.04279,0.04325,0.04254,,0.69%,,,,,,,
