Date,Price,Open,High,Low,Vol.,Change %,,,,,,,
08/01/2025,"13,796.83","13,905.81","13,905.81","13,742.09",,-1.60%,,,,,,,
07/31/2025,"14,020.46","14,214.24","14,214.24","13,994.51",,-0.36%,,,,,,,
07/30/2025,"14,071.34","14,111.87","14,145.56","14,013.16",,-0.12%,,,,,,,
07/29/2025,"14,088.86","14,165.72","14,172.88","14,073.57",,-0.30%,,,,,,,
07/28/2025,"14,130.61","14,148.13","14,155.33","14,099.93",,0.02%,,,,,,,
07/25/2025,"14,128.12","14,086.92","14,143.83","14,083.65",,0.40%,,,,,,,
07/24/2025,"14,071.45","14,083.06","14,110.69","14,065.50",,0.07%,,,,,,,
07/23/2025,"14,061.52","13,990.73","14,062.92","13,969.92",,0.78%,,,,,,,
07/22/2025,"13,952.35","13,945.67","13,966.60","13,890.64",,0.07%,,,,,,,
07/21/2025,"13,943.16","13,941.27","14,010.57","13,939.18",,0.14%,,,,,,,
07/18/2025,"13,923.35","13,959.08","13,963.53","13,897.88",,0.00%,,,,,,,S&P 500 (TR) (^SP500TR)
07/17/2025,"13,923.75","13,848.67","13,939.86","13,846.55",,0.54%,,,,,,,
07/16/2025,"13,849.17","13,828.84","13,858.92","13,712.20",,0.32%,,,,,,,https://www.investing.com/indices/s-p-500-tr
07/15/2025,"13,805.08","13,919.03","13,933.24","13,802.46",,-0.39%,,,,,,,
07/14/2025,"13,858.62","13,828.96","13,868.99","13,794.61",,0.14%,,,,,,,
07/11/2025,"13,839.11","13,830.11","13,860.54","13,790.42",,-0.33%,,,,,,,
07/10/2025,"13,884.89","13,854.71","13,906.47","13,821.03",,0.29%,,,,,,,
07/09/2025,"13,844.92","13,800.85","13,857.94","13,774.78",,0.61%,,,,,,,
07/08/2025,"13,761.33","13,780.13","13,799.01","13,744.15",,-0.07%,,,,,,,
07/07/2025,"13,771.11","13,835.35","13,842.04","13,707.33",,-0.78%,,,,,,,
07/03/2025,"13,879.98","13,807.29","13,891.70","13,807.29",,0.85%,,,,,,,
07/02/2025,"13,763.04","13,688.92","13,763.13","13,677.39",,0.48%,,,,,,,
07/01/2025,"13,697.68","13,673.90","13,725.65","13,653.40",,-0.11%,,,,,,,
06/30/2025,"13,712.71","13,687.10","13,735.01","13,646.56",,0.52%,,,,,,,
06/27/2025,"13,641.10","13,591.66","13,673.30","13,551.11",,0.53%,,,,,,,
06/26/2025,"13,569.29","13,505.38","13,581.44","13,495.27",,0.80%,,,,,,,
06/25/2025,"13,461.17","13,487.84","13,497.28","13,435.39",,0.00%,,,,,,,
06/24/2025,"13,461.10","13,392.67","13,482.26","13,388.89",,1.11%,,,,,,,
06/23/2025,"13,312.75","13,190.11","13,320.20","13,131.84",,0.96%,,,,,,,
06/20/2025,"13,185.84","13,256.17","13,296.80","13,152.70",,-0.21%,,,,,,,
06/18/2025,"13,213.88","13,229.49","13,296.37","13,197.00",,-0.03%,,,,,,,
06/17/2025,"13,217.52","13,282.54","13,306.92","13,200.16",,-0.83%,,,,,,,
06/16/2025,"13,328.43","13,264.14","13,367.58","13,264.14",,0.96%,,,,,,,
06/13/2025,"13,202.26","13,254.36","13,310.77","13,171.88",,-1.11%,,,,,,,
06/12/2025,"13,350.85","13,272.78","13,350.85","13,259.48",,0.38%,,,,,,,
06/11/2025,"13,299.87","13,359.81","13,381.77","13,255.87",,-0.27%,,,,,,,
06/10/2025,"13,336.29","13,272.48","13,345.53","13,252.27",,0.55%,,,,,,,
06/09/2025,"13,263.13","13,260.37","13,297.02","13,237.43",,0.10%,,,,,,,
06/06/2025,"13,249.81","13,220.46","13,286.28","13,202.26",,1.04%,,,,,,,
06/05/2025,"13,113.47","13,215.85","13,246.59","13,073.86",,-0.52%,,,,,,,
06/04/2025,"13,181.97","13,199.90","13,224.90","13,171.96",,0.01%,,,,,,,
06/03/2025,"13,180.45","13,110.23","13,204.57","13,089.51",,0.58%,,,,,,,
06/02/2025,"13,104.24","13,017.59","13,105.76","12,939.77",,0.42%,,,,,,,
05/30/2025,"13,049.13","13,031.43","13,071.90","12,900.12",,0.00%,,,,,,,
05/29/2025,"13,049.01","13,110.34","13,117.33","12,964.77",,0.40%,,,,,,,
05/28/2025,"12,996.67","13,078.30","13,109.10","12,982.46",,-0.56%,,,,,,,
05/27/2025,"13,069.32","12,920.43","13,074.73","12,920.43",,2.05%,,,,,,,
05/23/2025,"12,806.24","12,760.06","12,865.14","12,730.50",,-0.66%,,,,,,,
05/22/2025,"12,891.95","12,890.30","12,971.46","12,857.35",,-0.04%,,,,,,,
05/21/2025,"12,897.42","13,042.10","13,104.29","12,867.30",,-1.61%,,,,,,,
05/20/2025,"13,108.52","13,117.78","13,136.29","13,041.97",,-0.39%,,,,,,,
05/19/2025,"13,159.31","13,025.33","13,170.27","13,010.09",,0.10%,,,,,,,
05/16/2025,"13,145.88","13,081.28","13,145.88","13,033.42",,0.71%,,,,,,,
05/15/2025,"13,052.72","12,948.84","13,068.59","12,938.72",,0.44%,,,,,,,
05/14/2025,"12,995.78","13,004.95","13,025.88","12,951.25",,0.11%,,,,,,,
05/13/2025,"12,981.89","12,910.42","13,026.15","12,891.07",,0.73%,,,,,,,
05/12/2025,"12,888.13","12,806.57","12,890.20","12,761.84",,3.27%,,,,,,,
05/09/2025,"12,480.31","12,523.82","12,550.18","12,446.04",,-0.05%,,,,,,,
05/08/2025,"12,487.00","12,486.26","12,610.79","12,424.18",,0.58%,,,,,,,
05/07/2025,"12,414.98","12,377.27","12,464.35","12,299.82",,0.44%,,,,,,,
05/06/2025,"12,361.16","12,358.86","12,455.24","12,315.29",,-0.77%,,,,,,,
05/05/2025,"12,456.84","12,467.71","12,529.34","12,421.78",,-0.63%,,,,,,,
05/02/2025,"12,536.20","12,446.27","12,567.09","12,438.33",,1.48%,,,,,,,
05/01/2025,"12,353.87","12,400.17","12,474.37","12,340.65",,0.63%,,,,,,,
04/30/2025,"12,276.39","12,122.92","12,303.55","11,977.39",,0.16%,,,,,,,
04/29/2025,"12,257.27","12,142.75","12,281.38","12,136.84",,0.58%,,,,,,,
04/28/2025,"12,186.52","12,187.56","12,241.06","12,054.46",,0.07%,,,,,,,
04/25/2025,"12,178.49","12,100.29","12,184.80","12,025.87",,2.78%,,,,,,,
04/23/2025,"11,849.25","11,893.46","12,056.06","11,805.85",,4.22%,,,,,,,
04/21/2025,"11,368.98","11,533.70","11,533.70","11,244.36",,-2.35%,,,,,,,
04/17/2025,"11,642.40","11,692.53","11,742.78","11,583.08",,0.13%,,,,,,,
04/16/2025,"11,626.79","11,759.13","11,827.58","11,505.84",,-2.24%,,,,,,,
