"נתונים היסטוריים - סוף יום ת""א-SME60",,,,,,
מתאריך 01/01/2010  עד תאריך 04/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,1104.12,1104.67,1105.77,1110.08,1102.18,
30/07/2025,1116.55,1115.89,1104.12,1116.01,1101.81,79758993
29/07/2025,1117.05,1118.02,1116.55,1121.85,1113.82,80790837
28/07/2025,1118.55,1119.73,1117.05,1125.86,1106.2,80826736
27/07/2025,1128.2,1133.21,1118.55,1133.4,1115.89,81061938
24/07/2025,1126.13,1127.9,1128.2,1133.3,1123.83,81650734
23/07/2025,1115.88,1116.89,1126.13,1127.33,1116.89,81388997
22/07/2025,1109.01,1109.2,1115.88,1119.07,1105.78,80441584
21/07/2025,1105.51,1104.96,1109.01,1109.01,1101.37,79870408
20/07/2025,1103.99,1100.21,1105.51,1109.22,1099.55,79478235
17/07/2025,1084.41,1090.15,1103.99,1103.99,1090.15,79248913
16/07/2025,1083.91,1081.76,1084.41,1088.85,1079.47,77908944
15/07/2025,1072.38,1074.57,1083.91,1086.18,1074.57,77914651
14/07/2025,1078.6,1077.9,1072.38,1078.84,1062.7,77144058
13/07/2025,1104.45,1103.96,1078.6,1103.96,1073.99,77674201
10/07/2025,1101.13,1101.69,1104.45,1104.45,1096.29,79578477
09/07/2025,1085.45,1089.03,1101.13,1101.13,1089.03,79049481
08/07/2025,1102.86,1097.6,1085.45,1098.09,1078.43,77925986
07/07/2025,1097.43,1100.44,1102.86,1108.27,1097.77,79212418
06/07/2025,1097.71,1098.14,1097.43,1106.8,1092.78,78784818
03/07/2025,1091.01,1093.13,1097.71,1102.83,1091.69,78732319
02/07/2025,1082.14,1083.36,1091.01,1091.01,1080.24,78377123
01/07/2025,1067.47,1067.93,1082.14,1084.68,1063.35,77730540
30/06/2025,1063.57,1065.65,1067.47,1067.47,1058.92,76700906
29/06/2025,1042.69,1040.49,1063.57,1063.57,1040.31,76370075
26/06/2025,1037.46,1039.15,1042.69,1046.59,1035.44,74884266
25/06/2025,1017.91,1023.83,1037.46,1037.46,1023.65,74385145
24/06/2025,1001.55,1011.27,1017.91,1025.59,1011.27,73225210
23/06/2025,1012.53,1011.58,1001.55,1012.39,1001.55,72085205
22/06/2025,999.96,1001.45,1012.53,1020.92,1001.01,72905545
19/06/2025,991.43,991.89,999.96,1000.94,991.72,71952277
18/06/2025,984.34,986.77,991.43,991.43,983.12,71319411
17/06/2025,972.22,973.89,984.34,984.34,972.47,70493238
16/06/2025,942.55,942.97,972.22,972.22,942.97,69551315
15/06/2025,934.97,927.67,942.55,946.4,923.85,67116678
12/06/2025,954.69,952.73,934.97,952.73,927.65,66633469
11/06/2025,951.08,951.3,954.69,956.1,949.05,68209655
10/06/2025,952.47,952.79,951.08,954.75,948.02,68048965
09/06/2025,959.39,958.26,952.47,959.03,949.03,68239844
08/06/2025,960.57,960.51,959.39,967.15,952.64,68720144
05/06/2025,958.58,959.5,960.57,962.2,955.66,68881650
04/06/2025,963.43,963.53,958.58,964.51,956.52,68831846
03/06/2025,964.1,966.43,963.43,971.9,962.61,69018385
29/05/2025,970.97,974.16,964.1,979.02,963.03,69091181
28/05/2025,967.43,967.76,970.97,973.56,965.6,69411191
27/05/2025,968.4,970.81,967.43,971.77,965.98,69248540
26/05/2025,953.27,955.88,968.4,970.52,955.87,69201531
25/05/2025,949.05,949.4,953.27,953.51,947.67,68153609
22/05/2025,961.78,960.05,949.05,960.79,945,67717091
21/05/2025,970.46,969.7,961.78,969.81,955.16,68658457
20/05/2025,982.33,982.63,970.46,985.05,970.19,69363823
19/05/2025,990.11,989.97,982.33,989.98,978.7,70099248
18/05/2025,975.4,982.62,990.11,990.11,976.5,70539565
15/05/2025,978.13,980.07,975.4,980.67,973.89,69651299
14/05/2025,956.93,962.29,978.13,979.85,962.18,69706304
13/05/2025,951.04,955.99,956.93,958.55,948.94,68216728
12/05/2025,954.73,960.74,951.04,965.45,950.81,67807358
11/05/2025,948.55,949.79,954.73,955.42,949.31,67840067
08/05/2025,938.01,941.99,948.55,954.93,941.97,67456747
07/05/2025,921.03,919.58,938.01,938.01,919.58,66742405
06/05/2025,925.47,925.21,921.03,929.57,921.03,65589160
05/05/2025,924.71,924.22,925.47,928.65,919.96,65164824
04/05/2025,920.69,923.46,924.71,928.17,923.36,65058803
29/04/2025,920.36,921.12,920.69,922.33,917.26,64896497
28/04/2025,921.71,921.71,920.36,923.22,915.7,64700381
27/04/2025,921.3,925.77,921.71,927.94,919.65,64931916
24/04/2025,925.99,925.46,921.3,926.27,916.31,64919393
23/04/2025,911.59,915.37,925.99,928.1,915.37,65187912
22/04/2025,908.99,909.82,911.59,914.39,904.62,64264878
21/04/2025,920.58,922.02,908.99,922.02,906.74,63958077
20/04/2025,910.53,914.79,920.58,920.58,910.79,64755543
17/04/2025,907.7,911.78,910.53,913.97,905.23,64036084
16/04/2025,903.29,903.65,907.7,908.2,895.06,64019493
15/04/2025,898.05,898.77,903.29,905.15,898.56,63761820
14/04/2025,878.85,883.24,898.05,898.05,883.24,63428332
10/04/2025,849.17,873.96,878.85,886.58,872.46,62079501
09/04/2025,862.06,857.7,849.17,857.72,844.19,60053353
08/04/2025,847.89,849.85,862.06,865.61,849.85,60992314
07/04/2025,850.3,844.05,847.89,851.12,817.19,59847720
06/04/2025,887.77,867.36,850.3,867.36,847.67,60356216
03/04/2025,903.32,898.97,887.77,899.5,886.65,63112173
02/04/2025,899.38,900.35,903.32,906.12,899.81,64159418
01/04/2025,884.71,889.36,899.38,903.2,888.3,63874017
31/03/2025,897.17,897.84,884.71,898.21,882.09,62726785
30/03/2025,904.73,900.43,897.17,902.11,889.15,63552745
27/03/2025,898.59,899.17,904.73,907.12,895.72,64131124
26/03/2025,907.35,906.33,898.59,908.71,897.31,63654001
25/03/2025,892.2,895.52,907.35,909.01,892.3,64044562
24/03/2025,875.22,877.25,892.2,893.37,877.25,63032503
23/03/2025,916.29,919.49,875.22,919.49,874.74,62051136
20/03/2025,921.73,923.39,916.29,928.11,909.81,65021937
19/03/2025,927.26,928.99,921.73,929.83,919.66,65577888
18/03/2025,941.08,942.37,927.26,942.92,926.28,66027173
17/03/2025,954.22,957.06,941.08,957.39,940.02,66930265
16/03/2025,941.64,945.53,954.22,955.18,945.38,67807190
13/03/2025,945.06,945.52,941.64,950.2,940.91,66991894
12/03/2025,928.64,930.6,945.06,947.88,930.4,66891163
11/03/2025,936.3,936.91,928.64,936.91,914.99,65859109
10/03/2025,952.38,952.55,936.3,956.07,933.37,66553347
09/03/2025,945.75,943.77,952.38,954.98,943.65,67422855
