"נתונים היסטוריים - סוף יום ת""א-125",,,,,,
מתאריך 01/01/2010  עד תאריך 04/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,3086.74,3093.36,3080.29,3102.96,3078.36,
30/07/2025,3105.01,3100.88,3086.74,3105.44,3075.52,1307759802
29/07/2025,3104.81,3096.24,3105.01,3115.43,3093.08,1314696727
28/07/2025,3085.37,3092.78,3104.81,3113.08,3083.33,1315490300
27/07/2025,3115.02,3110.08,3085.37,3114.85,3085.37,1309970567
24/07/2025,3152.46,3125.39,3115.02,3147.15,3111.53,1322622955
23/07/2025,3116.1,3137.91,3152.46,3156.35,3127.5,1334545712
22/07/2025,3117.36,3112.81,3116.1,3131.43,3105.87,1318116707
21/07/2025,3088.67,3086.68,3117.36,3117.36,3077.2,1319704779
20/07/2025,3087.84,3100.38,3088.67,3103.2,3076.81,1307724408
17/07/2025,3063.98,3076.35,3087.84,3098.95,3076.35,1308049588
16/07/2025,3073.62,3060.75,3063.98,3090.03,3057.73,1299314225
15/07/2025,3053.77,3047.12,3073.62,3088.29,3046.63,1302901337
14/07/2025,3051.4,3048.74,3053.77,3056.37,3024.04,1293820111
13/07/2025,3124.22,3089.06,3051.4,3093.91,3051.4,1294579043
10/07/2025,3130.84,3125.33,3124.22,3138.18,3114.5,1324925266
09/07/2025,3078.79,3078.47,3130.84,3130.86,3078.47,1326997511
08/07/2025,3097.79,3087.31,3078.79,3089.05,3047.7,1304432387
07/07/2025,3113.66,3110.39,3097.79,3125.23,3084.62,1313369994
06/07/2025,3106.8,3122.59,3113.66,3122.59,3102.2,1320430891
03/07/2025,3078.71,3095.85,3106.8,3128.64,3088.45,1317485675
02/07/2025,3025.03,3030.93,3078.71,3079.46,3030.28,1307834909
01/07/2025,3022.5,3020.68,3025.03,3053.56,3013.04,1284295709
30/06/2025,3012.44,3015.52,3022.5,3022.5,3000.87,1282262099
29/06/2025,2952.41,2966.47,3012.44,3012.44,2962.52,1277765981
26/06/2025,2973.48,2945.48,2952.41,2976.34,2938.27,1250175547
25/06/2025,2923.36,2921.94,2973.48,2979.3,2911.68,1259285181
