נתונים היסטוריים - סוף יום תל בונד 60 צמודות,,,,,,
מתאריך 01/01/2010  עד תאריך 04/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,402.91,402.95,403.35,403.52,402.95,
30/07/2025,402.75,402.76,402.91,403.11,402.7,156663005
29/07/2025,403.06,403.07,402.75,403.1,402.59,158081475
28/07/2025,403.72,403.69,403.06,403.69,402.82,158222012
27/07/2025,404.28,403.54,403.72,404.12,403.54,158479036
24/07/2025,404.25,404.24,404.28,404.44,403.97,157989880
23/07/2025,404.55,404.57,404.25,404.78,404.24,158159015
22/07/2025,404.6,404.61,404.55,404.65,404.28,158269969
21/07/2025,403.97,404.07,404.6,404.73,404.07,158290824
20/07/2025,403.59,403.68,403.97,404.07,403.62,158043110
17/07/2025,402.83,402.79,403.59,403.59,402.78,157890574
16/07/2025,402.68,402.68,402.83,403.06,402.65,157591691
15/07/2025,402.45,402.46,402.68,402.85,402.44,157537709
14/07/2025,402.53,402.51,402.45,402.53,402.1,157459465
13/07/2025,402.99,402.93,402.53,402.95,402.46,157493751
10/07/2025,402.57,402.6,402.99,403.1,402.6,157677817
09/07/2025,401.98,401.99,402.57,402.57,399.45,157509657
08/07/2025,402.31,402.37,401.98,402.37,401.57,157284626
07/07/2025,402.6,402.66,402.31,402.73,402.24,157414458
06/07/2025,401.94,401.94,402.6,402.76,401.94,155528367
03/07/2025,401.04,401.06,401.94,402,401.02,155276205
02/07/2025,401.7,401.62,401.04,401.63,400.82,154932801
01/07/2025,401.51,401.56,401.7,402.12,401.49,155181945
30/06/2025,400.91,400.92,401.51,401.73,400.91,155112784
29/06/2025,400.19,400.26,400.91,401.02,400.21,154879294
26/06/2025,400,399.97,400.19,400.4,399.75,154595816
25/06/2025,399.61,399.63,400,400.1,399.63,153645416
24/06/2025,398.64,398.87,399.61,399.62,398.87,153680453
23/06/2025,397.63,397.77,398.64,398.64,397.76,153514521
22/06/2025,395.75,395.84,397.63,397.63,395.84,154705191
19/06/2025,394.92,394.94,395.75,395.75,394.92,153983201
18/06/2025,394.6,394.59,394.92,394.92,394.5,153664417
17/06/2025,393.57,393.69,394.6,394.6,393.67,153541608
16/06/2025,392.87,392.83,393.57,393.58,392.76,153679100
15/06/2025,392.8,392.33,392.87,392.87,392.05,153417331
12/06/2025,393.91,393.86,392.8,393.86,392.62,153391654
11/06/2025,394.15,394.11,393.91,394.2,393.91,153822401
10/06/2025,394.09,394.1,394.15,394.35,393.84,153910962
09/06/2025,394.32,394.55,394.09,394.55,394.09,153887757
08/06/2025,394.8,394.68,394.32,394.68,394.32,153974983
05/06/2025,394.36,394.48,394.8,394.86,394.43,154160053
04/06/2025,394.32,394.42,394.36,394.66,394.33,153736332
03/06/2025,394.59,394.67,394.32,395,394.27,154677152
29/05/2025,394.76,394.79,394.59,395.06,394.51,154783031
28/05/2025,394.49,394.49,394.76,394.76,394.39,154846309
27/05/2025,394.02,394.01,394.49,394.49,394.01,154849996
26/05/2025,393.38,393.4,394.02,394.03,393.4,154672925
25/05/2025,392.99,393.05,393.38,393.47,393.05,152601520
22/05/2025,392.96,393.01,392.99,393.08,392.71,152465295
21/05/2025,393.68,393.42,392.96,393.63,392.96,152568928
20/05/2025,394.63,394.58,393.68,394.7,393.54,152845291
19/05/2025,395,395.03,394.63,395.1,394.49,153211205
18/05/2025,393.23,393.93,395,395,393.93,153353569
15/05/2025,393.26,393.27,393.23,393.5,393.22,152767282
14/05/2025,393.04,393.1,393.26,393.38,393.1,152779073
13/05/2025,392.94,392.98,393.04,393.23,392.94,152692488
12/05/2025,392.38,392.44,392.94,393.05,392.38,152652016
11/05/2025,392.64,392.65,392.38,392.8,392.38,152440624
08/05/2025,391.96,391.96,392.64,392.77,391.96,152537577
07/05/2025,391.96,391.95,391.96,392.26,391.92,152276808
06/05/2025,392.14,392.18,391.96,392.35,391.9,152275433
05/05/2025,392.51,392.55,392.14,392.86,392.1,152347688
04/05/2025,392.96,392.89,392.51,392.95,392.44,152490207
29/04/2025,392.19,392.26,392.96,393.11,392.26,152668280
28/04/2025,392.09,392.04,392.19,392.68,391.97,152371051
27/04/2025,391.36,391.44,392.09,392.21,391.44,151977875
24/04/2025,391.22,391.23,391.36,391.53,391.17,151692585
23/04/2025,390.13,390.16,391.22,391.22,390.16,151627527
22/04/2025,389.67,389.79,390.13,390.16,389.63,151210074
21/04/2025,390.27,390.3,389.67,390.31,389.67,151027945
20/04/2025,390.19,390.2,390.27,390.42,390.17,151255559
17/04/2025,389.96,389.99,390.19,390.55,389.95,151256204
16/04/2025,388.87,388.91,389.96,390.17,388.88,151247841
15/04/2025,387.5,387.82,388.87,388.89,387.56,150823734
14/04/2025,386.32,386.32,387.5,387.5,386.32,150297833
10/04/2025,384.91,385.15,386.32,387.11,385.15,149847240
09/04/2025,386.91,386.57,384.91,386.57,384.46,149298530
08/04/2025,387.38,387.44,386.91,388.01,386.69,150061857
07/04/2025,390.25,390.09,387.38,390.09,386.56,150243654
06/04/2025,391.7,391.58,390.25,391.58,390.15,151355535
03/04/2025,391.05,391.09,391.7,391.72,391.09,151926819
02/04/2025,390.76,390.77,391.05,391.15,390.76,151677610
01/04/2025,390.38,390.38,390.76,390.92,390.38,151563949
31/03/2025,390.4,390.38,390.38,390.56,390.27,151420241
30/03/2025,390.16,390.15,390.4,390.74,390.15,151426213
27/03/2025,390.55,390.44,390.16,390.59,389.92,151429258
26/03/2025,391.17,391.17,390.55,391.32,390.55,151875916
25/03/2025,391.34,391.32,391.17,391.4,390.88,152106900
24/03/2025,390.96,390.84,391.34,391.34,390.71,152169314
23/03/2025,392.89,392.89,390.96,392.89,390.74,152042692
20/03/2025,392.74,392.88,392.89,392.96,392.69,152790307
19/03/2025,393,393.03,392.74,393.12,392.67,152929431
18/03/2025,392.98,393.09,393,393.09,392.85,153026307
17/03/2025,393.23,393.29,392.98,393.42,392.97,153013787
16/03/2025,393.22,393.35,393.23,393.61,393.23,153114181
13/03/2025,393.28,393.44,393.22,393.52,393.01,153102561
12/03/2025,393.12,393.14,393.28,393.32,393.09,153119930
11/03/2025,393.51,393.53,393.12,393.54,392.97,153451106
10/03/2025,393.92,394,393.51,394.07,393.41,153605631
09/03/2025,393.67,393.74,393.92,394.14,393.72,153765112
06/03/2025,393.84,393.83,393.67,393.87,393.44,153669667
05/03/2025,394.09,394.08,393.84,394.38,393.84,153736368
04/03/2025,394.52,394.55,394.09,394.77,394.07,153835293
03/03/2025,394.4,394.42,394.52,394.74,394.32,153998834
02/03/2025,393.83,393.92,394.4,394.44,393.88,153953363
27/02/2025,393.81,393.78,393.83,394.19,393.7,153731675
26/02/2025,393.8,393.84,393.81,394.05,393.73,153730724
25/02/2025,394.1,394.14,393.8,394.4,393.74,152717256
24/02/2025,394.25,394.25,394.1,394.37,393.91,152821342
23/02/2025,394.39,394.39,394.25,394.51,394.21,152872245
20/02/2025,393.94,393.9,394.39,394.42,393.9,152918289
19/02/2025,394.1,394.15,393.94,394.29,393.94,154924558
18/02/2025,393.83,393.85,394.1,394.36,393.85,154988528
17/02/2025,393.49,393.55,393.83,394.1,393.52,154880109
16/02/2025,393.09,393.13,393.49,393.75,393.12,154747185
13/02/2025,392.16,392.19,393.09,393.1,392.19,154580305
12/02/2025,392.85,392.79,392.16,392.95,392,154827235
11/02/2025,392.96,392.95,392.85,393.1,392.71,155093935
10/02/2025,392.81,392.89,392.96,392.96,392.81,155138319
09/02/2025,393.15,393.14,392.81,393.15,392.68,155079069
06/02/2025,392.68,392.73,393.15,393.19,392.73,155211496
05/02/2025,391.3,391.27,392.68,392.91,391.27,155288127
04/02/2025,390.49,390.51,391.3,391.3,390.42,154727896
03/02/2025,390.4,390.36,390.49,390.49,390.25,154408488
02/02/2025,389.76,389.75,390.4,390.4,389.58,154369184
30/01/2025,389.48,389.52,389.76,390.27,389.45,154118211
29/01/2025,389.01,389.06,389.48,389.66,389.06,154002150
28/01/2025,389.03,389,389.01,389.23,388.9,149763538
27/01/2025,389.42,389.37,389.03,389.7,388.98,149768380
26/01/2025,390.04,389.98,389.42,390.08,389.15,149920071
23/01/2025,390.36,390.37,390.04,390.45,389.89,150155113
22/01/2025,390.4,390.33,390.36,390.58,390.2,149082766
21/01/2025,390.8,390.8,390.4,391.03,390.35,149097376
20/01/2025,391.74,391.73,390.8,391.82,390.8,149251583
19/01/2025,391.34,391.36,391.74,391.8,391.34,149609090
16/01/2025,391.02,391.13,391.34,391.43,391.12,149456117
15/01/2025,390.58,390.6,391.02,391.06,390.52,149334353
14/01/2025,391,391.13,390.58,391.43,390.58,149164174
13/01/2025,391.06,391.01,391,391.06,390.75,149322406
12/01/2025,391.09,391.07,391.06,391.23,390.83,149346886
09/01/2025,390.63,390.47,391.09,391.28,390.47,149357576
08/01/2025,391.12,391.06,390.63,391.22,390.63,149182351
07/01/2025,391.01,391.06,391.12,391.4,391.03,149372087
06/01/2025,390.81,390.79,391.01,391.22,390.72,149329137
05/01/2025,390.47,390.47,390.81,390.81,390.4,149249576
02/01/2025,389.98,389.97,390.47,390.47,389.97,149121421
01/01/2025,389.34,389.36,389.98,389.98,389.25,148933864
31/12/2024,388.17,388.24,389.34,389.5,388.24,148688905
30/12/2024,388.19,388.04,388.17,388.63,387.91,148242511
29/12/2024,387.84,387.73,388.19,388.19,387.68,147863813
26/12/2024,387.98,387.96,387.84,388.15,387.64,148033394
25/12/2024,388.12,388.06,387.98,388.16,387.86,148141580
24/12/2024,387.1,387.12,388.12,388.12,387.12,148266293
