נתונים היסטוריים - סוף יום תל בונד-שקלי,,,,,,
מתאריך 01/01/2010  עד תאריך 04/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,431.66,431.75,432.09,432.21,431.75,
30/07/2025,431.78,431.82,431.66,431.97,431.66,123058798
29/07/2025,432.26,432.31,431.78,432.31,431.78,123340902
28/07/2025,433.23,433.15,432.26,433.16,432.19,123326567
27/07/2025,433.81,433.86,433.23,433.88,433.18,123599594
24/07/2025,433.65,433.66,433.81,433.81,433.38,123678617
23/07/2025,433.5,433.53,433.65,433.78,433.51,123847281
22/07/2025,433.63,433.64,433.5,433.69,433.38,123803185
21/07/2025,433.88,433.9,433.63,434.08,433.63,123841526
20/07/2025,433.91,433.88,433.88,434.08,433.85,123526513
17/07/2025,433.52,433.55,433.91,433.91,433.51,121732680
16/07/2025,433.91,433.84,433.52,433.84,433.3,121778687
15/07/2025,433.99,434.03,433.91,434.2,433.75,121891785
14/07/2025,434.35,434.37,433.99,434.37,433.83,121910766
13/07/2025,435.1,435,434.35,435.02,434.26,122016017
10/07/2025,434.88,434.78,435.1,435.4,434.76,122241173
09/07/2025,434.5,434.46,434.88,434.88,433.38,122039256
08/07/2025,434.94,434.92,434.5,434.92,434,121925783
07/07/2025,435.24,435.24,434.94,435.29,434.82,122180970
06/07/2025,434.34,434.44,435.24,435.24,433.77,122182503
03/07/2025,433.4,433.49,434.34,434.34,433.49,122129273
02/07/2025,433.28,433.34,433.4,433.41,433.02,121869389
01/07/2025,432.87,432.97,433.28,433.48,432.95,121841606
30/06/2025,431.57,431.63,432.87,433.09,431.63,121358357
29/06/2025,430.51,430.59,431.57,431.57,430.59,120987737
26/06/2025,430.51,430.22,430.51,430.99,430.15,120331770
25/06/2025,430.28,430.27,430.51,430.79,430.26,118111465
24/06/2025,430.15,430.31,430.28,430.82,430.2,118040140
23/06/2025,428.95,429.05,430.15,430.15,429.05,118047429
22/06/2025,427.56,427.63,428.95,428.95,427.63,119831788
19/06/2025,427.1,427.08,427.56,427.56,427.07,118475515
18/06/2025,426.98,426.96,427.1,427.1,426.74,117992617
17/06/2025,426.04,426.15,426.98,426.98,425.96,118113189
16/06/2025,425.1,425.11,426.04,426.14,425.1,118168006
15/06/2025,424.97,424.76,425.1,425.1,423.97,117895051
12/06/2025,425.96,425.98,424.97,425.98,424.65,118389109
11/06/2025,425.91,425.86,425.96,426.16,425.85,118430416
10/06/2025,425.87,425.83,425.91,426.12,425.74,118464159
09/06/2025,425.81,425.74,425.87,425.92,425.73,117947555
08/06/2025,426.03,425.82,425.81,425.97,425.69,117932317
05/06/2025,425.72,425.76,426.03,426.17,425.74,117997908
04/06/2025,425.65,425.56,425.72,425.76,425.45,117909825
03/06/2025,425.95,425.96,425.65,426.24,425.61,117888913
29/05/2025,425.6,425.57,425.95,426,425.56,117500744
28/05/2025,425.61,425.62,425.6,425.8,425.51,117528832
27/05/2025,425.47,425.47,425.61,425.82,425.47,117062316
26/05/2025,425.04,425.04,425.47,425.68,424.99,117020548
25/05/2025,424.9,424.92,425.04,425.13,424.9,115398393
22/05/2025,424.68,424.61,424.9,424.9,424.23,115405879
21/05/2025,425.37,425.26,424.68,425.3,424.62,114972532
20/05/2025,426.55,426.51,425.37,426.54,425.16,115161600
19/05/2025,427,426.79,426.55,426.95,426.21,115476358
18/05/2025,427.25,427.17,427,427.19,426.92,115600559
15/05/2025,427.17,427.14,427.25,427.25,427.04,115666069
14/05/2025,426.88,426.86,427.17,427.17,426.85,115644751
13/05/2025,426.86,426.87,426.88,427.24,426.72,115561204
12/05/2025,426.21,426.2,426.86,426.86,426.18,115554870
11/05/2025,426.17,426.18,426.21,426.46,426.11,115378293
08/05/2025,425.34,425.29,426.17,426.17,425.27,115014841
07/05/2025,424.69,424.76,425.34,425.34,424.76,114788808
06/05/2025,424.73,424.68,424.69,425.03,424.62,114613965
05/05/2025,424.72,424.78,424.73,425.07,424.73,114623777
04/05/2025,424.87,424.88,424.72,424.89,424.64,114621370
29/04/2025,424.39,424.36,424.87,424.99,424.35,114596005
28/04/2025,424.59,424.5,424.39,424.67,424.39,114511285
27/04/2025,424.4,424.44,424.59,425.07,424.44,113216876
24/04/2025,424.36,424.36,424.4,424.5,424.32,112849035
23/04/2025,423.5,423.51,424.36,424.36,423.51,112845565
22/04/2025,423.81,423.89,423.5,423.91,423.39,112867684
21/04/2025,424.65,424.64,423.81,424.66,423.76,112945873
20/04/2025,424.81,424.7,424.65,424.82,424.58,113168955
17/04/2025,424.63,424.71,424.81,424.93,424.66,113211059
16/04/2025,424.44,424.42,424.63,424.73,424.4,113222552
15/04/2025,423.03,423.05,424.44,424.44,423.05,113170001
14/04/2025,421.74,421.83,423.03,423.03,421.83,112794036
10/04/2025,420.21,420.57,421.74,422.23,420.57,112448464
09/04/2025,421.51,421.4,420.21,421.4,419.7,112050932
08/04/2025,421.51,421.57,421.51,422.31,421.39,112400318
07/04/2025,423.11,423.06,421.51,423.09,420.36,112399845
06/04/2025,423.98,423.93,423.11,423.93,423.07,112828343
03/04/2025,422.9,422.93,423.98,423.98,422.93,113105714
02/04/2025,422.38,422.41,422.9,422.9,422.41,112560355
01/04/2025,421.48,421.52,422.38,422.39,421.52,112549978
31/03/2025,420.94,420.95,421.48,421.51,420.74,112309245
30/03/2025,420.5,420.54,420.94,421.03,420.54,112167095
27/03/2025,421.27,421.12,420.5,421.12,420.49,112056453
26/03/2025,421.99,421.86,421.27,422.14,421.27,109890692
25/03/2025,421.98,421.92,421.99,421.99,421.34,110071728
24/03/2025,421.73,421.71,421.98,422.18,421.33,110146437
23/03/2025,423.96,424.01,421.73,424.02,421.42,110256503
20/03/2025,424.02,424.01,423.96,424.21,423.75,110917268
19/03/2025,424.61,424.62,424.02,424.76,423.88,110430958
18/03/2025,425.55,425.38,424.61,425.44,424.05,110594197
17/03/2025,425.49,425.48,425.55,425.63,425.4,111397670
16/03/2025,424.61,424.64,425.49,425.53,424.64,111379989
13/03/2025,424.49,424.5,424.61,424.77,424.46,111148879
12/03/2025,424.26,424.26,424.49,424.49,424.11,111116474
11/03/2025,424.68,424.69,424.26,424.69,424.16,111166930
10/03/2025,424.81,424.85,424.68,424.93,424.53,111276673
09/03/2025,424.29,424.3,424.81,424.81,424.29,111310888
06/03/2025,424.59,424.64,424.29,424.66,424.2,111375431
05/03/2025,424.62,424.54,424.59,424.81,424.53,111488405
04/03/2025,424.75,424.87,424.62,424.98,424.53,111497119
03/03/2025,424.63,424.7,424.75,425.07,424.65,111530895
02/03/2025,424,424.09,424.63,424.65,424.07,111499831
27/02/2025,424.09,424.15,424,424.47,423.94,111335315
26/02/2025,424.56,424.56,424.09,424.57,424.09,111359194
25/02/2025,425.05,425.03,424.56,425.18,424.54,110687235
24/02/2025,425.44,425.46,425.05,425.47,424.84,110813193
23/02/2025,425.86,425.88,425.44,425.95,425.41,110650549
20/02/2025,424.97,424.98,425.86,425.86,424.94,110755756
19/02/2025,424.99,424.96,424.97,425.07,424.78,111468793
18/02/2025,424.8,424.81,424.99,425.02,424.81,111476262
17/02/2025,424.91,424.92,424.8,424.97,424.66,111353333
16/02/2025,424.42,424.56,424.91,424.94,424.53,110834016
13/02/2025,423.82,423.83,424.42,424.42,423.82,110852863
12/02/2025,424.76,424.72,423.82,424.75,423.64,110526153
11/02/2025,424.66,424.66,424.76,424.76,424.43,110468389
10/02/2025,424.32,424.32,424.66,424.66,424.27,110446125
09/02/2025,424.61,424.56,424.32,424.56,424.31,110357293
06/02/2025,424.63,424.59,424.61,424.75,424.52,110433663
05/02/2025,423.42,423.36,424.63,424.65,423.34,110438379
04/02/2025,422.6,422.63,423.42,423.42,422.6,110120705
03/02/2025,422.16,422.15,422.6,422.6,422.1,109906404
02/02/2025,421.36,421.33,422.16,422.16,421.28,109834225
30/01/2025,420.5,420.57,421.36,421.42,420.57,109646999
29/01/2025,420.62,420.71,420.5,421.08,420.5,109425847
28/01/2025,421,421.01,420.62,421.11,420.62,109812217
27/01/2025,421.43,421.4,421,421.49,420.92,109609196
26/01/2025,422.26,422.21,421.43,422.23,421.17,109717759
23/01/2025,422.12,422.12,422.26,422.26,421.78,109929579
22/01/2025,422.11,422.11,422.12,422.39,421.96,110289327
21/01/2025,422.17,422.21,422.11,422.32,422.11,110286414
20/01/2025,422.2,422.21,422.17,422.41,422.06,110300907
19/01/2025,421.51,421.52,422.2,422.24,421.52,110309462
16/01/2025,420.95,421.08,421.51,421.81,421.08,109706667
15/01/2025,420.36,420.42,420.95,420.98,420.21,109664117
14/01/2025,420.51,420.59,420.36,420.88,420.17,109089942
13/01/2025,421.03,420.97,420.51,421,420.34,109127552
12/01/2025,421.58,421.56,421.03,421.56,420.95,109262841
09/01/2025,421.53,421.63,421.58,421.75,421.46,109407499
08/01/2025,421.49,421.48,421.53,421.69,420.99,109392728
07/01/2025,421.7,421.72,421.49,421.83,421.4,109516434
06/01/2025,420.9,420.89,421.7,421.7,420.87,109574359
05/01/2025,420.66,420.69,420.9,420.93,420.66,109413970
02/01/2025,420.5,420.56,420.66,420.88,420.53,109347850
01/01/2025,420,419.97,420.5,420.5,419.81,109414194
31/12/2024,419.08,419.12,420,420,419.11,109281955
30/12/2024,419.19,419.13,419.08,419.64,418.93,109042493
29/12/2024,418.85,418.74,419.19,419.2,418.64,108343182
26/12/2024,419.17,419.05,418.85,419.09,418.55,108562987
25/12/2024,419.04,419.02,419.17,419.17,418.74,108817320
24/12/2024,418.42,418.26,419.04,419.04,418.25,108402462
23/12/2024,418.3,418.26,418.42,418.42,417.89,109604739
22/12/2024,418.19,418.17,418.3,418.39,418.12,109696576
19/12/2024,418.89,418.8,418.19,418.8,417.94,109669501
18/12/2024,418.38,418.33,418.89,418.89,418.3,109878226
17/12/2024,418.33,418.33,418.38,418.39,417.99,110120550
16/12/2024,417.95,418.02,418.33,418.77,418.01,110104128
15/12/2024,418.6,418.53,417.95,418.53,417.84,110003791
12/12/2024,418.57,418.57,418.6,418.63,418.27,110173036
11/12/2024,418.3,418.29,418.57,418.57,418.24,110275157
10/12/2024,417.92,417.92,418.3,418.3,417.83,110249105
09/12/2024,416.47,416.49,417.92,417.92,416.46,109823868
08/12/2024,415.66,415.69,416.47,416.62,415.68,109444114
05/12/2024,415.34,415.22,415.66,415.91,415.21,108546853
04/12/2024,415.57,415.6,415.34,415.73,415.15,108458265
03/12/2024,415.94,415.91,415.57,415.93,415.4,108517796
02/12/2024,415.75,415.68,415.94,416.14,415.61,108691499
01/12/2024,415.16,415.17,415.75,416.07,415.17,108852229
28/11/2024,414.76,414.79,415.16,415.26,414.79,108695252
27/11/2024,415.26,415.27,414.76,415.46,414.76,108986441
26/11/2024,415.66,415.68,415.26,415.75,415.19,106319093
25/11/2024,414.84,414.94,415.66,415.77,414.93,106318700
24/11/2024,414.39,414.42,414.84,414.84,414.4,106290483
21/11/2024,413.99,413.94,414.39,414.4,413.93,106293068
20/11/2024,413.68,413.71,413.99,414,413.7,106425572
19/11/2024,413.25,413.33,413.68,414.09,413.18,106346478
18/11/2024,411.96,411.97,413.25,413.25,411.91,106235643
17/11/2024,411.39,411.33,411.96,411.96,411.33,106455908
14/11/2024,411.33,411.29,411.39,411.47,411.18,106314941
13/11/2024,410.93,410.96,411.33,411.47,410.93,106299265
12/11/2024,410.75,410.74,410.93,411.06,410.72,106196636
11/11/2024,410.7,410.68,410.75,411.15,410.68,106151095
10/11/2024,409.67,409.71,410.7,410.8,409.7,106136971
07/11/2024,408.73,408.74,409.67,409.67,408.74,105871361
06/11/2024,408.71,408.71,408.73,408.91,408.55,105634536
05/11/2024,408.55,408.53,408.71,408.81,408.52,105629498
04/11/2024,408.09,408.11,408.55,408.66,408.11,105586996
03/11/2024,408.4,408.32,408.09,408.32,407.9,105468321
31/10/2024,408.66,408.64,408.4,408.64,408.16,105590126
30/10/2024,407.82,407.86,408.66,408.95,407.86,105692048
29/10/2024,406.97,407.04,407.82,407.92,406.96,106358934
28/10/2024,407.27,407.27,406.97,407.37,406.96,106151595
27/10/2024,407.12,407.15,407.27,407.41,407.15,106220841
22/10/2024,407.43,407.35,407.12,407.53,406.81,106116405
21/10/2024,406.95,406.92,407.43,407.56,406.9,106419026
20/10/2024,405.41,405.47,406.95,406.99,405.47,106294432
15/10/2024,405.04,404.98,405.41,405.49,404.8,105891570
14/10/2024,405.06,405.05,405.04,405.4,404.99,105689602
13/10/2024,405.08,405.08,405.06,405.44,405.05,105694555
10/10/2024,405.27,405.3,405.08,405.53,405.08,105198909
09/10/2024,405.3,405.26,405.27,405.91,405.24,105247821
08/10/2024,405.11,405.17,405.3,405.42,405.16,105322202
07/10/2024,404.74,404.8,405.11,405.18,404.39,105272548
06/10/2024,404.83,404.57,404.74,404.74,403.96,105174331
