נתונים היסטוריים - סוף יום תל גוב- צמודות 0-2,,,,,,
מתאריך 01/01/2010  עד תאריך 01/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,272.42,272.33,272.35,272.44,272.32,
30/07/2025,272.2,272.15,272.42,272.49,272.13,64653308
29/07/2025,272.14,272.11,272.2,272.23,272.1,64599039
28/07/2025,272.19,272.13,272.14,272.27,271.84,64580574
27/07/2025,272.15,272.11,272.19,272.26,272.07,64592113
24/07/2025,272.14,271.98,272.15,272.22,271.98,64583840
23/07/2025,272.09,271.95,272.14,272.21,271.95,64583515
22/07/2025,272.17,272.01,272.09,272.2,272,64570837
21/07/2025,272.14,272.11,272.17,272.36,272.11,64590267
20/07/2025,271.91,271.91,272.14,272.16,271.82,64583375
17/07/2025,271.82,271.82,271.91,272.02,271.7,64524840
16/07/2025,271.29,271.75,271.82,271.86,271.56,64525699
15/07/2025,271.22,271.27,271.29,271.44,271.19,64392978
14/07/2025,271.08,271.05,271.22,271.29,271.01,64373773
13/07/2025,271.11,270.99,271.08,271.2,270.99,64341233
10/07/2025,271.25,271.13,271.11,271.41,271.1,66276264
09/07/2025,271.13,270.97,271.25,271.28,270.97,66307109
08/07/2025,271.13,271.04,271.13,271.26,270.78,66272616
07/07/2025,271.29,271.29,271.13,271.33,271.13,66270460
06/07/2025,271.19,270.82,271.29,271.32,270.82,66312148
03/07/2025,271.1,270.99,271.19,271.33,270.99,66290810
02/07/2025,271.05,271.08,271.1,271.14,270.91,66268227
01/07/2025,271.03,270.85,271.05,271.26,270.85,66256464
30/06/2025,270.97,270.92,271.03,271.11,270.78,66252659
29/06/2025,270.99,270.99,270.97,271.16,270.9,66236754
26/06/2025,270.99,270.94,270.99,271.05,270.72,66242221
25/06/2025,271.12,270.8,270.99,271.12,270.8,38139144
24/06/2025,271.02,270.58,271.12,271.12,270.58,38162122
23/06/2025,270.99,271.08,271.02,271.08,270.87,38148967
22/06/2025,270.86,270.8,270.99,271.06,270.8,38144410
19/06/2025,270.79,270.7,270.86,270.86,270.7,38128202
18/06/2025,270.61,270.47,270.79,270.79,270.46,38119088
17/06/2025,270.67,270.5,270.61,270.64,270.49,38096302
16/06/2025,270.97,270.38,270.67,270.69,270.32,38106405
15/06/2025,270.76,271.41,270.97,271.92,270.14,38146902
12/06/2025,270.59,270.52,270.76,270.84,270.52,43851406
11/06/2025,270.53,270.64,270.59,270.8,270.07,43822429
10/06/2025,270.52,270.48,270.53,270.64,270.42,43812061
09/06/2025,270.57,270.44,270.52,270.77,270.44,43810041
08/06/2025,270.58,270.47,270.57,270.68,270.35,43817590
05/06/2025,270.59,270.5,270.58,270.71,270.5,43819611
04/06/2025,270.48,270.48,270.59,270.65,270.44,43822429
03/06/2025,270.39,269.64,270.48,270.56,269.64,43805310
29/05/2025,270.48,270.56,270.39,270.56,270.23,43790211
28/05/2025,270.37,270.23,270.48,270.48,270.23,43806108
27/05/2025,270.34,269.88,270.37,270.39,269.88,43789787
26/05/2025,270.22,269.31,270.34,270.36,269.31,43784258
25/05/2025,270.12,269.98,270.22,270.25,269.95,43765384
22/05/2025,270.03,269.81,270.12,270.16,269.81,43748265
21/05/2025,269.86,269.76,270.03,270.32,269.75,43735718
20/05/2025,269.83,269.78,269.86,269.95,269.77,43707275
19/05/2025,269.78,269.32,269.83,269.85,269.31,43701213
18/05/2025,268.58,269.61,269.78,269.78,269.44,43693397
15/05/2025,268.57,268.4,268.58,268.65,268.4,43498598
14/05/2025,268.62,268.69,268.57,268.69,268.34,48362012
13/05/2025,268.68,268.66,268.62,268.7,268.52,48370394
12/05/2025,268.8,268.78,268.68,268.82,268.65,48381095
11/05/2025,268.72,268.67,268.8,268.83,268.67,48403470
08/05/2025,268.76,268.67,268.72,268.85,268.67,48388578
07/05/2025,268.77,268.67,268.76,268.81,268.62,48396810
06/05/2025,268.75,268.48,268.77,268.9,268.48,48398680
05/05/2025,268.7,268.68,268.75,268.85,268.68,48394340
04/05/2025,268.57,268.46,268.7,268.81,268.46,48385659
29/04/2025,268.39,268.07,268.57,268.57,268.07,48361786
28/04/2025,268.31,268.04,268.39,268.43,268.03,48330131
27/04/2025,268.09,267.86,268.31,268.35,267.86,48315688
24/04/2025,267.99,267.57,268.09,268.13,267.57,48275951
23/04/2025,267.92,267.58,267.99,268.08,267.58,48257167
22/04/2025,267.63,267.04,267.92,267.98,267.04,48244745
21/04/2025,267.65,267.55,267.63,267.71,267.55,48193035
20/04/2025,267.58,267.52,267.65,267.67,267.49,48195505
17/04/2025,267.33,267.32,267.58,267.67,267.32,48183083
16/04/2025,266.79,267.04,267.33,267.46,267.04,48139305
15/04/2025,266.62,266.48,266.79,266.79,266.48,48041497
14/04/2025,266.57,266.43,266.62,266.67,266.24,48010291
10/04/2025,266.41,266.35,266.57,266.82,266.35,48001760
09/04/2025,266.59,266.39,266.41,266.61,266.13,47972724
08/04/2025,266.51,266.22,266.59,266.71,266.22,48005950
07/04/2025,266.72,266.55,266.51,266.72,266.4,47991657
06/04/2025,266.71,266.71,266.72,266.85,266.52,48028924
03/04/2025,266.73,266.79,266.71,266.82,266.67,48026754
02/04/2025,266.75,266.72,266.73,266.89,266.68,48030795
01/04/2025,266.73,266.75,266.75,266.93,266.58,48034986
31/03/2025,266.6,266.48,266.73,266.82,266.48,48030945
30/03/2025,266.65,266.64,266.6,266.79,266.6,48007821
27/03/2025,266.87,266.43,266.65,266.88,266.43,48016053
26/03/2025,266.88,266.88,266.87,266.9,266.8,48055041
25/03/2025,266.83,266.49,266.88,266.88,266.49,48057061
24/03/2025,266.82,266.74,266.83,266.83,266.63,48048680
23/03/2025,266.77,266.71,266.82,267.06,266.51,48046509
20/03/2025,266.65,266.51,266.77,266.83,266.51,48037978
19/03/2025,266.64,266.52,266.65,266.68,266.45,48017024
18/03/2025,266.52,266.52,266.64,266.68,266.33,48014854
17/03/2025,266.41,266.4,266.52,266.55,266.18,47993601
16/03/2025,266.68,266.43,266.41,266.44,266.19,47973246
13/03/2025,266.6,266.49,266.68,266.68,266.49,48020915
12/03/2025,266.67,266.67,266.6,266.72,266.57,48007894
11/03/2025,266.68,266.6,266.67,266.74,266.55,48020616
10/03/2025,266.76,266.71,266.68,266.79,266.62,48022187
09/03/2025,266.78,266.78,266.76,266.81,266.65,48036630
06/03/2025,266.65,266.53,266.78,266.84,266.49,48038800
05/03/2025,266.73,266.47,266.65,266.75,266.47,48015976
04/03/2025,266.86,266.78,266.73,266.91,266.65,48030868
03/03/2025,266.8,266.83,266.86,266.88,266.74,48053842
02/03/2025,266.76,266.43,266.8,266.87,266.41,48043440
27/02/2025,266.77,266.14,266.76,266.83,266.14,48035358
26/02/2025,266.71,266.65,266.77,266.85,266.54,48037529
25/02/2025,266.66,265.38,266.71,266.79,265.38,48026977
24/02/2025,266.59,266.19,266.66,266.79,266.19,48018595
23/02/2025,266.52,266.04,266.59,266.63,266.04,48004825
20/02/2025,266.49,266.37,266.52,266.65,266.31,47993151
19/02/2025,266.52,266.35,266.49,266.55,266.28,47987390
18/02/2025,266.52,266.44,266.52,266.75,266.35,47993301
17/02/2025,266.16,266.09,266.52,266.54,266.09,47993301
16/02/2025,265.92,266.01,266.16,266.17,266.01,47928719
13/02/2025,265.92,265.83,265.92,266.02,265.83,47884941
12/02/2025,265.91,265.8,265.92,265.97,265.69,47884642
11/02/2025,266,265.74,265.91,265.93,265.73,47882472
10/02/2025,265.63,265.43,266,266,265.4,47899384
09/02/2025,265.67,265.55,265.63,265.97,265.5,47832482
06/02/2025,265.78,265.74,265.67,265.79,265.44,47840714
05/02/2025,265.75,265.62,265.78,265.85,265.55,47859797
04/02/2025,265.71,265.62,265.75,265.82,265.62,47853586
03/02/2025,265.65,265.45,265.71,265.78,265.45,47847075
02/02/2025,265.71,265.59,265.65,265.71,265.55,47836374
30/01/2025,265.71,265.63,265.71,265.78,265.59,47846775
29/01/2025,265.67,265.49,265.71,265.88,265.49,47846626
28/01/2025,265.56,265.4,265.67,265.78,265.4,47840265
27/01/2025,265.51,265.57,265.56,265.62,265.3,47819161
26/01/2025,265.47,265.15,265.51,265.59,265.15,47810780
23/01/2025,265.4,265.25,265.47,265.5,265.25,47804269
22/01/2025,265.22,265.08,265.4,265.41,265.08,47791847
21/01/2025,265.27,264.83,265.22,265.29,264.83,47758920
20/01/2025,265.44,265.28,265.27,265.46,264.81,47767451
19/01/2025,265.49,265.36,265.44,265.44,265.27,47798208
16/01/2025,265.74,265.38,265.49,265.5,265.31,47807711
15/01/2025,265.7,265.66,265.74,265.77,265.46,47851788
14/01/2025,265.69,265.48,265.7,265.84,265.48,47845277
13/01/2025,265.51,265.51,265.69,265.85,265.33,47842807
12/01/2025,265.29,264.67,265.51,265.54,264.67,47811901
09/01/2025,265.32,265.2,265.29,265.31,265.18,47771043
08/01/2025,265.36,265.3,265.32,265.47,264.96,47776954
07/01/2025,265.33,265.14,265.36,265.46,265.14,47784886
06/01/2025,265.19,265.22,265.33,265.38,265.16,47778375
05/01/2025,265.21,264.97,265.19,265.19,264.97,47753081
02/01/2025,265.03,265.14,265.21,265.23,264.98,47757122
01/01/2025,264.91,264.73,265.03,265.13,264.73,47723746
31/12/2024,264.86,264.75,264.91,265.31,264.75,47702792
30/12/2024,264.86,264.71,264.86,267.19,264.71,47694411
29/12/2024,264.82,264.82,264.86,264.89,264.65,47694561
26/12/2024,264.82,264.69,264.82,265.28,264.69,47686479
25/12/2024,264.83,264.77,264.82,264.88,264.73,47686629
24/12/2024,264.86,264.75,264.83,265.02,264.74,47689099
23/12/2024,264.85,264.79,264.86,264.89,264.73,47693289
22/12/2024,264.82,264.82,264.85,264.89,264.67,47692990
19/12/2024,264.74,264.43,264.82,264.89,264.43,47686928
18/12/2024,264.72,264.57,264.74,264.77,264.57,47672186
17/12/2024,264.84,264.77,264.72,264.89,264.65,47667995
16/12/2024,265.12,264.95,264.84,265.06,264.83,47690969
15/12/2024,265.17,264.95,265.12,265.21,264.95,47740659
12/12/2024,265.09,264.86,265.17,265.21,264.79,47750611
11/12/2024,264.87,264.7,265.09,265.09,264.7,47736019
