נתונים היסטוריים - סוף יום תל גוב-צמודות 5-10,,,,,,
מתאריך 01/01/2010  עד תאריך 01/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,386.91,386.91,386.69,387.49,386.65,
30/07/2025,386.39,386.39,386.91,387.31,386.28,67781480
29/07/2025,386.37,386.37,386.39,386.54,386.08,67688828
28/07/2025,386.83,386.83,386.37,386.98,386.27,67223444
27/07/2025,387.39,387.39,386.83,387.77,386.83,67299478
24/07/2025,387.86,387.87,387.39,387.96,387.39,67390493
23/07/2025,387.71,387.71,387.86,388.21,387.71,67470201
22/07/2025,387.89,387.89,387.71,388.09,387.57,67444111
21/07/2025,387.97,387.97,387.89,388.82,387.84,67018375
20/07/2025,386.94,386.98,387.97,387.97,386.98,67028676
17/07/2025,386.22,386.31,386.94,386.99,386.11,66858631
16/07/2025,386.05,386.05,386.22,386.78,386.05,66737782
15/07/2025,386.17,386.17,386.05,386.42,386.05,66585771
14/07/2025,386.58,386.58,386.17,386.77,385.65,66148695
13/07/2025,387.35,387.35,386.58,387.52,386.38,66215887
10/07/2025,386.75,386.75,387.35,387.44,386.62,66345464
09/07/2025,385.57,385.65,386.75,386.75,385.45,66245765
08/07/2025,384.87,384.87,385.57,385.6,384.64,66048429
07/07/2025,385.64,385.64,384.87,386.14,384.87,65118365
06/07/2025,385.3,385.3,385.64,386.74,385.3,65248676
03/07/2025,384.9,384.9,385.3,386.07,384.83,65195038
02/07/2025,385.71,385.71,384.9,385.71,384.78,65129914
01/07/2025,385.34,385.34,385.71,386.42,385.34,64992149
30/06/2025,384.13,384.24,385.34,385.79,384.09,64013003
29/06/2025,382.84,382.84,384.13,384.55,382.84,63813733
26/06/2025,382.22,382.35,382.84,383.28,382.31,63603343
25/06/2025,382.39,382.39,382.22,383.3,382.21,59613700
24/06/2025,380.23,380.33,382.39,383.09,380.33,59639739
23/06/2025,380.52,380.52,380.23,380.91,379.85,59303698
22/06/2025,377.67,377.67,380.52,380.66,377.67,59347906
19/06/2025,377.46,377.29,377.67,377.67,376.97,58904223
18/06/2025,375.62,375.62,377.46,377.46,375.51,58871850
17/06/2025,375.59,375.7,375.62,375.88,375.21,58437384
16/06/2025,374.13,374.13,375.59,375.6,374.13,57981779
15/06/2025,374.54,374.54,374.13,374.54,372.87,57757031
