נתונים היסטוריים - סוף יום תל גוב-שקלי 0-2,,,,,,
מתאריך 01/01/2010  עד תאריך 01/08/2025,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
31/07/2025,358.5,358.47,358.47,358.56,358.45,
30/07/2025,358.41,358.4,358.5,358.53,358.4,70732721
29/07/2025,358.36,358.34,358.41,358.44,358.34,83985638
28/07/2025,358.34,358.34,358.36,358.42,358.31,83973038
27/07/2025,358.36,358.35,358.34,358.4,358.32,83968931
24/07/2025,358.39,358.37,358.36,358.43,358.35,83970850
23/07/2025,358.29,358.19,358.39,358.45,358.19,83975343
22/07/2025,358.26,358.2,358.29,358.34,358.2,83954825
21/07/2025,358.21,358.23,358.26,358.41,358.19,83946691
20/07/2025,358.17,358.17,358.21,358.29,358.16,83934385
17/07/2025,358.14,358.13,358.17,358.23,358.07,83924856
16/07/2025,358.23,358.12,358.14,358.22,358.1,83917946
15/07/2025,358.26,358.24,358.23,358.3,358.19,83935220
14/07/2025,358.25,358.11,358.26,358.31,358.11,83939894
13/07/2025,358.25,358.21,358.25,358.32,358.19,83938718
10/07/2025,358.19,358.09,358.25,358.31,358.09,83936526
09/07/2025,358.03,357.82,358.19,358.47,357.8,83922416
08/07/2025,357.99,357.88,358.03,358.1,357.88,83886716
07/07/2025,358.13,358.12,357.99,358.37,357.99,83878598
06/07/2025,358.07,358.06,358.13,358.3,357.86,83907813
03/07/2025,357.85,357.82,358.07,358.12,357.82,83901056
02/07/2025,357.78,357.63,357.85,357.89,357.63,83843524
01/07/2025,357.69,357.75,357.78,357.89,357.6,83825169
30/06/2025,357.43,357.35,357.69,357.76,357.35,83806675
29/06/2025,357.44,357.32,357.43,357.65,357.32,83748354
26/06/2025,357.35,357.35,357.44,357.51,357.31,83747992
25/06/2025,357.18,357.19,357.35,357.38,357.12,83729000
24/06/2025,356.85,356.85,357.18,357.23,356.81,83688988
23/06/2025,356.95,356.95,356.85,357.07,356.85,83613573
22/06/2025,356.62,356.49,356.95,357,356.48,83636809
19/06/2025,356.58,356.52,356.62,356.62,356.47,83561660
18/06/2025,356.47,356.35,356.58,356.6,356.35,83550707
17/06/2025,356.27,356.12,356.47,356.55,356.12,83525281
16/06/2025,356.01,355.96,356.27,356.27,355.96,83480669
15/06/2025,355.98,355.35,356.01,356.25,355.35,83421528
12/06/2025,355.97,355.96,355.98,356.01,355.91,83414819
11/06/2025,356,355.93,355.97,356.08,355.91,83411908
10/06/2025,355.86,356.23,356,356.23,355.87,83417980
09/06/2025,355.84,355.84,355.86,355.89,355.8,83386323
08/06/2025,355.77,355.78,355.84,355.86,355.73,83382441
05/06/2025,355.73,355.7,355.77,355.8,355.66,83364287
04/06/2025,355.6,355.56,355.73,355.75,355.56,83355912
03/06/2025,355.62,355.78,355.6,356.45,355.57,83324705
29/05/2025,355.64,355.62,355.62,355.67,355.56,83328834
28/05/2025,355.6,355.55,355.64,355.71,355.53,83332134
27/05/2025,355.49,355.47,355.6,355.6,355.46,83321658
26/05/2025,355.42,355.39,355.49,355.54,355.37,83296298
25/05/2025,355.27,355.27,355.42,355.46,355.27,83278959
22/05/2025,355.21,355.14,355.27,355.3,355.14,83242984
21/05/2025,355.3,355.27,355.21,355.46,355.16,83228826
20/05/2025,355.3,355.3,355.3,355.36,355.24,83250300
19/05/2025,355.3,355.24,355.3,355.3,355.19,83250147
18/05/2025,355.37,355.31,355.3,355.39,355.18,83251729
15/05/2025,355.38,355.35,355.37,355.44,355.15,83269364
14/05/2025,355.37,355.22,355.38,355.43,355.22,83269902
13/05/2025,355.44,355.47,355.37,355.47,355.25,83269589
12/05/2025,355.52,355.57,355.44,355.57,355.39,83284422
11/05/2025,355.47,355.53,355.52,355.55,355.48,83304385
08/05/2025,355.48,355.45,355.47,355.57,355.39,83293637
07/05/2025,355.44,355.44,355.48,355.53,355.4,83296391
06/05/2025,355.34,355.38,355.44,355.46,355.32,83285213
05/05/2025,355.33,355.24,355.34,355.4,355.24,83262029
04/05/2025,355.23,355.13,355.33,355.35,355.13,83260965
29/04/2025,355.08,354.92,355.23,355.25,354.92,83236959
28/04/2025,355.13,355.05,355.08,355.22,355.05,83202459
27/04/2025,355.01,355.01,355.13,355.23,354.94,55999815
24/04/2025,354.88,354.88,355.01,355.17,354.86,55980506
23/04/2025,354.88,354.86,354.88,355,354.78,55958744
22/04/2025,354.69,354.68,354.88,354.93,354.6,55959327
21/04/2025,354.5,354.48,354.69,354.73,354.48,55929390
20/04/2025,354.54,354.51,354.5,354.61,354.5,55898526
17/04/2025,354.49,354.44,354.54,354.63,354.33,56089736
16/04/2025,354.43,354.27,354.49,354.52,354.21,56079587
15/04/2025,354.3,354.19,354.43,354.56,354.19,56071175
14/04/2025,354.19,354.12,354.3,354.4,354.08,56050484
10/04/2025,354.18,354.14,354.19,354.2,353.99,56033459
09/04/2025,354.1,353.59,354.18,354.18,353.59,56983757
08/04/2025,354.02,353.97,354.1,354.13,353.89,56969396
07/04/2025,353.91,353.77,354.02,354.12,353.77,56956592
06/04/2025,353.86,353.86,353.91,354.16,353.64,56938918
03/04/2025,353.63,353.63,353.86,354,353.63,56930583
02/04/2025,353.66,353.55,353.63,353.68,353.51,56891837
01/04/2025,353.62,353.42,353.66,353.66,353.42,56897394
31/03/2025,353.47,353.47,353.62,353.66,353.34,56890214
30/03/2025,353.45,353.41,353.47,353.55,353.41,56865694
27/03/2025,353.45,353.41,353.45,353.46,353.34,56862849
26/03/2025,353.47,353.47,353.45,353.61,353.39,66969199
25/03/2025,353.41,353.35,353.47,353.49,353.33,66971638
24/03/2025,353.39,353.34,353.41,353.43,353.33,66959922
23/03/2025,353.37,353.37,353.39,353.45,353.33,66955672
20/03/2025,353.27,353.25,353.37,353.41,353.25,66954391
19/03/2025,353.21,353.19,353.27,353.33,353.19,66936176
18/03/2025,353.16,353.14,353.21,353.21,353.14,66925688
17/03/2025,353.07,352.97,353.16,353.24,352.97,66915134
16/03/2025,353,352.97,353.07,353.13,352.91,66900573
13/03/2025,352.97,352.93,353,353,352.91,66885270
12/03/2025,352.95,352.95,352.97,353,352.91,69523014
11/03/2025,352.92,352.87,352.95,352.99,352.86,69517126
10/03/2025,352.9,352.9,352.92,352.99,352.83,69510557
09/03/2025,352.78,352.79,352.9,352.92,352.74,69506569
06/03/2025,352.77,352.75,352.78,352.83,352.7,69482576
05/03/2025,352.72,352.61,352.77,352.78,352.59,69479071
04/03/2025,352.59,352.56,352.72,352.79,352.45,69471429
03/03/2025,352.57,352.46,352.59,352.62,352.46,69445091
02/03/2025,352.44,352.59,352.57,352.7,352.38,69441106
27/02/2025,352.41,352.41,352.44,352.5,352.36,69416838
26/02/2025,352.36,352.39,352.41,352.42,352.08,69410354
25/02/2025,352.27,352.23,352.36,352.44,352.23,69400130
24/02/2025,352.13,352.14,352.27,352.3,352.14,69380842
23/02/2025,352.12,352.11,352.13,352.16,352.11,69354608
20/02/2025,352.1,351.95,352.12,352.23,351.95,69353069
19/02/2025,352.06,351.95,352.1,352.16,351.95,69348883
18/02/2025,351.98,351.96,352.06,352.1,351.96,69478249
17/02/2025,351.89,351.89,351.98,352.01,351.86,69464122
16/02/2025,351.88,351.8,351.89,351.91,351.8,69445646
13/02/2025,351.78,351.68,351.88,351.9,351.67,72488760
12/02/2025,351.8,351.78,351.78,351.8,351.68,72467275
11/02/2025,351.83,351.8,351.8,351.85,351.71,72471744
10/02/2025,351.66,351.63,351.83,351.83,351.62,72476690
09/02/2025,351.61,351.58,351.66,351.67,351.58,72441877
06/02/2025,351.56,351.49,351.61,351.61,351.49,72432166
05/02/2025,351.46,351.38,351.56,351.62,351.38,72421332
04/02/2025,351.52,351.35,351.46,351.5,351.35,72400856
03/02/2025,351.4,351.17,351.52,351.52,351.15,72412450
02/02/2025,351.33,351.31,351.4,351.9,351.23,72388533
